Matooke (Bunch),Bunch,Retail,10000,8000,9000 8500,11000,9000,15200,12000 12000,20000,9300,17500 10000,4000,13000,12000 8000,7000,10861,
"",,Wholesale,8000,7000,7000 6000,9000,7500,12500,10000 10000,18000,8500,14500,5500,12000,10000 6300,6500,9312,
Pineapple,whole,Retail,3000,,800 1500 1500,1000,900,1500,2000,2500,,1500 3000,1000,1600,600 1800,1300,1594,
"",,Wholesale,2000,,700 1000 700,800,700,1000,1800,2200,,1300,1450,1500,500 1500,1000,1210,2500
"",,,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,
CommodityName,Unit,,KAL,KIB,LUW MSK,OWI,BUS,IGA,JJA MBA,SOR,ARU,GUL LRA,FTP,KAS,KLE KSR,MBR,Avg,Organic prices
Oil Seeds,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2550 2100,2700,2400,2600,2500 2500,2500,3000,2700 2800,2500,2500,2800 3100,2800,2631,
"",,Wholesale,2500,2400,2200 2000,2300,2200,2500,2300 2300,2100,2800,2400,2250,2300,2700 2800,2700,2397,
Soya Beans,Kg,Retail,1600,1400,2500 1900,1200,1200,1200,1800 1200,1200,1500,1000,1500,,1600,2300,1540,
"",,Wholesale,1200,1300,2000 1800,950,1000,1100,1700 1000,950,,,950,,1300,2000,1327,
Sunflower,Kg,Retail,,,,,,,,600,,800,,,,2900,1433,
"",,Wholesale,,,,,,,,450,,,700,,,2700,1283,
Poultry Products,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,5500,,12000 6500,8000,7500,5600,7000,8000,8000,10000,10000,8500,10000 9700,10000,8420,
"",,Wholesale,5000,,10000 5500,6000,6500,5000,6500,6000,,,8000,8300,8000 7900,9000,7054,
"Chicken, Local",bird,Retail,10000,12000,18000 7500,15000,10000,12000,14000 8500,11000,11000,12000 17000,14000,15000,14000 11000,14000,12556,
"",,Wholesale,8500,10000,15000 6000,13000,8000,9000,13000 6000,8000,10000,10000,13500,14000,12000 9000,12500,10441,15000
"Eggs, Exotic",tray,Retail,5500,6500,6000 5500,5500,7500,6500,6000 6500,6500,7500,7200 7500,6500,,6500 6500,7300,6529,
"",,Wholesale,5000,6300,5000 4500,5000,6400,6200,5000 6300,6300,6500,5700,6100,,6000 5800,6800,5806,
"Eggs, Local",tray,Retail,,9000,10000 10000,13000,9000,8500,10000 9000,9000,7500,10500,9000,9000,9000 12000,9000,9594,
"",,Wholesale,,7500,8000 9500,10000,7500,6500,9000 7500,8500,,,7500,8800,8700 9000,8000,8286,
Turkey,bird,Retail,,,38000,3500,8000,33000,40000,25000,,,,,30000,,25357,
"",,Wholesale,,,30000,2800,7500,31000,36000,23000,,,,,26000,,22329,
Pulses,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3000,2500,3000 2800,3500,,1800,2500 1800,1500,2500,900,2500,2500,2200,1400,2293,
"",,Wholesale,2700,2400,2800 2400,2700,,1680,2300 1500,1300,1600,700,2200,2400,2000,1200,1992,
"Dried Beans, Agwede",Kg,Retail,,,1800 1400,1300,,1450,1600,,,1000,,,,,1425,
"",,Wholesale,,,1600 1200,1200,,1220,1400,,,,800,,,,1237,
"Dried Beans, Nambale",Kg,Retail,2000,,1600 1200,1300,1800,1650,2000 1200,1600,1500,1800 1500,1800,2200,1100,1800,1628,
"",,Wholesale,1800,,1400 1100,1200,1600,1450,1800 1000,1400,1400,1200,1400,2000,1000,1700,1430,
"Dried Beans, Yellow",Kg,Retail,2300,1400,1800 1050,1700,2000,1850,2000 1500,1800,1700,1700 1400,2500,2600,1800,2100,1835,
"",,Wholesale,2000,1300,1700 850,1500,1800,1670,1800 1400,1550,1600,1350,1650,2500,1500,1900,1629,
Root Crops,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,350,,,260 110,300,300,1400,,480,,1000,525,
"",,Wholesale,,,,300,,,220 100,230,250,1000,,,470,800,421,
"Cassava, Flour",Kg,Retail,800,1000,800 1200,600,600,,400 600 500,650,450,1700 800,600,,700 1000 1000,700,783,
"",,Wholesale,500,,800 500 700,450,500,,320 500 400,450,360,1400,600,680,900 700,550,606,
"Cassava, Fresh",Kg,Retail,500,,550 1500 1000,400,700,,750 140,230,500,600 300,1000,1000,1500 300,700,686,
"",,Wholesale,300,,450 1000 500,350,600,,510 120,200,400,400,385,900,1000 200,500,488,
"Cassava, Sun dried",Kg,Retail,,,,350,300,,270 130,300,300,1600 400,,,450 500,1350,541,
"",,Wholesale,,,,300,280,,220 120,230,250,1200,300,,430 400,1200,448,
Irish Potatoes,Kg,Retail,,,541 1800 1400,800,600,,800 1000 800,1000,1500,1500 1200,1500,,700 550 900,1600,1070,
"",,Wholesale,,,500 1500 800,750,500,,670 900 750,750,1300,1200,1000,650,500 700,1500,873,1500
Sweet Potatoes,Kg,Retail,500,,166 1000 1000,400,,,800 170 100,300,550,500 300,700,900,1000 500,1450,608,
"",,Wholesale,300,,150 800 600,300,,,600 160 80,250,500,300,375,800,900 400,1200,482,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,1200 5000,,,,,4800,,3300,2967,
"",,Wholesale,,1900,800,,,,1100 4800,,,,,4600,,3000,2700,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,5000,
"",,Wholesale,4000,,,,,,,,,,,,,,4000,
Vanilla (Unprocessed),Kg,Retail,,,,3500,,,,,,,,,,3200,3350,
"",,Wholesale,,,,2700,,,,,,,,,,3000,2850,
