Millet Grain,Kg,Retail,1600,1100,1000,2000,850,1000,900,900 1000,800,1000,800 700,1500,1300 1300,1200,1114.7,
"",,Wholesale,1400,1000,750,1800,780,870,800,850 800,780,700,600 680,1200,1200 1200,1000,965.29,
Rice (Kayiso),Kg,Retail,1600,2400,1500,1600,1600,1400,1800,1700 1200,1400,1600,1600 1400,2300,2500,2500,1756.3,
"",,Wholesale,1200,2200,1200,1400,1300,1250,1590,1600 1100,1300,1400,1300 1000,2000,2300,2200,1521.3,
Rice (Super),Kg,Retail,2000,2100,2000,2000,1800,1600,1800,2000 1800,1800,2200,1400 1400,2500,2600,2500,1968.8,
"",,Wholesale,1600,2000,1700,1600,1550,1350,1590,1800 1600,1500,1500,1250 900,2100,2300,2000,1646.3,
Rice (Upland),Kg,Retail,2000,1700,,1600,1500,1500,1700,1700,,2000,1650 1400,2000,2100,2800,1819.2,
"",,Wholesale,1600,1600,,1400,1400,1300,1600,1600,,1400,1200 900,1600,1800,2500,1530.8,
Simsim,Kg,Retail,3500,,3000,2800,4000,2400,2850,3000 3000,2800,2600,2500 2700,4000,2700,3700,3036.7,
"",,Wholesale,3000,,2600,2500,3000,2200,2630,2800 2800,2500,2500,2200 2300,3000,2300,3500,2655.3,
Sorghum Flour,Kg,Retail,1800,800,,1000,600,,850,700 450,600,1000,1500,1000,1400,1000,976.92,
"",,Wholesale,1400,700,,700,500,,550,600 400,450,800,1400,700,1300,850,796.15,
Sorghum Grain,Kg,Retail,1600,750,,800,400,350,600,400 250,270,600,250 300,,1100 800,850,621.33,
"",,Wholesale,1200,650,,500,350,308,400,300 200,250,350,150 180,,1000 700,700,482.53,
Fish,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,7000,,8000,4500,8000,,5500,7500 4500,5000,5000,4000 5000,,,,5818.2,
"",,Wholesale,6000,,7500,4000,6500,,4500,7000 3500,4500,,3200 4500,,,,5120,
"Fish, Tilapia",whole,Retail,4000,7500,4000,6000,6000,4300,6800,8500 7000,6500,6800,4800 8000,5000,6000 5000,6500,6041.2,
"",,Wholesale,3500,6500,3500,4800,5000,4100,5500,7500 6000,4600,,4000 7000,4500,5500 4000,6000,5125,
Fruits,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1500,600,400,5000,1300,1100,1400,200 800,800,800,1500 2600,500,1100 450,1300,1255.9,
"",,Wholesale,1000,550,300,3800,1200,1000,900,180 600,750,650,1200 2000,300,1000 320,1200,997.06,
Cavendish (Bogoya),Kg,Retail,3000,800,1700,7000,1900,1600,2500,750 2500,800,600,1500 3200,1500,1500 500,2500,1991.2,
"",,Wholesale,2500,700,1500,5000,1600,1300,2000,720 2000,700,500,1300 2600,1000,1400 400,2000,1601.2,
Matooke,Kg,Retail,800,225,1000,,320,800,300,200 1000,900,350,1300 800,1000,480 400,900,673.44,
"",,Wholesale,500,200,900,,280,700,280,180 800,750,300,1000 700,700,470 300,800,553.75,
Matooke (Bunch),Bunch,Retail,8000,9000,10000,10500,11000,10000,12500,10000 10000,20000,9000,17500 12000,4000,13000 8000,6500,10647,
"",,Wholesale,7500,8000,8000,8500,9000,9000,10000,9000 8000,17000,7500,14000 10000,3000,12500 7300,6000,9076.5,
Pineapple,whole,Retail,2500,800,1000,5000,1000,1600,1500,1800,2500,,1500 3200,1200,1600 1200,1300,1846.7,
"",,Wholesale,1800,700,600,3500,800,1300,1000,1700,2200,,1200 2800,800,1500 1000,1000,1460,
"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,,Organic
Commodity Name,Unit,,KAL,KIB,LUW,NAK,OWI,BUS,IGA,JJA MBA,SOR,ARU,GUL LRA,FTP,KAS KSR,MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2500,8000,2700,2400,2600,3000 2500,2500,3000,2700 2700,2500,2500 3100,2800,2988.2,
"",,Wholesale,2500,2400,2100,7000,2400,2200,2500,2800 2300,2200,2800,2300 2200,2200,2300 2800,2700,2688.2,
Soya Beans,Kg,Retail,1600,1400,1400,1500,1200,1200,1300,1800 1500,1200,1500,1000,1500,1600,2300,1466.7,
"",,Wholesale,1200,1300,1200,1200,950,948,1150,1600 1200,900,,800,1000,1300,2000,1196.3,
Sunflower,Kg,Retail,,,,,,,,,600,,1000,,,2900,1500,
"",,Wholesale,,,,,,,,,450,,800,,,2700,1316.7,
Poultry Products,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,5500,,9000,,8000,7500,5600,8000,8500,8000,9000 12000,10000,8500 9000,10000,8471.4,
"",,Wholesale,5000,,8000,11500,6000,6500,5000,7000,6500,,7500 10000,8000,8300 7000,9000,7521.4,
"Chicken, Local",bird,Retail,10000,12000,18000,,15000,10000,13000,14500 8500,11000,12000,12800 17000,14000,13000 11000,14000,12863,
"",,Wholesale,8500,10000,15000,,13000,9000,10000,13000 6500,8000,11000,12000 15000,12000,12500 7500,12500,10969,
"Eggs, Exotic",tray,Retail,6000,6500,6000,12000,5500,7500,6500,6000 6500,6500,7500,7200 7500,6500,6500,9000,7075,
"",,Wholesale,5500,6300,4800,10000,5000,6400,6200,5200 6300,6300,6500,5700 6200,6000,5700,8000,6256.3,
"Eggs, Local",tray,Retail,,9000,10000,7500,13000,9000,8500,10000 9000,9000,7500,10500,9000,9000 12000,7300,9353.3,
"",,Wholesale,,7500,8000,6000,10000,7500,6500,9000 7500,8500,,8000,7000,8800 9000,6800,7864.3,
Turkey,bird,Retail,,,38000,,40000,8000,33000,40000,25000,,,,,,30667,
"",,Wholesale,,,30000,35000,30000,8000,31000,38000,23000,,,,,,27857,
Pulses,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3000,2500,3000,2200,3500,,1800,2300 1800,1200,2500,700,2500,2200 2200,1400,2186.7,
"",,Wholesale,2700,2400,2800,1800,2700,,1680,1900 1500,900,1600,500,2200,2100 2000,1200,1865.3,
"Dried Beans, Agwede",Kg,Retail,,,,1800,1300,,1450,1600,,,1000 1000,,,,1358.3,
"",,Wholesale,,,,1400,1200,,1220,1500,,,700 900,,,,1153.3,
"Dried Beans, Nambale",Kg,Retail,2000,,2000,2400,1500,1700,1650,2000 1400,1600,1500,1500 1500,1800,2000,1800,1756.7,
"",,Wholesale,1800,,1700,2000,1350,1600,1450,1800 1300,1400,1400,1200 1450,1600,1800,1700,1570,
"Dried Beans, Yellow",Kg,Retail,2300,1400,1800,6000,1700,2000,1850,2000 1500,1800,1700,1500 1400,2500,2500 1700,2100,2102.9,
"",,Wholesale,2000,1300,1600,5200,1500,1800,1650,1800 1400,1550,1600,1000 1200,2100,2300 1550,1900,1850,
Root Crops,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,800,350,,260,150,300,300,1400,,480,1000,560,
"",,Wholesale,,,,450,300,,220,140,230,250,1000,,470,800,428.89,
"Cassava, Flour",Kg,Retail,800,1000,700,320,600,600,400,600 500,650,400,1500 800,600,680 1000,700,697.06,
"",,Wholesale,500,800,450,280,430,500,320,500 400,450,360,1300 700,500,650 700,550,552.35,
"Cassava, Fresh",Kg,Retail,500,550,1000,800,400,800,750,100,230,500,500 300,1000,900 300,700,583.13,
"",,Wholesale,300,450,900,450,350,600,510,80,200,400,250,500,800 200,500,432.67,
"Cassava, Sun dried",Kg,Retail,,,,1000,350,250,270,120,300,300,1500 400,,440 500,1350,565,
"",,Wholesale,,,,800,300,230,220,110,230,250,1300 300,,420 400,1200,480,
Irish Potatoes,Kg,Retail,,541,1000,1200,800,700,800,1000 800,1000,1000,1500 1200,1500,700 900,1600,1015.1,
"",,Wholesale,,500,800,820,750,600,670,900 700,750,900,1200 1000,1000,650 700,1500,840,
Sweet Potatoes,Kg,Retail,500,166,1000,400,400,800,800,150 100,300,550,600 300,700,900 500,1450,565.65,
"",,Wholesale,300,150,900,300,300,700,600,130 80,250,500,400 200,500,800 400,1200,453.53,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,,,,,,1100 5000,,,,,4800,3300,3340,
"",,Wholesale,,1900,,,,,,1000 4700,,,,,4500,3000,3020,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,5000,
"",,Wholesale,4000,,,,,,,,,,,,,,4000,
Vanilla (Unprocessed),Kg,Retail,,,,,3500,,,,,,,,,3200,3350,
"",,Wholesale,,,,,2700,,,,,,,,,3000,2850,
