"",,Wholesale,800,300,350,250 500,700,270,,250,300 380,320,400 250,,180,450 300,210,500,372.8,
Millet Flour,Kg,Retail,1200,1200,1600,1600 2000,2200,2000,,1400,1500 1800,1800,2000 2000,2500,2000,1400 1500,1700,1450,1729,
"",,Wholesale,900,1100,1400,1100 1600,2000,1800,,1200,1400 1700,1600,1500 1800,,,1350 1300,1500,1350,1447,
Millet Grain,Kg,Retail,1200,1000,1200,1500 1200,1800,1000,1200,1000,1150 1200,1000,1000 1000,1500,1200,1100 1200,1300,1000,1188,
"",,Wholesale,900,900,1000,1300 1000,1500,960,,950,1050 1100,850,900 900,,1000,1000 1000,1200,700,1012,
Rice (Kayiso),Kg,Retail,2000,2800,1600,2200 1800,,1600,1500,1350,1700 2200,1500,2000 2000,2300,,,2500,2500,1972,
"",,Wholesale,1800,2500,1400,1800 1500,,1300,,1200,1600 2100,1350,1800 1800,,,,2300,2300,1768,
Rice (Super),Kg,Retail,2400,2300,2000,2100 2200,2500,2000,2000,2000,2000 2300,2500,2500 2000,2500,2400,2200,2700,2400,2263,
"",,Wholesale,2100,2200,1800,1700 1800,2300,1800,,1900,1800 2200,2300,2000 1800,,,2000,2400,2100,2013,
Rice (Upland),Kg,Retail,1700,2200,1800,2500 1800,2500,1700,1700,1800,1700 2000,,2000 2000,2000,1500,,2300,2800,2000,
"",,Wholesale,1500,2000,1600,1800 1500,2300,1500,,1630,1600 1800,,1800 1800,,1300,,2100,2500,1782,
Simsim,Kg,Retail,3000,,3500,3000 3000,5000,2500,2500,2700,2800 2500,2600,2500 2300,4000,,1600,3000,4000,2971,
"",,Wholesale,2800,,3000,2700 2700,4500,2200,,2450,2600 2400,2400,2000 2000,,,1500,2500,3800,2637,
Sorghum Flour,Kg,Retail,1000,900,1300,1000,1800,600,,1150,800 1000,400,800 2000,,,1500 700,,800,1050,
"",,Wholesale,700,800,1200,700,1700,500,,790,700 900,300,700 1800,,,1400 600,,750,902.7,
Sorghum Grain,Kg,Retail,700,800,1000,800,1700,350,300,750,600,270,600 400,1000,,1000,800,850,745,
"",,Wholesale,500,700,800,500,1500,280,,570,500,250,400 300,,,950,700,750,621.4,
Fish,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,,6000,6500 7500,,7500,4300,5300,8000,5000,5000 6500,,,9000,5500,7500,6400,
"",,Wholesale,5000,,5000,5000 7000,,6500,,4300,7000,4500,6000,,,8000,4500,6800,5800,
"Fish, Tilapia",whole,Retail,3500,4600,2500,4500 4500,8000,6000,7000,6300,7000 2000,6000,8000 7000,5000,5750,5000 9000,4700,7000,5668,
"",,Wholesale,3000,4200,2000,3000 4000,7000,5000,,5000,6500 1500,5500,6000,,,4800 8500,3600,6500,4756,
Fruits,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,550,1100,800 1000,1100,1300,1200,1300,220 400,800,600,1000,1500,700 600,600,700,866.8,
"",,,,,,,,,,,,,,,,,,,,2000
"",,Wholesale,700,500,1000,600 700,1000,1200,,800,190 300,600,500,,,650 500,400,550,636.9,
Cavendish (Bogoya),Kg,Retail,1300,750,1300,1100 1000,1300,1600,1600,3000,730 1000,1500,700 2000,2000,1500,1500 2200,650,1000,1387,
"",,Wholesale,1200,650,1200,600 800,1200,1500,,2200,700 800,1000,600 1800,,1000,1400 1800,400,900,1097,
Matooke,Kg,Retail,180,175,1200,375 360,550,300,800,300,140 250,1000,400 1000,1500,300,600,460,500,546.8,
"",,Wholesale,130,112,1000,150 270,500,250,,250,120 200,800,350 800,,,550,400,500,398.9,
Matooke (Bunch),Bunch,Retail,4000,7000,8000,9000 8000,11000,9000,16000,12000,7000 5000,10000,12000 8000,5500,6000,16000 5000,9000,6000,8675,
"",,Wholesale,3000,4500,5500,7500 6000,8000,7000,,10000,6000 4000,8000,10000 3500,,,15500 3000,8000,4000,6676,
Pineapple,whole,Retail,1200,1000,1200,900 1000,2500,1000,800,1800,2000,2000,2000 3000,1500,,1600 700,2500,1200,1550,
"",,,,,,,,,,,,,,,,,,,,2500
"",,Wholesale,1000,800,800,600 700,2000,700,,1200,1800,1500,1500 500,,,1500 500,1500,1000,1100,
"",,,,,,CENTRAL,,,,,EASTERN,,NORTHERN,,,WESTERN,,,,Organic
Commodity  Name,Unit,,KAL,KIB,LUW,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,ARU LRA,FTP,HOI,KAS KLE,KSR,MBR,,prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3500,2800,3600,2300 3000,4000,2600,3000,2650,2300 3200,2600,3000 3700,3000,3000,3000 3000,3100,2500,2993,
"",,Wholesale,3100,2600,3500,2100 2600,3500,2250,,2400,2000 3000,2500,2500 3500,,2650,2800 2800,2800,2300,2717,
Soya Beans,Kg,Retail,2000,1400,1500,1900 1500,2000,1200,1200,1450,1400 1800,1500,1500 1000,1500,1200,2700,1600,2300,1613,
"",,Wholesale,1800,1200,1200,1800 1300,1700,1000,,1200,1200 1700,1200,900,,800,2500,1300,2000,1425,
Sunflower,Kg,Retail,,,,,3000,400,,,,,,,,,,3200,2200,
"",,Wholesale,,,,,2700,370,,,,,,,,,,3000,2023,
Poultry Products,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,,7000,15000 6000,9000,6000,7000,5600,8000,6500,5000,11000,7500,8500 8000,9000,14000,8271,
"",,Wholesale,6500,,6500,13000 5000,8500,5000,,4600,7500,5000,4000,,6000,8000 6000,7000,12500,7007,
"Chicken, Local",bird,Retail,9000,14000,15000,17500,13000,15000,8000,12000,15000 9000,7000,10000 8000,15000,12000,16500 10000,11000,13000,12105,
"",,,,,,,,,,,,,,,,,,,,15000
"",,Wholesale,800,12000,12000,16000 11500,12000,13000,,9000,14000 7000,5500,9500 6000,,10000,16000 9000,9000,12500,10267,
"Eggs, Exotic",tray,Retail,5000,6000,4500,4800 6000,5500,5000,7500,5300,5400 6000,5500,7500 6000,6000,5500,5500 5500,6500,7300,5815,
"",,Wholesale,4500,5500,4000,3700 5000,5000,4500,,4900,5000 5500,5300,5700 5500,,5000,5000 5000,5500,6700,5072,
"Eggs, Local",tray,Retail,8500,9000,4800,9000 12000,14000,13000,9000,8000,15000 7000,9000,7500 6500,9000,9000,8500 9000,12000,7500,9365,
"",,Wholesale,7500,7500,4500,7500 10000,12000,10000,,6000,12000 6500,7500,6000,,7000,8200 8500,9000,6800,8029,
Turkey,bird,Retail,,,,42000,35000,46000,8000,33000,45000,,,,,,30000,,34143,
"",,Wholesale,,,,35000,30000,38000,,30000,40000,,,,,,26000,,33167,
Pulses,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1600,2500,2600 2000,2500,3000,2200,1800,2500 1800,1500,2500 2000,2000,3000,2000,2200,1000,2142,
"",,Wholesale,1800,1500,2300,2200 1800,2000,2800,,1600,2300 1700,1300,1600 1800,,,1900,2000,900,1844,
"Dried Beans, Agwede",Kg,Retail,,,,1400 1200,,1300,,1150,1000,,1200 1700,,,,,,1279,
"",,Wholesale,,,,1200 1000,,1200,,970,900,,1500,,,,,,1128,
"Dried Beans, Nambale",Kg,Retail,2500,,2500,1200 1600,2300,1300,1300,1250,1300 1200,1200,1500 1400,1600,1200,1400 1000,1200,1500,1497,
"",,Wholesale,2300,,2300,1100 1100,2100,1200,,1150,1150 1000,1100,1300 1300,,1100,1300 900,900,1300,1329,
"Dried Beans, Yellow",Kg,Retail,2500,700,1400,1100 1800,3000,1600,1650,1350,1400,1500,1600 1400,2200,5500,1500 900,1250,1450,1779,
"",,Wholesale,2300,600,1300,900 1500,2500,1450,,1200,1200,1300,1400 1300,,1200,1400 850,1100,1350,1344,
Root Crops,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,300,,380,,,350 1000,,,450,,1000,580,
"",,Wholesale,,,,,,280,,300,,,300 900,,,430,,800,501.7,
"Cassava, Flour",Kg,Retail,800,1300,800,1100 800,1000,500,800,650,800 1000,500,550 1000,1000,500,700 1000,1000,800,830,
"",,Wholesale,700,1100,700,600 500,800,400,,580,700 900,400,400 800,,400,680 800,700,750,661.7,
"Cassava, Fresh",Kg,Retail,320,550,1000,1100 350,350,300,650,700,210 500,130,350 1000,1500,250,900 1000,400,1000,628,
"",,Wholesale,260,450,500,700 250,300,270,,500,180 400,120,300 800,,150,800 900,300,800,443.3,
"Cassava, Sun dried",Kg,Retail,,,400,800,,300,360,380,200,300,350 400,,250,430,500,1000,436.2,
"",,Wholesale,,,350,500,,280,,300,180,250,300 300,,220,410,400,1000,374.2,
Irish Potatoes,Kg,Retail,620,500,1000,1200 720,900,850,350,750,700 350,300,1000 1200,2000,700,700 500,1000,1400,837,
"",,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,540,458,800,950 620,800,750,,650,600 300,250,1000,,500,600 450,800,1400,674.6,
Sweet Potatoes,Kg,Retail,240,166,1000,700 400,350,400,800,900,240 400,130,350 1000,1000,250,700 1000,500,950,573.8,
"",,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,180,141,800,500 250,300,350,,700,200 300,120,300 800,,170,600 900,400,800,433.9,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,2500,1000,,,,,1100,3700,,,,3300,1060,,2166,
"",,Wholesale,,1900,2300,800,,,,,1000,3500,,,,3200,950,,1950,
Tea (Unprocessed),Kg,Retail,,,2800,,,,,,,,,,,,,,2800,
"",,Wholesale,,,2500,,,,,,,,,,,,,,2500,
Vanilla (Unprocessed),Kg,Retail,,,,,,3000,,,,,,,,,,3000,3000,
"",,Wholesale,,,,,,2700,,,,,,,,,,2800,2750,
