"",,Wholesale,500,700,900,,700,1500,500,480,,850,400,600,700,300,700,700,1000,700,900,
Soya Beans,Kg,Retail,2000,1400,1800,1900,1600,2000,1000,1200,1800,1500,1200,,1350,1200,1200,2700,,1600,3000,
"",,Wholesale,1800,1200,1500,1800,1300,1700,800,1000,1700,1400,1000,,1200,1000,800,2500,1600,1300,2000,
Sunflower,Kg,Retail,,,,,,,400,,,,450,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,400,,,,,,,,,
Sweet Potatoes,Kg,Retail,600,208,1000,1500,500,350,600,1000,350,340,500,230,600,700,300,1500,1200,700,,
"",,Wholesale,540,166,1000,1000,400,300,550,850,300,300,400,200,400,500,200,1000,1000,500,,
Turkey,bird,Retail,,,35000,,50000,30000,46000,33500,,54000,40000,,,,,,,30000,,
"",,Wholesale,,,30000,,40000,27000,40000,31500,,50000,37000,,,,,,,26000,30000,
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,,3500,,
"",,Wholesale,,,,,,,2300,,,,,,,,,,,3000,,
