""
"",Sorghum Flour,Kg,Retail,1000,,,,1000,1050,1000,800,700,700,1500,750,600,1200,1400,1000,1000,979
"",,,Wholesale,700,,,,700,800,800,700,500,650,1400,700,500,950,1300,900,800,814
"",Sorghum Grain,Kg,Retail,700,700,,1800,800,650,700,700,,550,1100,850,600,1100,1100,900,700,863
"",,,Wholesale,500,500,,1700,500,620,600,600,,500,1000,750,400,,1100,800,500,719
"",Soya Beans,Kg,Retail,,1500,1400,1500,1700,1100,1250,1800,1500,1400,1500,,700,1400,1200,1000,2400,1423
"",,,Wholesale,,1200,1300,1400,1200,900,1100,1600,1350,1300,1000,,600,900,1000,800,2200,119
"",Sunflower,Kg,Retail,,,,,,400,,,,,,,,,,,,40
"",,,Wholesale,,,,,,370,,,,,,,,,,,,37
"",Sweet Potatoes,Kg,Retail,410,500,700,400,400,500,1000,370,300,500,750,850,1200,250,1000,200,1000,608
"",,,Wholesale,350,400,500,350,350,450,800,340,200,400,650,750,1000,150,800,150,800,496
"",Tea (Unprocessed),Kg,Retail,,,,5000,,,,,,,,,,,,,,500
"",,,Wholesale,,,,4500,,,,,,,,,,,,,,450
"",Turkey,bird,Retail,,27000,,30000,35000,38000,30000,34000,,30000,,,,,,,35000,3237
"",,,Wholesale,,24000,,25000,30000,25000,27000,30000,,29000,,,,,,,,27143
"",Vanilla (Unprocessed),Kg,Retail,,,,,,2700,,,,,,,,,,,,270
