"",,,Central,,,,,,Eastern,,,,,,Northern,Western,,,,,Organic
"Eggs, Exotic",tray,Retail,5000,6000,4700,6000,8000,5000,,5400,5000,6000,5600,5800,7500 6000,7250 5500,6000,6200,7300,6014,
"",,Wholesale,4500,5500,3600,5000,7000,4500,5400,5000,4500,5500,5400,5600,6000 5500,5000 5200,5500,5000,6700,5284,
"Eggs, Local",tray,Retail,,9000,9000,12000,14000,13000,,8200,12000,7000,9000,9000,7500 6000,9000 8800,9000,12000,7500,9529,
"",,Wholesale,,7500,7500,10000,12000,10000,7500,6200,10000,6500,7500,8500,5700,7000 8500,8500,9000,6800,8159,
Turkey,bird,Retail,,,,42000,30000,35000,7000,32500,45000,,,25000,,,,30000,,30813,
"",,Wholesale,,,,35000,25000,25000,6500,29500,43000,,,23000,30000,,,26000,,27000,
Pulses,,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200,1700,2800,2000,4000,3200,,1800,1800,1800,1500,1200,2500 2500,1950 2000,,2200,1000,2185,
"",,Wholesale,3000,1600,2400,1800,3500,3000,1501,1680,1600,1700,1000,1100,1600 2200,2000 1900,,2000,900,1916,
"Dried Beans, Agwede",Kg,Retail,,,1400,1200,,1100,,1200,1000,,,,1500,,,,,1233,
"",,Wholesale,,,1200,1000,,1000,,1050,900,,,,1300,,,,,1075,
"Dried Beans, Nambale",Kg,Retail,220,,1200,1700,2300,1200,,1300,1400,1000,1400,1500,1300 1500,1550 1600,1200,1400,1600,1375,
"",,Wholesale,2000,,1100,1400,2100,1100,12380,1200,1300,800,1300,1300,1200 1300,1400 1550,1100,1000,1400,1941,
"Dried Beans, Yellow",Kg,Retail,2300,700,1000,2000,3000,2200,,1400,1500,,,1550,1500 1500,1900 1800,1000,1300,1450,1631,
"",,Wholesale,2100,600,800,1700,2300,1800,1310,1280,1400,,,1350,1300 1400,1800 1750,900,1100,1350,1426,
Root Crops,,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,280,,380,113.33,,,350,300 400,580,,,1000,425,
"",,Wholesale,,,,,,250,,290,93.333,,,230,280 300,550,,,800,349,
"Cassava, Flour",Kg,Retail,,1200,1100,700,,450,,650,500,1000,500,600,500 700,450 1000,1000,1000,800,759,
"",,Wholesale,,1000,600,400,,400,350,520,300,900,400,450,380 450,900,900,700,750,588,
"Cassava, Fresh",Kg,Retail,,550,1000,350,350,350,,800,90,500,110,250,300 900,800 1000,1500,350,1000,600,
"",,Wholesale,,450,600,250,300,300,500,600,70,400,100,200,250 800,500 900,1000,230,800,458,
"Cassava, Sun dried",Kg,Retail,,,,700,,300,,380,140,,250,350,350 300,300 550,,500,1000,427,
"",,Wholesale,,,,450,,250,250,290,120,,200,240,300 250,500,,400,800,338,
Irish Potatoes,Kg,Retail,630,458,1200,720,1000,650,,800,600,250,600,600,1200 1200,750 700,520,800,1850,807,1500
"",,Wholesale,540,416,700,640,850,550,400,680,500,200,500,550,900 1000,500 650,500,600,1550,643,
Sweet Potatoes,Kg,Retail,250,160,1000,400,350,300,,800,160,400,120,300,500 1000,800 500,1000,500,1150,538,1500
"",,Wholesale,200,140,600,300,300,250,500,600,150,300,110,250,370 1000,500 400,900,400,1050,438,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,,1000,4100,4200,,,4200,,1150,,2593,
"",,Wholesale,,1900,800,,,,,,900,4000,4000,,,4000,,1000,,2371,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,,,3500,,,,,,,,,,4300,3200,3667,
"",,Wholesale,,,,,,2700,,,,,,,,,,3500,3000,3067,
