"",,,Wholesale,700,900,1300,,1500,900,800,900,900,700,700,800,1500,1000,400,1300,1100,,
"",Sorghum Grain,Kg,Retail,700,900,1200,,1600,1000,650,800,800,,650,650,1000,900,400,1100,1700,,
"",,,Wholesale,500,800,1000,,1100,700,600,700,700,,650,600,900,800,350,1000,1450,,
"",Soya Beans,Kg,Retail,2000,1400,,1400,1700,1800,1400,1300,1800,1800,1400,1400,1700,1500,1200,,,1300,150
"",,,Wholesale,1800,1200,,1300,1500,1500,1100,1200,1500,1700,1200,1200,,1400,1000,,,1200,140
"",Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,260,,
"",,,Wholesale,,,,,,,370,,,,,,,,,,170,,
"",Sweet Potatoes,Kg,Retail,580,150,,800,400,450,550,1300,280,400,200,450,650,900,1200,1000,,650,
"",,,Wholesale,450,100,,500,350,400,500,1100,260,300,190,400,600,700,1000,800,,450,
"",Turkey,bird,Retail,,,,,,35000,35000,32000,46000,,25000,33000,,,,27000,,,
"",,,Wholesale,,,,,,30000,25000,29000,44000,,20000,32000,,,,24000,,,
"",Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,3000,,,
