"",,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,,,
Fish ‐ Nile Perch,1Kg,Retail,"5,500","6,000","4,000",,"4,500",,"5,000","3,000","6,500","6,500 4,500",,,"3,000",,"5,056","6,500"
"",,Wholesale,"5,000","5,000","3,300",,"4,000",,"4,500","2,800","6,000","5,000 4,000",,,"2,800",,"4,400","6,000"
Fish ‐ Tilapia,whole,Retail,"4,000","4,000 14,000","3,000","3,500","4,500",,"7,000","6,000","7,600","8,500 3,500","6,000","3,000","6,000 3,000",,"5,757","14,000"
"",,Wholesale,"3,500","3,500 10,000","2,500","3,000","4,000",,"6,000","5,500","7,000","7,000 3,000",,"2,000","5,000 2,000",,"4,769","10,000"
Goat Meat,1Kg,Retail,"6,000","5,500 6,000","4,000","5,500","5,000","5,000","6,000","4,800","4,500","5,000 5,000","4,500","5,000","5,000 4,000",,"5,120","6,000"
"",,Wholesale,"5,000","4,800 4,500","3,000","4,500","4,600","4,500","5,000","4,400","4,300","5,000 5,000",,"5,000","3,800 3,000",,"4,529","5,000"
"Groundnuts, unpounded",1Kg,Retail,"2,500","2,500 2,000","2,200","2,200",,"2,000","2,400","1,700","1,700","2,500 2,500","2,200","2,200","2,500 1,700",,"2,221","2,500"
"",,Wholesale,"2,300","2,100 1,900","2,000","1,850",,"1,800","2,000","1,500","1,650","2,000 2,200","2,000","2,200","2,300 1,500",,"1,986","2,300"
CommodityWeight,CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,,,,
Commodity,Kalerwe,Nakawa,Owino,Kiboga,Masaka,Iganga,Kapch',Jinja,Mbale,Soroti,Lira,Arua,Hoima,Kasese,Kisoro,Min,Avg,Max,,
Honey (Processed),1Kg,Retail,"8,000","7,000",,"6,500","8,000","5,900",,,"9,000","6,000","3,800","4,200",,,"7,000","3,800","6,540","9,000"
"",,Wholesale,"7,500","5,000",,"6,000","6,000","5,600",,,"7,000","5,800","3,500","4,000",,,"6,000","3,500","5,640","7,500"
Honey [Unprocessed],1Kg,Retail,"7,500",,,,,"2,450",,,"3,600","2,500","3,000",,,,"3,500","2,450","3,758","7,500"
"",,Wholesale,"7,000",,,,,"2,250",,,"2,900","2,300","3,000",,,,"3,100","2,250","3,425","7,000"
Irish Potatoes,1Kg,Retail,500,500,420,800,"1,000",600,400,600,400,600,900,"1,200",800,300,350,300,625,"1,200"
"",,Wholesale,420,385,380,700,700,500,300,500,350,500,800,"1,000",635,300,300,300,518,"1,000"
Maize Flour,1Kg,Retail,"1,300","1,400","1,200","1,400","1,300","1,100","1,000","1,200","1,100","1,200","1,500","1,300","1,200","1,100","1,100","1,000","1,227","1,500"
"",,Wholesale,"1,100","1,200","1,000","1,200","1,100",900,900,"1,100","1,000","1,000","1,000","1,200",900,"1,100",900,900,"1,040","1,200"
Maize Grain,1Kg,Retail,"1,000",900,650,650,700,600,500,600,600,500,450,700,500,,700,450,646,"1,000"
"",,Wholesale,850,700,640,500,600,500,400,500,500,450,400,500,450,,650,400,546,850
Matooke,1Kg,Retail,350,410,350,550,212,400,"2,500",300,400,350,550,550,166,250,300,166,509,"2,500"
"",,Wholesale,280,360,320,450,188,300,"2,000",280,300,300,500,500,150,200,250,150,425,"2,000"
Matooke (Bunch),Bunch,Retail,,"9,000","12,000","6,000","8,500","15,000",,"15,000","10,000","13,500","8,500","7,500",,"7,500","6,500","6,000","9,917","15,000"
"",,Wholesale,,"8,000","10,000","4,500","7,500","13,000",,"14,000","9,000","11,000","7,500","6,500",,"7,000","6,000","4,500","8,667","14,000"
Milk (One Litre),Ltrs,Retail,800,"1,000",900,800,800,350,500,700,800,700,500,"1,000",600,700,600,350,717,"1,000"
"",,Wholesale,700,800,700,500,450,250,400,600,600,650,400,800,400,700,425,250,558,800
Millet Flour,1Kg,Retail,"1,600","1,800","1,800","1,600","1,900","1,550",,"2,500","1,500","1,350","1,800","1,600","2,000","1,200","1,400","1,200","1,686","2,500"
"",,Wholesale,"1,400","1,400","1,400","1,400","1,400","1,350",,"1,200","1,200","1,250","1,500","1,500",,"1,200","1,300","1,200","1,346","1,500"
Millet Grain,1Kg,Retail,"2,000",900,850,"1,200","1,200","1,000","1,050","1,000","1,200",750,700,"1,200","1,200","1,100","1,000",700,"1,090","2,000"
"",,Wholesale,"1,400",700,800,900,"1,000",900,"1,000",850,900,700,600,"1,000",,"1,100",900,600,911,"1,400"
Rice (Kayiso),1Kg,Retail,"1,800","1,800","1,700","2,000","2,400","1,500","1,600","1,400","1,600","1,700","2,000","2,000",,"1,800","1,800","1,400","1,793","2,400"
"",,Wholesale,"1,700","1,500","1,550","1,800","2,000","1,300","1,400","1,300","1,400","1,600","1,800","2,000",,"1,800","1,700","1,300","1,632","2,000"
Rice (Super),1Kg,Retail,"2,000","2,100","2,000","2,300","1,800","1,800","2,000","2,000","2,000","1,800","2,000","2,200","2,000","2,000","2,800","1,800","2,053","2,800"
"",,Wholesale,"1,900","1,900","1,700","2,000","1,600","1,600","1,800","1,800","1,800","1,700","1,900","2,000","1,800","2,000","2,500","1,600","1,867","2,500"
Simsim,1Kg,Retail,"4,000","3,000","2,500","3,500",,"2,300",,"2,500","3,000","2,100","2,000","2,800",,"2,100",,"2,000","2,709","4,000"
"",,Wholesale,"3,800","2,600","2,000","3,100",,"2,100",,"1,800","2,700","2,000","1,800","2,600",,"2,000",,"1,800","2,409","3,800"
Sorghum Flour,1Kg,Retail,"1,200",900,"1,000",,,"1,000",,"1,000",700,600,"1,200","1,500",,,800,600,990,"1,500"
"",,Wholesale,900,700,800,,,900,,900,600,500,"1,000","1,500",,,700,500,850,"1,500"
Sorghum Grain,1Kg,Retail,"1,200",800,620,700,,700,,800,600,500,450,"1,000",,"1,100",600,450,756,"1,200"
"",,Wholesale,900,500,570,550,,600,,700,400,400,400,"1,000",,"1,100",550,400,639,"1,100"
Soya Beans,1Kg,Retail,"2,500","1,800","1,100","1,500","1,500","1,100",,"1,800","1,700","1,200","1,000","1,400","1,400","2,250","1,800","1,000","1,575","2,500"
"",,Wholesale,"2,300","1,400",900,"1,000","1,400",900,,"1,500","1,400","1,000",800,"1,000",,"2,200","1,600",800,"1,338","2,300"
Sunflower,1Kg,Retail,,,550,"2,000",,600,,,,400,550,,,,,400,820,"2,000"
"",,Wholesale,,,450,"1,800",,500,,,,350,500,,,,,350,720,"1,800"
Sweet Potatoes,1Kg,Retail,500,275,420,600,"1,000",600,200,400,700,250,500,400,500,300,200,200,456,"1,000"
"",,Wholesale,260,225,400,450,800,500,150,350,500,200,500,300,342,300,150,150,362,800
Tea (Unprocessed),1Kg,Retail,,,400,,,,,,,500,,,,,,400,450,500
"",,Wholesale,,,350,,,,,,,400,,,,,,350,375,400
Turkey (Bird),bird,Retail,,"30,000",,"27,000",,"25,000",,"25,000","30,000","24,000","20,000",,,,,"20,000","25,857","30,000"
"",,Wholesale,,"25,000",,"23,000",,"22,000",,"20,000","20,000","22,000","17,000",,,,,"17,000","21,286","25,000"
Upland Rice,1Kg,Retail,"1,600",,"1,600","1,800","2,000","1,500",,"1,500",,"1,750","1,800",,,"1,800","1,800","1,500","1,715","2,000"
"",,Wholesale,"1,500",,"1,500","1,500","1,800","1,250",,"1,400",,"1,700","1,800",,,"1,800","1,700","1,250","1,595","1,800"
Vanilla (Unprocessed),1Kg,Retail,,,"2,500","1,800",,,,,,"2,700",,,,,,"1,800","2,333","2,700"
