"",,,,Central,Eastern,NorthernWestern,,,,,,,,,,,,,,,
"",CommodityWeightKalerweKiboga LuweroMasakaNakaseroOwinoIgangaJinjaKapchor SorotiAruaGuluLiraHoimaKabaleKisoro Mbarara,Avg,,,,,,,,,,,,,,,,,,,
"",,,Wholesale,2300,2400,2300,1800,2200,2100,2300,2400,1800,2200,2400,2300,2200,,2600,2000,,2220
"",Rice (Upland),Kg,Retail,1800,2200,2500,2000,2500,2000,2000,2200,,,2400,1720,2000,2000,2300,2000,1800,2095
"",,,Wholesale,1700,2000,2000,1800,2200,1800,1800,2000,,,2000,1600,1800,1850,1850,1800,1500,1847
"",Simsim,Kg,Retail,3000,3000,2700,,5000,2500,2300,,,2500,2200,2800,2400,,3800,,2300,2875
"",,,Wholesale,2800,2500,2500,,4500,1900,2100,,,2300,1700,2600,2000,,2800,,2000,2475
"",Sorghum Flour,Kg,Retail,1000,,1400,,,1000,1000,800,700,700,1500,860,500,,1200,1000,1000,974
"",,,Wholesale,700,,1400,,,850,800,700,500,650,1400,750,500,,950,900,800,838
"",Sorghum Grain,Kg,Retail,700,700,1400,,1800,670,700,700,,550,1100,750,600,,1100,900,700,884
"",,,Wholesale,500,500,715,,1700,600,600,650,,500,1000,650,500,,,800,500,709
"",Soya Beans,Kg,Retail,,1500,1500,1400,1500,1100,1250,1800,1500,1400,1500,,700,900,1400,1000,2400,1390
"",,,Wholesale,,1200,1400,1300,1400,900,1100,1500,1350,1300,1000,,600,800,900,800,2200,1183
"",Sunflower,Kg,Retail,,,,,,400,,,,400,,,,,,,,400
"",,,Wholesale,,,,,,370,,,,350,,,,,,,,360
"",Sweet Potatoes,Kg,Retail,380,700,1200,700,350,500,1000,350,300,450,700,900,1000,600,250,200,,599
"",,,Wholesale,280,500,800,500,300,450,800,340,200,350,600,800,800,400,150,150,,464
"",Tea (Unprocessed),Kg,Retail,,,,,5000,,,,,,,,,,,,,5000
"",,,Wholesale,,,,,4500,,,,,,,,,,,,,4500
"",Turkey,bird,Retail,,27000,35000,,35000,35000,30000,35000,,30000,,,,,,,35000,32750
"",,,Wholesale,,24000,26000,,30000,30000,27000,33000,,29000,,,,,,,,28429
"",Vanilla (Unprocessed),Kg,Retail,,3000,,,5500,2700,,,,,,,,,,,3500,3675
"",,Wholesale,,2500,,,5000,2300,,,,,,,,,,,1500,2825,
