"",,,Central,,,,,,Eastern,,,,,Northern,Western,,,,,Organic
CommodityName,Unit,,KAL,KIB,MSK,NAK,NKS,OWI,IGA,JJA,KAP,MBA,SOR,ARU LRA,HOI KAS,KLE,KSR,MBR,,prices
"Cassava, Sun dried",Kg,Retail,,,,800,,280,380,200,,300,380,350 400,250 430,,500,1000,439.17,
"",,Wholesale,,,,450,,250,300,180,,250,260,300 300,200 410,,400,800,341.67,
Irish Potatoes,Kg,Retail,620,500,1500,640,1000,,750,600,200,300,600,1000 1200,700 700,500,900,1400,771.18,
"",,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,540,458,950,560,950,,650,500,150,260,550,1000,500 600,450,700,1300,632.38,
Sweet Potatoes,Kg,Retail,260,166,700,400,350,350,900,270,400,120,350,420 1000,250 750,1000,500,1000,510.33,
"",,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,200,141,500,300,300,300,700,250,300,100,300,350 800,200 700,900,400,850,421.72,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,1000,,3800,,,3200,,1150,,2108.3,
"",,Wholesale,,1900,800,,,,,900,,3700,,,3100,,950,,1891.7,
Vanilla (Unprocessed),Kg,Retail,,,,,,3000,,,,,,,,,,3000,3000,
"",,Wholesale,,,,,,2700,,,,,,,,,,2800,2750,
