Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Soya Beans,Kg,Retail,2000,1400,1800,1400,1600,1800,1000,1400,1800,1800,1000,,2000,1500,1000,2000,,,1600,1500
"",,Wholesale,1800,1200,1500,1300,1500,1400,800,1150,1600,1700,900,,,1300,800,1000,,,1300,1400
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,590,150,1000,,650,550,620,1200,360,300,200,500,450,900,600,700,450,1000,700,900
"",,Wholesale,500,100,1000,,600,450,570,950,340,200,180,450,400,800,500,600,300,800,500,800
Turkey,bird,Retail,,,29000,,35000,40000,45000,33500,38000,,25000,34000,,,,,,,29000,32000
"",,Wholesale,,,28000,,30000,30000,35000,30000,36000,,20000,32000,,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,,,3500,3000
"",,Wholesale,,,,,,,2300,,,,,,,,,,,,3000,2000
