"",Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
"",Rice (Super),Kg,Retail,2600,2700,2500,2000,2600,2800,2500,2400,2500,2400,2600,2400,2500,2600,2500,,2500,2300,2500
"",,,Wholesale,2400,2500,2250,1800,2500,2600,2300,2200,2300,2300,2300,2200,,2400,2300,,2300,2100,2400
"",Rice (Upland),Kg,Retail,2300,2300,2200,2000,2500,,2100,2200,2500,,,,2400,2200,2000,2800,2500,2200,2000
"",,,Wholesale,2100,2100,2000,1800,2400,,2000,1900,2300,,,,2000,2100,1800,2100,1850,2000,1800
"",Simsim,Kg,Retail,3000,3000,2700,3000,5000,3000,2500,2400,2400,2500,2600,2600,2500,2400,2500,,3800,,4000
"",,,,,,,,,,,,,,,,,,,,,,
"",Sorghum Flour,Kg,Retail,1000,,1400,,,1200,1000,1000,1000,800,1000,1000,1500,1200,800,,1800,1000,1100
"",,,Wholesale,700,,1300,,,1000,800,800,900,700,900,900,1400,1100,600,,1550,900,1000
"",Sorghum Grain,Kg,Retail,,700,1100,,1800,1000,650,700,800,,900,650,1000,900,400,,1400,900,1500
"",,,Wholesale,,500,900,,1700,700,620,600,700,,800,580,800,850,350,,1100,800,1400
"",Soya Beans,Kg,Retail,2000,1500,1800,1400,1500,1500,1300,1350,2500,1800,1800,1400,2000,,1200,900,1800,1000,1450
"",,,Wholesale,1800,1200,1500,1300,1400,1200,1100,1200,2300,1700,1300,1250,1800,,1000,800,1450,800,1400
"",Sunflower,Kg,Retail,,,,,3000,,,,,,,400,,,,,,,
"",,,Wholesale,,,,,2500,,,,,,,350,,,,,,,
"",Sweet Potatoes,Kg,Retail,600,650,1200,800,350,350,550,1000,290,300,1000,450,550,900,1200,600,250,150,
"",,,Wholesale,500,450,800,500,300,300,500,800,270,200,,400,500,800,1000,400,150,100,
"",Tea (Unprocessed),Kg,Retail,,,,,5000,,,,,,,,,,,,,,
"",,,Wholesale,,,,,4500,,,,,,,,,,,,,,
"",Turkey,bird,Retail,,27000,28000,,30000,35000,,30000,38000,,25000,31000,,,,,,,38000
"",,,Wholesale,,24000,25000,,25000,30000,,27000,37000,,20000,29000,,,,,,,35000
"",Vanilla (Unprocessed),Kg,Retail,,3000,,,6000,,2700,,,,,,,,,,,,
