CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara,Avg
"",,Wholesale,800,500,2000,600 600 1200,1200,2200,1000,1000,1400,,1800,1000,700,1500,1300,600,1141
Pork,Kg,Retail,5000,5000,4500,4500 5000 5000,,6000,4000,4200,4000,5000,5000,5000,6000,,4000,,4813
"",,Wholesale,4500,4500,4500,3500 3500 4000,,5000,3600,3700,3700,5000,4500,4500,5000,,3300,,4187
Rice (Kayiso),Kg,Retail,1800,2800,2400,2200 1900 2000,1700,1700,2200,1600,2000,2000,1900,1800,,,2500,2600,2069
"",,Wholesale,1600,2500,2400,1800 1700 1700,1600,1500,2000,1600,1800,1600,1700,1700,,,2300,2250,1859
Rice (Super),Kg,Retail,,2300,2400,2100 2600 2300,2200,2000,2300,2400,2400,2500,2700,2000,2500,2400,2500,2500,2359
"",,Wholesale,,2200,2400,1800 2200 2100,2100,1800,2100,2200,2000,2000,2600,1800,2350,2300,2350,1000,2076
Rice (Upland),Kg,Retail,1600,2200,2000,2300 1900 1800,1800,1700,2000,,,2000,1480,1800,,,2500,,1929
"",,Wholesale,1500,2000,2000,1800 1700 1600,1750,1500,1800,,,1800,1420,1700,,,2500,,1775
Simsim,Kg,Retail,3000,,2500,3300 3000 3000,2300,2700,2500,2800,2100,2000,2600,2700,,2000,,3800,2687
"",,Wholesale,2800,,2500,2900 2500,2000,2600,2400,2400,1800,1750,2400,2600,,1800,,3500,2425
Sorghum Flour,Kg,Retail,1000,900,1200,1000 1000,900,1000,1000,600,1000,1500,1600,1800,1300,1600,,900,1144
"",,Wholesale,700,800,1000,700 750,700,900,900,500,750,1300,1500,1500,800,1500,,750,941
Sorghum Grain,Kg,Retail,700,800,900,800 530,600,900,,480,450,800,850,400,900,1100,800,1000,751
"",,Wholesale,500,700,900,500 500,500,800,,460,350,600,750,300,700,1000,700,900,635
Soya Beans,Kg,Retail,2000,1400,1800,1900 1600 1000,1200,1700,1800,1200,1200,2000,1200,1000,2700,1700,2300,3000,1706
"",,Wholesale,1800,1200,1500,1800 1300 800,1000,1600,1700,1000,1000,,1000,950,2500,1600,2100,2000,1462
Sunflower,Kg,Retail,,,,400,,,,,450,,,,,,,,425
"",,Wholesale,,,,370,,,,,400,,,,,,,,385
Sweet Potatoes,Kg,Retail,630,208,1000,1500 500 620,1100,370,500,210,500,280,800,500,1500,1200,700,1400,751
"",,Wholesale,540,166,1000,1000 400 580,900,350,400,200,400,200,600,400,1000,1000,500,1200,602
Turkey,bird,Retail,,,35000,45000 45000,33000,54000,,30000,39000,,,,,,30000,,38875
"",,Wholesale,,,30000,35000 30000,31000,50000,,30000,36000,,,,,,26000,,33500
Vanilla (Unprocessed),Kg,Retail,,,,2700,,,,,,,,,,,3500,,3100
"",,Wholesale,,,,2400,,,,,,,,,,,3000,,2700
