"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
"Dried Beans, Others",Kg,Retail,,900,1400,1200,2200,1700,1500,1500,1300,,1000,,,,1500,1300,,,1300,
"",,Wholesale,,800,1300,1000,2000,1350,1400,1300,1200,,900,,,,1200,1100,,,1100,
"Dried Beans, Yellow",Kg,Retail,1600,700,2200,1200,2500,1900,1500,1600,1700,,1500,1500,1800,,1700,1500,1200,1000,1350,900
"",,Wholesale,1400,600,2000,1000,2300,1600,1400,1350,1550,,1300,1400,1650,,1300,1200,900,900,1100,800
"Eggs, Exotic",tray,Retail,5000,6500,5000,6500,6000,6000,4800,6800,5300,6000,5800,5700,7500,6000,6000,6000,6500,5500,6000,6500
"",,Wholesale,4500,6000,4800,4700,5800,5000,4500,5500,5000,5500,5300,5600,6000,5800,6000,5000,5500,5000,5500,600
"Eggs, Local",tray,Retail,10000,9000,5500,9000,15000,7500,11000,8500,7000,,12000,7100,7500,,6500,9000,8500,7000,8500,7500
"",,Wholesale,9000,7500,5200,7500,14000,5500,9000,6600,6500,,9000,6900,,,6000,7500,7500,6800,7000,7000
"Fish, Nile Perch",Kg,Retail,,,,,,7000,7000,,6000,,4800,4500,5000,,,,,,5000,
"",,Wholesale,,,,,,6000,6000,,5000,,4500,4000,5000,,,,,,4500,
"Fish, Tilapia",whole,Retail,3500,6500,4000,3000,5000,4000,5000,6500,8500,2200,4500,5500,4000,5000,4000,6000,6500,3500,4500,600
"",,Wholesale,3000,5000,3500,2500,4000,3500,4000,5000,8000,2100,4000,5000,,4500,3500,,5500,3000,4000,500
Goat Meat,Kg,Retail,7000,6000,5000,5500,6000,6000,6000,5500,6000,5000,4800,5000,5500,6000,6000,5000,5500,6000,4500,500
"",,Wholesale,6000,5000,4800,4500,5500,4800,4500,4500,5000,4800,4500,4800,5500,5800,5500,,4500,5800,3600,4500
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2700,2300,3000,2600,2600,2500,2600,2800,2100,2100,2500,2500,3000,3000,2450,2300,2500,250
"",,Wholesale,2700,2300,2300,2100,2500,2300,2300,2250,2500,2700,2000,2000,,2400,2800,2300,2200,2200,2300,2400
"Honey, Processed",ltr,Retail,7500,7000,3500,8800,8000,8000,,7500,4000,,,6400,3500,4500,4000,,7000,,10000,1000
"",,Wholesale,7000,6000,3500,6800,7500,7000,,6400,3000,,,6100,3050,3800,3500,,6500,,8000,9000
"Honey, Unprocessed",ltr,Retail,,3500,,,5000,6500,,4000,2500,,,3000,,4000,4000,,4500,,7500,
"",,Wholesale,,3100,,,4500,6000,,3500,2000,,,2800,,3500,3500,,3000,,6500,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakaser,Nakawa,Owino,Iganga,Jinja,Kapchor,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Irish Potatoes,Kg,Retail,780,458,1200,1000,1000,600,600,900,1000,500,400,1000,1500,1000,1000,,500,800,900,1200
"",,Wholesale,660,416,1000,700,800,500,550,700,900,400,350,900,1300,900,800,,450,650,700,1000
Maize Flour,Kg,Retail,1500,1400,1700,1300,1500,1500,1500,1500,1500,1400,1300,1500,1600,1600,1400,,1400,1300,1600,1000
"",,Wholesale,1400,1000,1500,1100,1300,1350,1400,1350,1300,1300,1100,1350,1500,1400,1200,,1150,1200,1300,800
Maize Grain,Kg,Retail,1000,800,700,1000,1300,1100,700,850,840,800,700,800,900,950,900,,1400,1000,700,1200
"",,Wholesale,900,700,620,700,1100,1000,670,700,800,770,600,750,850,900,800,,620,900,630,1100
Matooke,Kg,Retail,350,175,1000,175,450,360,320,420,250,400,,500,450,,1000,,400,800,500,900
"",,Wholesale,300,150,600,150,400,310,300,360,200,300,,450,400,,1000,,370,600,400,800
Matooke (Bunch),Bunch,Retail,8000,7000,13000,7000,11000,8000,9000,15000,11000,8000,12000,10000,12000,15500,9000,,11000,10000,8000,5500
"",,Wholesale,7000,6000,10000,6000,10000,7000,7500,13000,10000,6000,10000,9000,11000,14000,7000,,8500,9000,4800,500
Milk,Ltrs,Retail,800,700,600,700,800,800,800,1000,800,400,800,800,1000,1000,1200,700,600,750,800,500
"",,Wholesale,700,500,400,400,700,700,700,800,700,350,700,700,800,800,1000,600,500,700,600,400
Millet Flour,Kg,Retail,1200,1500,1600,1500,1700,2000,2000,1600,1600,1800,1500,1400,1600,1400,1500,3000,1300,1400,1600,1800
"",,Wholesale,900,1400,1500,1300,1500,1600,1700,1300,1400,1700,1400,1350,1500,1300,1300,,1200,1350,1400,1500
Millet Grain,Kg,Retail,1200,1500,1000,1400,1500,1100,1150,1100,1300,1300,1200,1100,1450,1200,900,1500,1400,1300,1200,1200
"",,Wholesale,900,1400,800,1200,1400,1000,1050,1000,1200,1200,1150,950,1300,1100,800,1000,950,1200,800,900
Pineapple,whole,Retail,1200,800,1300,800,1500,1200,1200,1800,1800,,1000,1500,1500,1400,,1000,500,1200,2100,1200
"",,Wholesale,900,500,1000,700,1000,900,800,1200,1600,,800,1400,1200,1200,,800,350,1000,1200,100
Pork,Kg,Retail,4500,5000,4000,4000,,5000,5000,,6000,4000,3800,4000,,4500,4200,5000,4800,4600,4000,5500
"",,Wholesale,4000,4500,3800,3500,,3500,4200,,5000,3600,3500,3800,,4300,4000,,3800,4500,3000,4000
Rice (Kayiso),Kg,Retail,2400,2800,2400,2400,,2300,2400,2200,2200,2200,2000,2200,2400,2400,2000,,,,2500,250
"",,Wholesale,2300,2500,2300,2000,,2100,2300,1900,1900,2100,1900,2100,2200,2300,2000,,,,2400,2300
Rice (Super),Kg,Retail,2600,2300,2500,2000,2500,2600,2700,2500,2500,2500,2400,2400,2500,2700,2250,2800,2600,,2600,250
"",,Wholesale,2500,2100,2250,1800,2200,2300,2500,2300,2400,2400,2200,2200,2200,2600,2150,,,,2500,2400
"",,,,,,,,,,,,,,,,,,,,,,
"",,Wholesale,2100,,2000,1800,2300,2100,,1800,2300,,,,2200,2300,,2100,1850,1915,2100,1800
Simsim,Kg,Retail,3000,,2700,3000,4000,3000,2500,2200,2500,2500,2400,2500,2500,2500,2200,,3800,2100,3000,4000
"",,Wholesale,2800,,2500,2700,3500,2500,1900,2000,2300,2400,2300,2300,,2450,2000,,2800,2000,2500,3800
Sorghum Flour,Kg,Retail,,1000,1400,,1800,,1000,,,800,800,1000,1500,,,,1650,1300,,1100
"",,Wholesale,,900,1300,,1500,,800,,,700,750,850,1400,,,,1400,1200,,1000
Sorghum Grain,Kg,Retail,,900,1200,,1600,,670,,800,,700,650,1000,1200,400,,1300,1100,700,1500
"",,Wholesale,,800,1000,,1400,,620,,700,,650,550,900,1100,300,,1100,1000,500,1400
Soya Beans,Kg,Retail,2000,1400,1800,1400,1700,1600,1400,1200,2200,1800,1400,2500,2000,1700,1200,1000,1700,1300,1500,1500
"",,Wholesale,1800,1200,1500,1300,1500,1400,1100,1150,1800,1700,1200,2300,,1600,1000,800,1450,1100,1200,1400
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,500,150,1100,800,400,350,500,1200,280,400,150,260,900,,1200,600,260,1200,650,
"",,Wholesale,440,100,900,500,350,300,450,1000,260,300,143,170,800,,1000,400,170,1000,450,
Tea (Unprocessed),Kg,Retail,,,,,4500,,,,,,,,,,,,,,,
"",,Wholesale,,,,,4000,,,,,,,,,,,,,,,
Turkey,bird,Retail,,,28000,,30000,35000,,33000,45000,,,,,,,,,,27000,
"",,Wholesale,,,25000,,25000,30000,,30000,43000,,,,,,,,,,24000,
Vanilla (Unprocessed),Kg,Retail,,,,,6000,,,,,,,,,,,,,,3000,4000
2100,,2000,1800,2300,2100,,1800,2300,,,,2200,2300,,2100,1850,1915,2100,1800
2800,,2500,2700,3500,2500,1900,2000,2300,2400,2300,2300,,2450,2000,,2800,2000,2500,3800
