"",,Wholesale,2500,4500,3600,3500,3400,4000,5000,8000,1800,4800,5300,4200,5000,ulu,6500,3800,3000,4500,4317.6,8000,1800
Goat Meat,Kg,Retail,6000,4500,5000,5500,6000,6000,5000,6000,5000,5000,5500,6000,4500,5000,5000,5800,6000,5500,5405.6,6000,4500
"",,Wholesale,5000,3500,5000,4500,5000,4300,4500,5000,4800,4800,5500,5800,4000,,4500,5400,5000,5000,4800,5800,3500
"Groundnuts, Unpounded",Kg,Retail,2500,2400,2800,2000,2500,2500,2400,2200,2400,2000,2500,2300,2000,2200,2400,2300,2500,2500,2355.6,2800,2000
"",,Wholesale,2300,2100,2500,1900,2150,2050,2200,2100,2300,1850,2200,2200,2000,2000,2250,2200,2300,2400,2166.7,2500,1850
"Honey, Processed",Kg,Retail,7500,10000,3500,8000,8000,,7000,5500,,6400,3500,4800,4000,,4000,20000,7000,10000,7280,20000,3500
"",,,,,AvgMaxMin,,,,,,,,,,,,,,,,,,
"Honey, Unprocessed",Kg,Retail,6500,7500,2600,,7000,,3000,4000,,2800,2500,4500,4000,,7000,12000,3500,10000,5492.9,12000,2500
"",,Wholesale,6000,6500,2200,,6000,,2800,3500,,2700,2100,4300,4000,,6500,10000,3100,9000,4907.1,10000,2100
Irish Potatoes,Kg,Retail,490,1000,1150,600,500,550,700,700,500,850,1000,1000,800,700,450,800,400,800,721.67,1150,400
"",,Wholesale,450,700,850,450,400,520,550,600,400,800,900,900,800,550,400,700,375,600,608.06,900,375
Maize Flour,Kg,Retail,1400,1500,1200,1200,1300,1100,1300,1200,1200,1200,1400,1200,1500,1200,1300,1200,1000,1100,1250,1500,1000
"",,Wholesale,1200,1250,1100,950,1100,950,1100,1100,1000,1100,1300,1100,1200,1100,1150,1100,800,1000,1088.9,1300,800
Maize Grain,Kg,Retail,1000,500,1000,1000,800,590,600,620,700,650,750,580,1500,630,1000,1000,500,1200,812.22,1500,500
"",,Wholesale,900,460,800,700,700,570,550,600,650,600,700,530,1500,590,620,900,450,1000,712.22,1500,450
Matooke,Kg,Retail,400,500,1000,200,410,320,450,280,400,450,400,3500,1200,500,450,550,200,800,667.22,3500,200
"",,Wholesale,310,450,600,175,360,280,400,260,300,400,350,3000,1000,,400,500,150,600,560.88,3000,150
Matooke (Bunch),Bunch,Retail,7500,8000,7000,8000,9000,10000,15000,14000,8000,10000,8500,15500,10000,7000,12000,8500,9000,5500,9583.3,15500,5500
"",,Wholesale,6000,5000,6500,7000,8000,7000,12500,13000,6000,9000,8000,15200,7000,,9500,8000,8000,4500,8247.1,15200,4500
Milk,Ltrs,Retail,800,800,500,700,700,800,900,800,500,800,1000,1000,1200,800,500,750,700,500,763.89,1200,500
"",,Wholesale,700,600,500,400,600,700,700,700,400,700,800,800,1000,600,400,700,500,400,622.22,1000,400
Millet Flour,Kg,Retail,1200,1600,1150,1500,1900,2000,1400,1500,,1400,1600,1100,1500,2000Kiboga,1500,1400,1300,800,1461.8,2000,800
"",,Wholesale,900,1400,850,1300,1500,1600,1100,1300,,1300,1500,900,1400,,1200,1350,1200,700,1218.8,1600,700
Millet Grain,Kg,Retail,1200,1200,900,1400,1100,590,1000,1000,1050,900,1000,1200,800,800,1200,1300,1100,850,1032.8,1400,590
"",,Wholesale,900,800,650,1200,1000,570,850,900,1000,850,900,1150,600,Luw7e0r0o,950,1200,1000,750,887.22,1200,570
Pineapple,whole,Retail,1200,2500,,900,1500,1200,2000,2000,1200,1500,2300,2000,2000,,500,1200,800,800,1475,2500,500
"",,Wholesale,1000,1200,700,700,1200,700,1500,1800,1000,1450,2000,1800,1800,,350,1000,500,500,1129.4,2000,350
Pork,Kg,Retail,5000,4000,4200,4000,5000,5000,,6000,,4000,,4500,5000,5000,4800,5000,5000,7500,4933.3,7500,4000
"",,,,,,,,,,,,,,,,,,,,,,,
"",,Wholesale,4500,2800,3800,3500,3500,4100,,5000,,3800,,4300,4500,,3800,4800,4500,7000,4278.6,7000,2800
Rice (Kayiso),Kg,Retail,1900,2250,1600,2400,2000,2000,1900,2000,1800,2000,2400,1580,2200,Nakaw,2500,,2800,2300,2101.9,2800,1580
"",,Wholesale,1800,2100,1400,2000,1800,1800,1750,1900,1600,1800,2300,1500,2200,,,,2500,2000,1896.7,2500,1400
Rice (Super),Kg,Retail,2500,2500,2500,2000,2500,2300,2400,2500,2000,2300,2400,2200,2500,2200,2500,2200,2200,2000,2316.7,2500,2000
"",,Wholesale,2300,2350,2300,1800,2300,2100,2100,2400,1800,2000,2300,2100,2200,Owino,2200,2100,2000,1550,2111.8,2400,1550
Rice (Upland),Kg,Retail,1800,2200,2500,2000,2000,2000,1800,2000,,,2000,1700,2000,2000,2000,1540,2000,1800,1958.8,2500,1540
"",,Wholesale,1600,2000,2000,1800,1800,1800,1650,1900,,,2000,1670,1800,1800,1850,1530,1800,1500,1781.3,2000,1500
Simsim,Kg,Retail,3000,3000,2700,,3000,2500,2100,2000,,26000,2000,2300,2400,,4000,2100,,2300,4242.9,26000,2000
"",,Wholesale,2800,2500,2500,,2500,1900,1900,1800,,24000,1700,2200,2000,,3200,2000,,2000,3785.7,24000,1700
Sorghum Flour,Kg,Retail,1000,,1600,,1000,900,1000,800,700,700,1500,770,500,,1200,1400,900,1000,998,1600,500
"",,Wholesale,700,,1400,,700,750,800,700,500,650,1400,700,400,,950,1300,800,800,836.67,1400,400
Sorghum Grain,Kg,Retail,700,700,1500,,800,450,700,700,,500,1100,900,370,,,1100,850,700,790.71,1500,370
"",,Wholesale,500,500,1300,,500,400,600,600,,360,1000,800,350,Kapcho,wa,1100,750,500,661.43,1300,350
Soya Beans,Kg,Retail,2500,1500,1600,1400,1500,1100,1200,1800,1500,1400,1500,,700,1000,1400,1200,1000,2400,1452.9,2500,700
"",,Wholesale,2300,1200,1400,1300,1000,900,1000,1600,1300,1300,1000,,600,800,900,1000,800,2200,1211.8,2300,600
Sunflower,Kg,Retail,,1600,,,,400,,,,400,,,400,Soroti,,,,,700,1600,400
"",,Wholesale,,1300,,,,350,,,,350,,,400,,,,,,600,1300,350
Sweet Potatoes,Kg,Retail,470,600,1150,700,350,450,1000,260,300,400,550,900,1000,700,250,1000,200,1000,626.67,1150,200
"",,Wholesale,360,400,800,500,300,400,800,230,200,350,500,800,800,400,150,800,150,800,485.56,800,150
Turkey,bird,Retail,,27000,30000,,40000,,27000,30000,,28000,,,,,,,,35000,31000,40000,27000
"",,Wholesale,,24000,25000,,35000,,24000,25000,,27000,,,,,,,,,26667,35000,24000
Vanilla (Unprocessed),Kg,Retail,,3000,,,,2700,,,,,,,,,,,,3500,3066.7,3500,2700
