"",,,,Central,,Eastern,,Northern,,,Western,,,
Commodity,,,Kalerwe Kiboga,Luwero Masaka Nakawa Owino,Iganga,Jinja Mbale,Soroti,Arua Gulu,Lira,Hoima,Kabale Kasese Mbarara Kisoro,Min,Max,Avg
Apple Bananas,Kg,Retail,1000 500,600 500 800 600,700,240 450,350,800 600,1200,1000,900 520 400,240,1200,656
Cotton (Unprocessed),Kg Retail,,,,,,,1200,,800 800,,,,500,,,650,,,,500,1200,790
"",Wholesale,,,,,,,1100,,700 600,,,,350,600,,600,,,,350,1100,658
Cow Peas,Kg Retail,,1800,2200,1400,,1400,2500,1800,2000 1800,,1100,1600,1600,,,1800 2200,,2400,1400,1100,2500,1800
"",Wholesale,,1500,2000,1300,,1200,2000,1600,1700 1500,,900,1400,1400,,,1650 2000,,2300,1300,900,2300,1583
"Dried Beans, Agwede",Kg Retail,,,,1300,1100,1200,800,1400,1200,,1200,800,800,,,,,,,800,1400,1089
"",Wholesale,,,,1200,900,1000,700,1200,1100,,1000,700,600,,,,,,,600,1200,933
"Dried Beans, Nambale",Kg Retail,,1400,1200,1500,1100,1500,1100,1300,1500 1300,,1200,1350,1000,950,,1100 1100,,1000,,950,1500,1225
"",Wholesale,,1300,1000,1300,900,1000,1000,1150,1400 1000,,1300,1150,800,900,,800 1000,,900,,800,1400,1056
"Dried Beans, Others",Kg Retail,,1600,1400,,1100,1500,1100,1300,1400 1200,,1200,1300 900,1100,950,,1000 1250,,1200,1000,900,1600,1206
"",Wholesale,,1400,1200,,900,1000,1050,1100,1300 1000,,1100,1200 800,1000,900,,700 1200,,1000,900,700,1400,1044
"Dried Beans, Yellow",Kg Retail,,1500,1300,1500,1100,1600,1300,1400,1500 1500,,1600,1400 1400,1600,1200,,950,,1200,800,800,1600,1344
"",Wholesale,,1400,1100,1300,900,1250,1150,1200,1200 1200,,1450,1300 1200,1400,1100,,900,,1100,700,700,1450,1168
"Eggs, Exotic",tray Retail,,8000,6000,5000,6000,6000,4800,6000,5200 7500,,5600,7500,6500,7500,,6000 5200,,6000,6000,4800,8000,6165
"",Wholesale,,6850,5700,4800,4500,5000,4400,5000,4800 5800,,5400,6000,6000,6000,,5000 5000,,5000,5500,4400,6850,5338
"Eggs, Local",tray Retail,,12500,8000,6000,7500,9000,11000,7500,6500 10500,,7000,12000,7000 12000,,,7500 4800,,9500,7500,4800,12500,8576
"",Wholesale,,10500,6500,5600,6000,7000,9000,6000,6000 9000,,6800,9000,6500,9000,,6500 4500,,9000,6000,4500,10500,7229
"Fish, Nile Perch",Kg Retail,,6000,5000,3000,,6000,6000,5000,8500 2800,,4000,5000 4800 12000,,,,,,8000,,2800,12000,5854
"",Wholesale,,5500,4500,2800,,5000,4500,4000,7500 2300,,3500,5000 4500 10000,,,,,,5000,,2300,10000,4931
"Fish, Tilapia",whole Retail,,4000,4500,3000,4500,4000,4000,6500,8500 6000,,6000,3000 5000,8000,6000,,4000,,,5000,3000,8500,5125
"",Wholesale,,3500,4000,2800,3500,3500,3500,5200,7500 5000,,5000,2600 4700,7500,,,3800,,,3000,2600,7500,4340
Goat Meat,Kg Retail,,6000,4500,5000,5500,6000,6000,5500,6000 5000,,5000,5500 6000,,5000,,5000 5200,,5500,6000,4500,6000,5453
"",Wholesale,,5000,3500,5000,4500,5000,,5000,5000 4800,,4800,5500 5700,,,,4000 5000,,5000,5000,3500,5700,4853
"Groundnuts, Unpounded",Kg Retail,,2500,2300,2800,1800,2500,2500,2400,2000 2200,,2000,2200,1600,2200,,2400 2100,,2500,2500,1600,2800,2265
"",Wholesale,,2300,2100,2500,1700,2100,1950,2200,1800 1800,,1800,2000,1400,1900,,2250 2000,,2400,2300,1400,2500,2029
"Honey, Processed",Kg Retail,,7500,10000,3500,,8000,,6200,9000,,6400,4000,4000,,,7000 10500,,12500,7000,3500,12500,7354
"",Wholesale,,7000,8000,3500,,7000,,5500,7000,,5800,3500,4000,,,6500 10000,,10000,6000,3500,10000,6446
"Honey, Unprocessed",Kg Retail,,6500,7000,2500,,,,2700,3000,,2600,2000,4000,,,4500,,10000,3500,2000,10000,4391
"",Wholesale,,6000,6000,2300,,,,2450,2500,,2400,,3500,,,3500,,8000,3100,2300,8000,3975
Commodity,,,Kalerwe Kiboga,Luwero,Masaka Nakawa Owino,Iganga,Jinja,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese Mbarara Kisoro,Min,Max,Avg
Irish Potatoes,Kg,Retail,500 800,1000,450 520,650,700,600,900,1500,1000,1000,500,320,1000 333,320,1500,736
Irish Potatoes,Kg Retail,,500,800,1000,,450 520,,650,700,600,900,1500 1000,,1000,500,320,1000,,333,320,1500,736
"",Wholesale,,440,600,800,,390 500,,520,600,500,800,1200 900,,800,450,290,900,,308,290,1200,625
Maize Flour,Kg Retail,,1400,1500,1200,1100,1300 1200,,1200,1200,1200,1200,1400 1400,,1500,1200,1300,1200,1100,1000,1000,1500,1256
"",Wholesale,,1200,1250,1150,970,1000 1050,,1000,950,1000,1000,1100 1200,,1200,1100,1150,1100,1000,700,700,1250,1062
Maize Grain,Kg Retail,,1000,450,1000,800,800 520,,550,650,800,600,650 700,,,500,800,900,,300,300,1000,689
"",Wholesale,,900,350,800,600,600 510,,470,640,600,500,600 600,,,450,620,800,,250,250,900,581
Matooke,Kg Retail,,333,500,600,212,390 280,,380,300,450,350,400,,900,300,300,340,,175,175,900,388
"",Wholesale,,260,400,500,175,340 250,,300,280,350,300,350,,700,,270,330,,125,125,700,329
Matooke (Bunch),Bunch Retail,,5500,6200,5000,8500,7500 8000,,12000,15000,11000,10000,7500 16000,,8000,6000,7500,,11000,7000,5000,16000,8924
"",Wholesale,,4300,4500,4700,7000,6500 6000,,10000,14000,9000,8500,7000 14000,,6000,5000,6500,,10000,5000,4300,14000,7529
Milk,Ltrs Retail,,800,800,500,800,900 800,,800,800,900,800,1000 1000,,1200,800,500,750,500,700,500,1200,797
"",Wholesale,,700,600,500,400,800 700,,600,700,800,700,800 800,,1000,600,450,700,400,500,400,1000,653
Millet Flour,Kg Retail,,,1600,1600,1900,1900 1800,,1300,1500,1500,1400,1600 1200,,800,2000,1800,1250,1200,1200,800,2000,1503
"",Wholesale,,,1400,850,1400,1500 1500,,1100,1200,1200,1300,1500 1100,,600,,1450,1200,1000,1100,600,1500,1213
Millet Grain,Kg Retail,,,1200,900,1400,1000 920,,,1000,1200,850,1000 900,,600,800,1250,1000,1200,1100,600,1400,1020
"",Wholesale,,,800,650,1200,850 880,,,900,1000,800,900 850,,500,700,950,900,1000,1000,500,1200,868
Pineapple,whole Retail,,1000,1700,1000,1000,800 1000,,2500,2000,1500,1600,2300 1900,,2000,2000,500,1000,1200,800,500,2500,1433
"",Wholesale,,600,1000,800,700,500 700,,1800,1500,1000,1400,1800 1700,,1800,,350,900,700,500,350,1800,1044
Pork,Kg Retail,,5000,,4000,4000,5000 5000,,,5000,4000,4000,5000 4500,,,5000,5500,5200,,5000,4000,5500,4729
"",Wholesale,,4500,,3800,3500,3500 4500,,,4500,4000,3400,5000 4300,,,,3800,5000,,4500,3400,5000,4177
Rice (Kayiso),Kg Retail,,1700,2000,1800,2400,1800 1600,,1600,1700,1600,1700,2000 1700,,2000,,,,2500,2800,1600,2800,1927
"",Wholesale,,1600,1800,1600,2000,1600 1450,,1400,1600,1400,1600,1800 1550,,1800,,,,2250,2500,1400,2500,1730
Rice (Super),Kg Retail,,2000,2200,2500,1800,2400 2200,,2000,2000,2200,1900,2200 1900,,,2200,2200,2200,2200,2000,1800,2500,2124
"",Wholesale,,1900,2000,1950,1600,1900 1800,,1800,1900,1800,1800,1900 1750,,,,2000,2100,1800,1800,1600,2100,1863
Rice (Upland),Kg Retail,,1600,1800,1700,2000,1800 1700,,1600,1700,,,2000 1750,,2100,1600,2000,1520,2000,1800,1520,2100,1792
"",Wholesale,,1500,1700,1650,1800,1600 1500,,1400,1600,,,1600,,1900,1450,1850,1500,1700,1700,1400,1900,1630
Simsim,Kg Retail,,3000,,3000,,3000 2500,,2000,2000,2500,2400,2000 2000,,1800,1700,4000,1700,2550,,1700,4000,2410
"",Wholesale,,2800,,2500,,2400 1850,,1800,1800,2000,2200,1700 1800,,1800,1500,3200,1600,2500,,1500,3200,2097
Sorghum Flour,Kg Retail,,1600,,1600,,1000 1000,,1000,700,1000,575,,,500,2000,,1400,1550,800,500,2000,1133
"",Wholesale,,1400,,1400,,700 850,,850,650,800,500,,,400,,,1300,1500,700,400,1500,921
Sorghum Grain,Kg Retail,,2000,800,1500,,800 600,,750,800,800,,750,,500,,,1100,1200,900,500,2000,962
"",Wholesale,,1400,600,1300,,500 550,,650,700,500,,650,,400,500,,1000,1000,800,400,1400,754
Soya Beans,Kg Retail,,2500,1500,1600,1400,1500 1100,,1200,1800,,1400,2000,,600,,1300,950,,1000,600,2500,1418
"",Wholesale,,2300,1000,1400,1300,1000 900,,1000,1700,,1300,1500,,500,,900,900,,700,500,2300,1171
Sunflower,Kg Retail,,,,,,400,,1000,,,400,,,700,,,,,,400,1000,625
"",Wholesale,,,,,,370,,800,,,350,,,500,,,,,,350,800,505
Sweet Potatoes,Kg Retail,,380,700,1000,,350 520,,700,280,500,250,450 650,,1000,500,250,800,,150,150,1000,530
"",Wholesale,,300,450,600,,300 500,,550,260,300,200,350 550,,800,300,150,700,,100,100,800,401
Tea (Unprocessed),Kg Retail,,,,4000,,400,,,,,,,,,,,,,,400,4000,2200
"",Wholesale,,,,3800,,350,,,,,,,,,,,,,,350,3800,2075
Turkey,bird Retail,,,,,,35000 34000,,25000,30000,,30000,,,32000,,,,38000,,25000,38000,32000
"",Wholesale,,,,,,30000 28000,,23000,27000,,27000,,,30000,,,,,,23000,30000,27500
Vanilla (Unprocessed),Kg Retail,,,,,,2700,,,,,,,,,,,,,,2700,2700,2700
"",Wholesale,,,,,,2300,,,,,,,,,,,,,,2300,2300,2300
