"",,,,Central,,,,Eastern,,,Northern,,,,,Western,,
Honey (Processed),1Kg,Retail,"8,000","8,000 7,000",,"6,000",,,"6,000","4,300","4,500","4,000",,"7,000",,"7,000","6,982"
"",,Wholesale,"7,500","6,000 6,000","6,500","5,600",,,"5,800","4,000","4,500","4,000",,"6,000",,"6,000","6,262"
Honey [Unprocessed],1Kg,Retail,"7,500",,,"2,500",,,"2,500",,"3,000","4,500",,"5,000",,"3,500","5,700"
"",,Wholesale,"7,000",,,"2,300",,,"2,300",,"2,500","4,000",,"4,000",,"3,100","4,970"
Irish Potatoes,1Kg,Retail,500,"700 1,000 900 500",,600,,600 400,600,"1,300","1,200",850,500,350,350,,690
"",,Wholesale,340,500 550 700 420,355,520,,450 300,550,"1,200","1,000",800,350,280,280,,526
Maize Flour,1Kg,Retail,"1,300","1,400 1,300 1,200 1,400",,"1,200","1,200","1,200","1,200","1,400","1,300","1,500","1,200",900,"1,100","1,200","1,250"
"",,Wholesale,"1,100","1,200 1,200 1,000 1,250","1,200","1,000","1,100","1,000","1,000","1,300","1,200","1,200","1,100",700,"1,000","1,000","1,097"
Maize Grain,1Kg,Retail,"1,000","700 550 1,700 950",,650,,800 600,550,800,500,700,500,600,,700,753
"",,Wholesale,850,"600 350 1,500 750",700,550,,700 500,450,700,500,600,450,550,,650,653
Matooke,1Kg,Retail,400,"500 200 1,500 390",,400,,290 400,"1,125",550,,,250,350,240,250,763
"",,Wholesale,307,"400 175 1,000 340",330,300,,270 350,"1,000",500,,,,300,190,175,626
Matooke (Bunch),Bunch,Retail,"8,500","6,500 8,000 8,500",,,,"8,000","12,000","8,700",,"9,000","5,000","8,000","6,000","9,000","9,580"
"",,Wholesale,"7,500","5,000 7,000 7,500","9,500",,,"7,000","11,000","7,000",,"8,500","4,500","6,500","5,500","7,000","8,618"
Milk (One Litre),Ltrs,Retail,800,700 800 900,,400,,750 500,800,"1,000","1,200",600,700,500,700,600,728
"",,Wholesale,700,550 700 800,600,300,,600 400,700,"1,000","1,000",600,400,450,600,425,613
Millet Flour,1Kg,Retail,"1,600","1,600 1,900 1,800 1,800",,"1,550","1,500",,"1,400","1,600","1,200","1,600","2,000","1,600","1,300","1,600","1,603"
"",,Wholesale,"1,400","1,400 1,400 1,500 1,400","1,500","1,350","1,300",,"1,300","1,500","1,100","1,500",,"1,400","1,200","1,500","1,391"
Millet Grain,1Kg,Retail,"2,000","1,300 1,400 1,500 950",,"1,100",,"900 1,050",800,"1,300",800,"1,200","1,100","1,200","1,100","1,000","1,169"
"",,Wholesale,"1,400","900 1,200 1,400 750",925,"1,000",,"850 1,000",750,"1,000",800,"1,000","1,000","1,100","1,100",900,"1,000"
Rice (Kayiso),1Kg,Retail,"1,700","2,000 2,400 1,800",,"1,500","1,500","2,000","1,800","1,900","2,000","2,000","1,650",,"1,800","1,800","1,846"
"",,Wholesale,"1,600","1,800 2,000 1,500","1,500","1,300","1,400","1,800","1,700","1,600","1,800","2,000","1,800",,"1,750","1,700","1,672"
Rice (Super),1Kg,Retail,"2,000","2,200 1,800 2,200 2,100",,"1,800","2,000","2,200","1,800","2,200","2,000","2,500",,"2,000","2,000","2,800","2,107"
"",,Wholesale,"1,900","2,000 1,600 1,800 1,850","1,750","1,600","1,850","2,000","1,700","2,000","2,000","2,200","2,200","1,850","2,000","2,500","1,919"
Simsim,1Kg,Retail,"3,500","3,500 4,000 3,000",,"2,200","2,000",,"2,000","2,800","2,200","2,500",,,"2,000",,"2,700"
"",,Wholesale,"3,300","3,000 3,500 2,400","1,750","2,000","1,800",,"1,800","2,600","2,000","2,000",,,"2,000",,"2,300"
Sorghum Flour,1Kg,Retail,"1,200","1,000",,"1,000",,800 700,600,"1,500",800,"1,000",,"1,200","1,300",900,"1,000"
"",,Wholesale,900,700,925,900,,700 500,500,"1,400",700,800,,"1,050","1,200",800,857
Sorghum Grain,1Kg,Retail,"1,200",700 800,,800,,800,500,"1,000",800,800,,900,"1,100",750,846
"",,Wholesale,900,500 500,670,700,,700,450,"1,000",800,600,,650,"1,100",700,710
Soya Beans,1Kg,Retail,"2,500","1,500 1,500 2,500 1,400",,"1,200","1,300","1,500","1,100","1,400","1,000","1,200","1,400","1,700","2,000","1,800","1,563"
"",,Wholesale,"2,300","1,100 1,400 2,000 1,000",900,"1,000","1,200","1,300",900,"1,000","1,000","1,200",,"1,640","2,000","1,600","1,320"
Sunflower,1Kg,Retail,,"1,600",,600,,,400,,,600,,"1,800","2,100",,"1,183"
"",,Wholesale,,"1,500",470,500,,,350,,,550,,"1,600","1,900",,918
Sweet Potatoes,1Kg,Retail,500,500 800 900 300,,600,,200 200,200,450,500,"1,000",300,130,750,150,468
"",,Wholesale,300,400 700 600 250,390,520,,180 150,150,400,400,800,200,90,700,100,373
Tea (Unprocessed),1Kg,Retail,,,,,,,,,,,,,,,
"",,Wholesale,,,350,,,,,,,,,,,,350
Turkey (Bird),bird,Retail,,"30,000 35,000",,"25,000","5,000",,"21,000",,"25,000","20,000",,,,,"23,000"
"",,Wholesale,,"25,000 30,000","35,000","22,000","4,500",,"19,000",,"20,000","18,000",,,,,"23,167"
Upland Rice,1Kg,Retail,"1,600","1,800",,"1,400","1,400",,,,"1,400","2,000","1,800","1,800","1,800","1,800","1,680"
"",,Wholesale,"1,500","1,600","1,500","1,250","1,300",,,,"1,400","1,800","1,500","1,700","1,750","1,700","1,542"
Vanilla (Unprocessed),1Kg,Retail,,,,,,,,,,,,,"1,800",,"1,800"
"",,Wholesale,,,"2,000",,,,,,,,,,"1,500",,"1,833"
