"",,Wholesale,2300 2100,1700 2000 1950,2100,2000,1800 1700,1800,2000,2000 1800,1900 2250,2000 2300,2400 1700,2400,2006
"Honey, Processed Kg",,Retail,7500 10000,8000,6400,,9000,6400,4000,3800,4500,7000,3800,10000,6660
"",,Wholesale,7000 8000,7000,5800,,7000,5900,3500,3800,3500,6000,3500,8000,5750
"Honey, Unprocessed Kg",,Retail,6500 7000,,2700,,3000,2600,2800,4500,7000,3500,2600,7000,4400
"",,Wholesale,6000 6000,,2450,,2500,2300,,4000,6500,3100,2300,6500,4106
Commodity,,,Kalerwe Kiboga,Masaka Nakawa Owino,Iganga,Jinja,Kapch Mbale,Soroti,Arua,Gulu,Lira,Hoima Kabale,Kasese Kisoro,MbararaMin,Max,avg
Irish Potatoes,Kg,Retail,500 800,430 520,600,700,400 600,900,1300,1000,1400,500 320,350 316,316,1400,66
"",,Wholesale,410 600,300 500,500,600,300 500,750,1200,900,1200,450 290,330 291,290,1200,57
Maize Flour,Kg,Retail,1400 1500,1100 1300 1200,1200,1200,1200 1200,1400,1400,1400,2000,1200 1300,1000 1000,1100 1000,2000,128
"",,Wholesale,1200 1250,970 1000 1050,1000,950,1000 1000,1300,1320,1200,1500,1100 1150,900 700,1000 700,1500,108
Maize Grain,Kg,Retail,1000 450,800 900 500,600,630,600 800,850,650,700,1200,420 800,450 500,1200 420,1200,72
"",,Wholesale,900 350,600 700 500,500,600,500 600,800,500,600,1000,400 620,400 400,1000 350,1000,60
Matooke,Kg,Retail,350 500,200 390 320,400,280,300 450,400,400,,,300 295,210 175,175,500,33
"",,Wholesale,280 400,175 340 280,330,260,200 350,300,350,,,265,200 125,125,400,27
Matooke (Bunch),Bunch,Retail,5500 6000,8000 8500 10000,13000,14000,6000 11000,9000,7500,16000,12000,6000 7500,6000 7000,11000 5500,16000,911
"",,Wholesale,4500 4500,7000 7500 7500,11000,13000,4000 9000,8500,6800,14000,8000,6500,5500 5000,10000 4000,14000,778
Milk,Ltrs,Retail,800 800,800 900 800,800,800,500 900,800,1200,1000,1000,800 500,700 700,500 500,1200,79
"",,Wholesale,700 600,400 800 650,600,700,400 800,700,800,800,1000,600 450,700 500,400 400,1000,64
Millet Flour,Kg,Retail,1200 1600,1900 1900 1800,1500,1500,1500,1500,1600,700,1000,1700,1200 1200,1200 700,1900,143
"",,Wholesale,900 1400,1400 1500 1500,1250,1200,1200,1300,1500,600,1000,1350,1100 1100,1000 600,1500,120
Millet Grain,Kg,Retail,1200 1200,1400 1000 900,1000,1000,1050 1200,850,1000,1100,600,1250,1000 1100,1200 600,1400,106
"",,Wholesale,900 800,1200 850 880,850,900,1000 1000,800,900,900,500,950,1000 1000,1000 500,1200,90
Pineapple,whole,Retail,1000 2500,1000 1000 800,2200,2000,1200 1500,1400,1200,1800,1500,1500 500,1000,1000 500,2500,135
"",,Wholesale,700 1500,800 700 600,1600,1500,1000 1000,1300,1000,1500,1500,1000 350,900,500 350,1600,102
Pork,Kg,Retail,5000 4000,4000 5000 4800,,5000,4000,4000,5000,4500,,5000 5500,4000 5000,7000 4000,7000,478
"",,Wholesale,4000,3500 3500 3950,,4500,4000,3800,5000,4200,,3800,4000 4500,6500 3500,6500,425
Rice (Kayiso),Kg,Retail,1700 2000,2400 1800 1600,1600,1700,1800 1600,1700,2000,1800,2500,,1800 2800,2500 1600,2800,195
"",,Wholesale,1600 1800,2000 1600 1450,1400,1600,1600 1400,1650,1800,1600,2200,,1700 2500,2250 1400,2500,175
Rice (Super),Kg,Retail,1900 2100,1800 2400 2200,2000,2000,2000 2200,1900,2200,2000,2500,2200 2200,2000 2000,2200 1800,2500,210
"",,Wholesale,1800 1900,1600 1900 1800,1800,1900,1800 1800,1800,1900,1800,2200,2000,2000 1800,1800 1600,2200,185
Rice (Upland),Kg,Retail,1600 1800,2000 1800 1700,1600,1700,,,1800,1800,2200,1600 2000,1700 1800,2000 1600,2200,180
"",,Wholesale,1500 1700,1800 1600 1500,1400,1600,,,,1650,2000,1500 1850,1700 1700,1700 1400,2000,165
Simsim,Kg,Retail,3000,3000 2500,2000,2000,2500,,2000,2200,2000,2600 4000,2000,2550 2000,4000,248
"",,Wholesale,2800,2400 1800,1700,1800,2000,,1800,2000,1800,2000 3200,2000,2500 1700,3200,213
Sorghum Flour,Kg,Retail,1600,800 1000,1000,800,700 1000,,1500,500,800,,1300 800,500,1600,98
"",,Wholesale,1400,700 820,850,700,500 800,,1400,450,600,,1200 700,450,1400,84
Sorghum Grain,Kg,Retail,800,800 550,800,700,800,600,1000,500,500,600,1100 900,500,1100,74
"",,Wholesale,600,500 520,700,650,500,550,800,450,450,500,1000 800,450,1000,61
Soya Beans,Kg,Retail,1500,1400 1500 1100,1200,1800,1500 1300,1400,1200,,1200,1400 1300,2000 1000,1000,2000,138
"",,Wholesale,1000,1300 1000 900,950,1700,1350 1000,1300,800,,1000,900,2000 700,700,2000,113
Sunflower,Kg,Retail,,400,1000,,,400,,,450,,,400,1000,56
"",,Wholesale,,370,850,,,350,,,400,,,350,850,49
Sweet Potatoes,Kg,Retail,350 600,700 325 500,700,270,200 500,250,400,600,1400,500 2500,350 150,1800 150,2500,67
"",,Wholesale,280 400,500 275 450,550,250,150 300,200,350,500,1200,300 150,330 100,1500 100,1500,43
Tea (Unprocessed),Kg,Retail,,400,,,,,,,,,,400,400,40
"",,Wholesale,,350,,,,,,,,,,350,350,35
Turkey,bird,Retail,25000,35000 39000,26000,30000,25000,28000,,,35000,,,38000 25000,39000,3122
"",,Wholesale,21000,30000 29000,24000,27000,20000,27000,,,30000,,,20000,30000,2600
Vanilla (Unprocessed),Kg,Retail,3000,2700,,,,,,,,,,2700,3000,285
"",,Wholesale,2500,2300,,,,,,,,,,2300,2500,240
