Sunflower,Kg,Retail,,,,,3000,,,,,600,,,,,,3200,2266.7
"",,Wholesale,,,,,2700,,,,,450,,,,,,3000,2050
Poultry Products,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7000,,6000 8500,6000,8000,6500,5800,7000,7000,10000,,8000 5000,11000,8500,8000 9000,14000,7958.8
"",,Wholesale,6500,,5500 7000,5000,7500,6000,4800,6000,6000,7000,,6500 4000,9000,8000,6000 7000,12500,6723.5
"Chicken, Local",bird,Retail,10000,14000,15000 16500,,13000,9500,12500,14000 7000,7500,11000,13000,12500 10000,18000,17000,10000 11000,13000,12342
"",,Wholesale,9000,12000,12000 15000,11500,12000,8500,9500,13000 6000,6000,8000,12500,11000 8000,15000,16500,9000 9000,12500,10800
"Eggs, Exotic",tray,Retail,5000,6000,4500 4800,6000,5500,7500,5300,5000 6000,5500,5800,7500,7200 6000,6000,5800,6000 6500,7300,5960
"",,Wholesale,4500,5500,4000 3700,5000,5000,5300,4900,4600 5500,5300,5600,5700,5800 6000,5000,5500,5000 5500,6700,5205
"Eggs, Local",tray,Retail,8500,9000,4800 9000,12000,14000,9000,8000,9500 7000,9000,9000,7500,6500,9000,8500,8500 12000,8000,8884.2
"",,Wholesale,7500,7500,4500 7500,10000,12000,7500,6000,8500 6500,7500,8500,,6000,7000,8000,7000 9000,6800,7627.8
Turkey,bird,Retail,,,,42000,32000,8000,34000,50000,,27000,,,,,30000,,31857
"",,Wholesale,,,,35000,27000,8000,31000,47000,,25000,,,,,26000,35000,29250
Pulses,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1800,2500 2400,2000,2000,2200,1800,2400 1800,2000,1500,2500,2000,2000,2100,2200,1000,2011.1
"",,Wholesale,1800,1700,2300 2100,1800,1500,1896,1600,2100 1700,1800,1250,1600,1800,1800,2000,2000,900,1758.1
"Dried Beans, Agwede",Kg,Retail,,,1400,1200,,,1250,1000,,1400,1200,2000,,,,,1350
"",,Wholesale,,,1200,1000,,,1100,900,,1300,,1400,,,,,1150
"Dried Beans, Nambale",Kg,Retail,2600,,1300 1600,1500,2300,1300,1350,1200 1500,1200,1600,1600,1600 1800,1600,1550,1200 1300,1200,1542.1
"",,Wholesale,2300,,1200 1400,1000,2100,938,1200,1050 1200,1100,1400,1300,1500 1400,1400,1500,1100 1000,1000,1320.4
"Dried Beans, Yellow",Kg,Retail,2600,1000,1300 1000,1800,3000,1500,1500,1300,,1600,1700,1650 1700,2200,1800,1000 1250,1400,1627.8
"",,Wholesale,2300,900,1200 800,1400,2500,1048,1300,1200,,1400,1400,1500 1500,1800,1700,1000 1100,1300,1408.2
Root Crops,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,,380,220,,400,350,1500 1000,,580,,1000,678.75
"",,Wholesale,,,,,,,300,200,,280,300,1300 900,,560,,800,580
"Cassava, Flour",Kg,Retail,800,1300,600 1200,800,1000,600,650,1100 1000,500,800,550,1800 1000,1000,800,1000 1000,800,915
"",,Wholesale,700,1100,500 700,500,800,500,580,1000 900,400,600,420,1600 800,800,750,800 700,750,745
"Cassava, Fresh",Kg,Retail,350,550,1000 1100,350,350,800,700,220 500,1650,350,350,800 1000,1500,1100,1400 400,950,771
"",,Wholesale,300,450,500 700,250,300,600,500,200 400,140,300,300,600 800,1000,1000,1000 300,750,519.5
"Cassava, Sun dried",Kg,Retail,,,400,800,,400,380,280,300,400,350,1500 400,,550,500,1100,566.15
"",,Wholesale,,,350,500,,370,300,240,250,290,300,1300 300,,500,400,1000,469.23
Irish Potatoes,Kg,Retail,650,500,1000 1100,800,1100,350,750,600 300,300,700,1000,1400 1200,2000,700,500 1000,1400,867.5
"",,Wholesale,580,458,800 900,700,1000,280,650,500 200,250,600,,1200 1000,1500,600,450 800,1400,729.89
Sweet Potatoes,Kg,Retail,240,200,1000 700,250,350,800,900,170 400,120,350,300,700 1000,500,700,1500 500,850,576.5
"",,Wholesale,190,170,500 500,250,300,600,700,160 300,100,300,200,500 800,500,650,1200 400,680,450
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,2500 1000,,,,,1100,3700,,,,,3200,1060,,2151.4
"",,Wholesale,,1900,2300 800,,,,,1000,3500,,,,,3100,950,,1935.7
Tea (Unprocessed),Kg,Retail,,,2800,,,,,,,,,,,,,,2800
"",,Wholesale,,,2500,,,,,,,,,,,,,,2500
Vanilla (Unprocessed),Kg,Retail,,,,,,,,,,,,,,,,3000,3000
"",,Wholesale,,,,,,,,,,,,,,,,2800,2800
