Turkey,bird,Retail,,30000,,42000,32000,45000,8000,33000,55000,30000,30000,,,,,,,,33889,
"",,Wholesale,,26000,,35000,28000,35000,8000,30000,50000,25000,27000,,,,,,,35000,29900,
Pulses,,,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,2200,2300,2500 2500,2500,3000,2200,1800,1800 1800,2000,1600,2300,1600,2200,3000,2100,1800,1500,2135,
"",,Wholesale,1800,1700,2200,2300 2100,2000,2800,1808,1600,1600 1700,1800,1300,1600,1400,2000,,2000,1700,1300,1826.7,
"Dried Beans, Agwede",Kg,Retail,,,,1400 1400,,1300,,1300,1200,,1400,,1400,,,,,,1342.9,
"",,Wholesale,,,,1200 1200,,1200,,1100,1100,,1300,,1300,,,,,,1200,
"Dried Beans, Nambale",Kg,Retail,1800,1400,1600,1600 2000,2300,2000,1300,1400,1400 1200,1500,1600,1500,1750 1400,1400,1600,1700 1300,,1100,1564.3,
"",,Wholesale,1600,1200,1400,1400 1700,2100,1800,1048,1250,1300 1000,1400,1350,1300,1600 1300,1400,1400,1600 1200,,1000,1397.5,
"Dried Beans, Yellow",Kg,Retail,1800,1500,1600,1000 2800,2300,2500,1500,1500,1500,1300,1600,1500,1800 1500,1600,1800,1900 1200,1000,1650,1659.5,
"",,Wholesale,1600,900,1400,800 2400,2100,2100,1100,1300,1400,1200,1300,1400,1700 1400,1600,1600,1800 1100,900,1500,1457.1,
Root Crops,,,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,700,,500,240,700,400,700,1600 1300,,,720,,1000,786,
"",,Wholesale,,,,,,450,,410,220,600,300,450,1400 1000,,,700,,800,633,
"Cassava, Flour",Kg,Retail,800,1000,800,1400 800,1000,700,800,900,1000 1000,700,900,700,2200 1000,800,600,800 1000,1300,800,954.55,
"",,Wholesale,700,1100,700,750 600,800,600,650,750,900 900,600,650,500,2000 800,800,500,750 900,1100,750,809.09,
"Cassava, Fresh",Kg,Retail,350,400,800,1200 350,350,450,800,800,200 500,100,400,500,1200 900,1000,300,1000 1000,550,1000,643.18,
"",,Wholesale,300,450,500,800 250,300,350,550,600,180 400,90,350,450,1000 800,500,150,800 800,450,800,494.09,
"Cassava, Sun dried",Kg,Retail,,500,500,800,,480,400,400,400,400,400,700,1600 700,,380,700,,1400,650.67,
"",,Wholesale,,400,400,600,,450,380,360,370,350,300,450,1400 650,,300,680,,1200,552.67,
Irish Potatoes,Kg,Retail,600,1000,800,1200 700,800,450,350,750,700 350,475,700,1000,1400 1200,1500,700,800 450,416,1400,806.41,
"",,,,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,520,375,700,1000 600,700,420,282,650,600 300,400,600,,1200 1000,1000,600,750 400,375,1200,651.05,
Sweet Potatoes,Kg,Retail,300,500,800,700 450,350,400,700,900,230 350,140,400,350,800 1000,500,250,800 1000,230,850,545.45,
"",,,,,,,,,,,,,,,,,,,,,,1200
"",,Wholesale,250,200,500,500 350,300,350,373,700,200 300,130,350,240,600 800,500,170,750 800,200,700,421.05,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,1060,2500,1000,,,,,1100,3500,,,,,,3500,2500,,2165.7,
"",,Wholesale,,1900,2300,800,,,,,1000,,,,,,,3400,1900,,1883.3,
Tea (Unprocessed),Kg,Retail,,,2800,,,,,,,,,,,,,3100,,,2950,
"",,Wholesale,,,2500,,,,,,,,,,,,,3000,,,2750,
Vanilla (Unprocessed),Kg,Retail,,,3500,,,3000,,,,,,,,,,,,3000,3166.7,
"",,Wholesale,,,3500,,,2500,,,,,,,,,,,,2800,2933.3,
