Groundnuts,Retail,4000 3600,4300,2100 4500 4500 2800,3000,3000 3000,3800,4000 2900,4200 3800,4000 3000,4000,4000,,,,,,,,,
,Wholesale,3500 3200,4000,1800 3500 4000 2400,2900,2500 2200,3500,3700 2600,3900 3500,3800 2900,3800,3800,,,,,,,,,
Sunflower,Retail,,,1200,,,1100,,,,,4000,,,,,,,,,
,Wholesale,,,1000,,,1000,,,,,3500,,,,,,,,,
Matooke,Retail,10000 11000,25000,18000 20000 12000 12000,30000,20000 15000,19000,12000 18500,8000 16000,15000 20000,15000,9000,,,,,,,,,
,Wholesale,8500 7500,18500,9000 10000 10000 10000,20000,18000 13000,17000,10000 13800,6000 12000,13000 20000,13000,8000,,,,,,,,,
Matooke (kg),Retail,1000 500,2300,375 1000 550 330,1200,400 1000,1300,450 1200,1800 1500,2000,375,2000,,,,,,,,,
,,,,CENTRAL,,EASTERN,,NORTHERN,,WESTERN,,Organic,,,,,,,,,
commodity,,Kalerwe Kiboga,Luwero,Masaka NakaseroNakawa Owino,Busia,Jinja Mbale,Soroti,Arua Gulu,Fort PortHoima,Kabale Kasese,Kisoro,Mbarara prices,,,,,,,,,
,Wholesale,600 450,2000,150 600 450 300,1000,360 1000,1200,350 1000,1500 1000,2000,325,1500,,,,,,,,,
xotic Chicken,Retail,8500,9000,20000,8000,10000,8000,8000,8600,8500,9000,11000,12000,13500,,9000,10000,10000,,8000,
,Wholesale,7000,8000,15000,4500,7000,6000,6000,7500,7500,8000,9000,,7500,,7000,9000,9000,,7500,
xotic Eggs,Retail,8000,7800,,5500,7500,7500,8000,7500,8000,8000,7000,9000,7500,9000,7500,7000,7200,7000,7000,
,Wholesale,7000,7000,,4200,6500,6500,6000,6300,7000,6700,7000,7000,6500,7500,6000,6500,6000,6500,6500,
ocal Chicken,Retail,20000,12000,25000,15000,20000,,15000,16000,18000,10000,12000,20000,17500,,18000,15000,20000,19000,14000,
,Wholesale,15000,9000,18000,10000,12000,13000,13000,14500,17000,8000,10000,17000,13000,,13000,14500,18000,18000,13000,
ocal Eggs,Retail,15000,12000,7200,9300,15000,12000,13000,9000,11000,12000,12000,12000,,12000,9000,15000,9500,10500,12000,
,Wholesale,10000,9000,6800,8600,13000,9000,11000,7500,10000,10500,11600,,,9000,8000,14500,9000,9000,10500,15000
urkey,Retail,,,63500,45000,50000,45000,40000,10000,40000,,55000,,,,,,,,65000,
,Wholesale,,,58500,35000,30000,40000,30000,10000,38000,,50000,,,,,,,,50000,
gwede Beans,Retail,,,,1200,,1400,1400,,1600,,,,1600,,,1500,,,2000,
,Wholesale,,,,1100,,1200,1300,,1500,,,,1400,,,1400,,,1800,2000
ow Peas,Retail,3000,2400,3400,1300,3500,2000,5000,,1600,2000,1500,2000,,2600,3400,,5000,2000,3200,
,Wholesale,2500,2000,2600,1000,3000,1600,4000,,1460,1800,1450,1500,,2400,3000,,4500,1900,3000,
ambale Beans,Retail,1500,1500,3200,1400,2500,1800,1400,1500,,1500,1600,1700,2200,2000,1800,1600,1800,,2000,
,Wholesale,1300,1200,2800,1200,1600,1400,1300,1225,,1400,1400,1500,1800,1700,1600,1500,1800,,1800,
oya Beans,Retail,2500,1600,2800,2100,3500,1600,1800,1800,1800,2200,2400,2500,,1700,2200,,3000,2400,2200,
,Wholesale,2000,1300,2650,1800,2900,1400,1550,1500,1650,2000,2200,2000,,1500,2000,,2800,2200,2000,
ellow Beans,Retail,1500,1600,3100,1100,2500,2000,1700,1800,1700,1600,1700,1700,2300,2500,1800,,2000,1200,2200,
,Wholesale,1300,1250,2750,900,2000,1600,1500,1600,1600,1400,1550,1500,2000,2300,1600,,1500,1100,2000,
assava Flour,Retail,1000,1200,1200,1300,1500,1000,1000,800,600,1000,1000,900,1800,1500,1200,1500,400,1200,900,
,Wholesale,800,950,1000,800,1000,700,900,700,500,900,800,750,1400,1200,800,1200,350,1000,850,
ry Fermented Cassava,Retail,,,1100,,,,630,,180,,650,800,2500,,,,250,,,
,Wholesale,,,900,,,,550,,170,,550,750,1600,,,,230,,,
resh Cassava,Retail,500,450,2000,1000,1000,500,700,700,320,450,500,600,1000,1600,1500,2000,1000,500,1500,
,Wholesale,300,400,1800,500,500,300,600,600,300,400,450,500,700,1200,1000,1500,1000,400,1200,
rish Potatoes,Retail,1000,900,2600,2500,1200,600,700,500,800,500,1000,1000,1500,1500,2500,470,4500,541,2000,
,Wholesale,750,750,2200,1500,1000,500,600,450,700,400,900,900,1300,1000,1500,450,4000,500,2000,
range Fleshed S.Potato,Retail,5000,,,1200,,,700,900,,,,,1200,,2000,,1000,250,2000,
,Wholesale,4000,,,600,,,600,800,,,,,1000,,1400,,1000,230,1500,
un Dried Cassava,Retail,,400,1650,,,1000,630,700,380,600,750,800,1500,,520,,250,,1200,
,Wholesale,,350,1500,,,700,550,650,370,500,600,750,1000,,480,,230,,1000,1500
hite fleshed s.Potato,Retail,1000,600,2000,1000,2000,1000,600,700,300,600,1300,1000,1000,1500,2000,2000,1000,240,2000,
,Wholesale,500,500,1800,500,1500,500,500,600,280,500,1100,900,800,1000,1400,1800,1000,220,1500,1500
offee (Arabica),Retail,,2000,,6500,,,,,2000,7800,,,,,,,8000,4500,,
,Wholesale,,1750,,5000,,,,,1700,7500,,,,,,,7500,4000,,
offee (Robusta),Retail,,,,,,,,1200,,,,,,,,,4000,,,
,Wholesale,,,,,,,,1000,,,,,,,,,3800,,,
nprocessed Cotton,Retail,,,,2800,,,,,2500,,,,,,,,2900,,,
,Wholesale,,,,2400,,,,,2300,,,,,,,,2800,,,
nprocessed Tea,Retail,,,,,6000,,400,,,,,,,,,,,,,
,Wholesale,,,,,4000,,350,,,,,,,,,,,,,
nprocessed Vanilla,Retail,,,,,,,3500,,,,,,,,,,,,,
,Wholesale,,,,,,,3000,,,,,,,,,,,,,
