"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,
"",,,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Kapch,Soroti,Arua,Lira,Kabale,Kasese,Kisoro,Mbra,Min,Max,Avg
"",,Wholesale,2300,2100,2500,1800,2000,2100,1900,2200,1800,1800,1800,1800,2000,1400,2250,2000,2300,2400,1400,2500,2025
"Honey, Processed",Kg,Retail,7500,10000,3500,,6500,8000,,6200,,9000,,6400,,4000,4500,10500,7000,,3500,10500,6925
"",,Wholesale,7000,8000,3500,,6000,7000,,5500,,7000,,6000,,3500,3500,10000,6000,,3500,10000,6083
"Honey, Unprocessed",Kg,Retail,6500,7000,2500,,,,,2700,,3000,,2500,,,7000,,3500,,2500,7000,4338
"",,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Kapch,Soroti,Arua,Lira,Kabale,Kasese,Kisoro,Mbra,Min,Max,Avg,
Irish Potatoes,Kg,Retail,520,800,1000,,750,440,520,650,700,600,400,900,1500,1000,320,1000,316,,316,1500,714
"",,Wholesale,430,600,800,,700,385,500,520,600,500,300,750,1200,800,290,900,300,,290,1200,598
Maize Flour,Kg,Retail,1400,1500,1200,1100,1200,1300,1100,1200,1200,1200,1200,1200,1400,,1300,1200,1000,,1000,1500,1231
"",,Wholesale,1200,1250,1150,1000,1000,1000,970,1000,950,1000,1000,1000,1100,,1150,1100,700,,700,1250,1036
Maize Grain,Kg,Retail,1000,500,1000,800,1000,750,520,550,550,800,600,600,650,,800,850,300,,300,1000,704
"",,Wholesale,900,400,800,600,900,600,500,450,500,600,500,500,600,,620,800,250,,250,900,595
Matooke,Kg,Retail,360,500,700,212,550,540,280,400,280,450,300,350,450,1000,300,350,175,,175,1000,423
"",,Wholesale,290,400,550,175,500,450,250,350,260,350,200,300,400,800,270,320,125,,125,800,352
Matooke (Bunch),Bnch,Retail,5500,6000,6000,8000,10000,12000,8000,13000,14000,11000,6000,9000,9000,8000,8000,7000,7000,11000,5500,14000,8806
"",,Wholesale,4500,4500,5000,7000,8000,10000,6000,11000,13000,9000,4000,8500,8500,6000,6500,6800,5000,10000,4000,13000,7406
Milk,Ltrs,Retail,800,800,500,800,800,900,800,800,800,900,500,800,1000,1200,500,750,700,500,500,1200,769
"",,Wholesale,700,600,500,400,700,800,700,600,700,800,400,700,800,1000,450,700,500,400,400,1000,636
Millet Flour,Kg,Retail,1200,1600,1000,1900,1700,1900,1700,1500,1500,1500,,1500,1600,1200,1800,1250,1200,1200,1000,1900,1485
"",,Wholesale,900,1400,850,1400,1400,1500,1500,1300,1300,1200,,1300,1500,1000,1450,1200,1100,1000,850,1500,1253
Millet Grain,Kg,Retail,1200,1200,900,1400,1100,1000,950,1100,1000,1200,1050,850,1000,700,1250,,1100,1200,700,1400,1071
"",,Wholesale,900,800,650,1200,1000,850,900,900,900,1000,1000,800,900,500,950,,1000,1000,500,1200,897
Pineapple,whle,Retail,800,1800,1000,1000,,1000,1000,2500,2000,1500,,1500,2000,2500,500,1000,800,1000,500,2500,1369
"",,Wholesale,500,1000,800,700,,700,700,1800,1500,1000,,1300,1700,2000,350,950,500,500,350,2000,1000
Pork,Kg,Retail,5000,4000,4000,4000,,5000,5000,,5000,4000,,4000,5000,,5500,5200,5000,,4000,5500,4669
"",,Wholesale,4600,2800,3800,3500,,3500,4000,,4500,4000,,3800,5000,,3800,5000,4500,,2800,5000,4062
Rice (Kayiso),Kg,Retail,1700,2000,1800,2400,,1800,1600,1700,1700,1600,1800,1700,2000,2200,,,2800,2500,1600,2800,1953
"",,Wholesale,1600,1800,1600,2000,,1600,1450,1500,1600,1400,1600,1600,1800,1800,,,2500,2250,1400,2500,1740
Rice (Super),Kg,Retail,2000,,2500,1800,2400,2200,2200,2000,2200,2200,2000,1900,2200,2200,2200,2200,2000,2200,1800,2500,2141
"",,Wholesale,1900,,1950,1600,2000,1950,1800,1800,1900,1800,1800,1750,1900,2000,2000,2100,1800,1800,1600,2100,1874
Rice (Upland),Kg,Retail,1600,1800,1700,2000,2400,1800,1700,1700,1700,,,,2000,2000,2000,1530,1800,2000,1530,2400,1849
"",,Wholesale,1500,1700,1650,1800,2000,1600,1600,1500,1600,,,,,1800,1850,1500,1700,1700,1500,2000,1679
Simsim,Kg,Retail,3000,3000,3000,,1200,3000,2500,2100,1800,2500,,2400,2000,2000,4000,,,2550,1200,4000,2504
"",,Wholesale,2800,2500,2500,,1000,2400,1800,1800,1700,2000,,2200,1700,1800,3200,,,2500,1000,3200,2136
Sorghum Flour,Kg,Retail,1000,,,,,1000,1000,1000,800,1000,700,650,1500,500,,1400,800,1550,500,1550,992
"",,Wholesale,700,,,,,700,850,850,700,800,500,550,1400,400,,1300,700,1500,400,1500,842
Sorghum Grain,Kg,Retail,800,800,1500,,,800,550,750,700,800,,550,1000,400,,1100,800,1200,400,1500,839
"",,Wholesale,500,600,1300,,,500,520,650,650,500,,450,800,350,,1050,700,1000,350,1300,684
Soya Beans,Kg,Retail,2500,1500,1600,1400,1700,1500,1100,1200,1800,,1500,1400,2000,,1300,,1000,2500,1000,2500,1600
"",,Wholesale,2300,1000,1400,1300,1500,1000,900,1000,1650,,1350,1250,1500,,900,,700,2400,700,2400,1343
Sunflower,Kg,Retail,,1600,,,,,400,1000,,,,400,,600,,,,,400,1600,800
"",,Wholesale,,1300,,,,,370,800,,,,350,,450,,,,,350,1300,654
Sweet Potatoes,Kg,Retail,360,600,1000,700,650,350,500,700,270,500,200,250,400,1200,250,850,150,,150,1200,525
"",,Wholesale,300,400,600,500,600,300,450,550,240,300,150,200,350,800,150,800,100,,100,800,399
Tea (Unprocessed),Kg,Retail,,,,,,,400,,,,,,,,,,,,400,400,400
"",,Wholesale,,,,,,,350,,,,,,,,,,,,350,350,350
Turkey,bird,Retail,,25000,,,30000,35000,35000,25000,30000,,,31000,,35000,,,,38000,25000,38000,31556
"",,Wholesale,,21000,,,25000,30000,28000,23000,28000,,,28000,,32000,,,,,21000,32000,26875
Vanilla (Unprocessed),Kg,Retail,,3000,,,,,2700,,,,,,,,,,,,2700,3000,2850
