"",,,,,Central,,,,,Eastern,,,,Northern,,Western,
"",,Wholesale,"7,000","6,000",,,,"2,300",,"2,941",,"2,300",,,"3,000","10,000","3,100","4,580"
Irish Potatoes,1Kg,Retail,500,700,"1,000",500,400,600,,400,400,600,"1,300","1,000",900,240,250,628
"",,Wholesale,400,600,550,420,380,520,,350,300,550,"1,200",800,800,206,233,522
Maize Flour,1Kg,Retail,"1,300","1,400","1,300","1,300","1,300","1,100","1,200","1,150","1,200","1,200","1,400","1,400","1,500","1,100","1,200","1,270"
"",,Wholesale,"1,100","1,200","1,100","1,200","1,170",900,"1,100","1,000","1,000","1,000","1,300","1,200","1,000","1,000","1,000","1,085"
Maize Grain,1Kg,Retail,"1,000",700,550,900,720,550,600,700,650,500,800,700,450,,700,680
"",,Wholesale,850,500,350,700,700,450,500,650,550,450,700,600,400,,650,575
Matooke,1Kg,Retail,380,500,212,410,350,400,270,400,600,250,550,,550,230,250,382
"",,Wholesale,310,400,188,610,300,300,250,300,500,200,450,,500,200,225,338
Matooke (Bunch),Bunch,Retail,,,"8,500","9,000","12,000",,,"10,000","9,000","12,500","8,700",,"8,500","7,000","9,000","9,420"
"",,Wholesale,,,"7,500","8,000","9,000",,,"9,000","7,500","11,000","7,200",,"7,500","6,500","8,000","8,120"
Milk (One Litre),Ltrs,Retail,800,700,800,900,800,350,700,800,500,800,"1,000",800,,700,600,732
"",,Wholesale,700,500,400,800,650,250,600,600,400,700,"1,000",700,,700,425,602
Millet Flour,1Kg,Retail,"1,600","1,600","1,900","1,800","2,000","1,550","1,500","1,500",,"1,400","1,600","1,400","1,800","1,300","1,400","1,596"
"",,Wholesale,"1,400","1,400","1,400","1,400","1,600","1,350","1,200","1,200",,"1,300","1,500","1,200","1,500","1,300","1,300","1,361"
Millet Grain,1Kg,Retail,"2,000","1,200","1,400",950,"1,000","1,100",900,"1,200","1,050",800,"1,300","1,000",700,"1,100","1,000","1,113"
"",,Wholesale,"1,400",800,"1,200","7,400",950,"1,000",850,900,"1,000",700,"1,000",800,600,"1,000",900,"1,367"
Rice (Kayiso),1Kg,Retail,"1,700","2,000","2,400","1,800","1,700","1,500","1,400","1,600","2,000","1,700","2,000","1,800",,"1,800","1,800","1,800"
"",,Wholesale,"1,600","1,800","2,000","1,500","1,600","1,300","1,300","1,400","1,800","1,600","1,600","1,600",,"1,800","1,700","1,614"
Rice (Super),1Kg,Retail,"2,000","2,200","1,800","2,200","2,200","1,800",,"2,000","2,200","1,800","2,200","2,200","2,000","2,000","2,800","2,100"
"",,Wholesale,"1,900","2,000","1,600","1,950","1,800","1,600",,"1,800","2,000","1,700","2,000","1,800","1,900","2,000","2,500","1,896"
Simsim,1Kg,Retail,"3,500","3,500",,"3,000","2,500","2,200","1,700","3,000",,"2,200","2,800","2,500","2,000","2,000",,"2,575"
"",,Wholesale,"3,300","3,000",,"2,400","1,800","2,000","1,500","2,700",,"1,900","2,500","2,000","1,800","2,000",,"2,242"
Sorghum Flour,1Kg,Retail,"1,200",,,"1,000","1,000","1,000",900,800,700,600,"1,500",900,"1,200","1,300",800,992
"",,Wholesale,900,,,700,900,900,800,700,500,500,"1,400",800,"1,000","1,300",700,854
Sorghum Grain,1Kg,Retail,"1,200",700,,800,730,800,800,600,,500,"1,000",800,450,"1,100",700,783
"",,Wholesale,900,600,,500,700,700,700,500,,450,"1,000",600,400,"1,100",650,677
Soya Beans,1Kg,Retail,"2,500","1,500","1,500","1,400","1,200","1,200","1,200","1,700","1,500",,"1,500","1,200","1,000",,"1,800","1,477"
"",,Wholesale,"2,300","1,000","1,400","1,000","1,000","1,000","1,000","1,400","1,300",,"1,000","1,000",800,,"1,600","1,215"
Sunflower,1Kg,Retail,,"2,000",,,550,600,,,,400,,,550,,,820
"",,Wholesale,,"1,800",,,470,500,,,,350,,,500,,,724
Sweet Potatoes,1Kg,Retail,500,600,"1,000",300,420,600,200,500,200,250,450,"1,200",500,300,150,478
"",,Wholesale,277,400,800,250,370,520,150,300,150,200,350,"1,000",500,270,100,376
Tea (Unprocessed),1Kg,Retail,,,,,400,,,,,,,,,,,400
"",,Wholesale,,,,,350,,,,,,,,,,,350
Turkey (Bird),bird,Retail,,"25,000",,,,"25,000","22,000","30,000",,"21,000",,"25,000",,,,"24,667"
"",,Wholesale,,"20,500",,,,"22,000","20,000","20,000",,"19,000",,"25,000",,,,"21,083"
Upland Rice,1Kg,Retail,"1,600","1,800","2,000",,"1,700","1,400",,,,,,"1,800","1,800","1,800","2,000","1,767"
"",,Wholesale,"1,500","1,600","1,800",,"1,550","1,250",,,,"1,700","1,800","1,800","1,800",,,"1,644"
Vanilla (Unprocessed),1Kg,Retail,,,,,"2,300",,"1,200",,,,,,,,,"1,750"
"",,Wholesale,,,,,"2,000",,"1,100",,,,,,,,,"1,550"
