Commodity,Units,Values,Average,Arua,Busia,Fort PortGulu,Hoima,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Dry Fermented Cassava,Kg,R.P,730,733,495,430 1067,483,417,327,550,2250,567,410,423,400,600 1600 1000 733,650
"",,W.P,653,667,460,397 783,433,383,300,520,2088,520,380,387,380,558 1500 740 650,600
Exotic Chicken,bird,R.P,10025,12000,11100,8833 12000,8500,7750,9125,11000,12000 7500,7000,10400,10500,13000 8800,10750 8500 8750 9000,14000
"",,W.P,8265,,8400,7167 8250,7333,6875,8250,10000,9000 6750,6500,9400,8333,9000 7800,9000 7100 7875 7500,12500
Exotic Eggs,tray,R.P,7387,9000,7783,6483 9500,6980,6500,7525,7833,9500 8400,7125,6450,6383,6250 6440,7200 7250 7760 6625,6750
"",,W.P,6336,7500,5733,5783 6850,6160,5500,6400,6650,8000 7640,6350,5767,5883,5300 6180,6383 6050 6380 5775,6433
Fresh Cassava,Kg,R.P,742,633,1033,775 838,920,738,420,1275,500 570,470,367,1125,950 294,958 846 780 863,486
"",,W.P,568,533,833,600 600,660,563,373,1108,300 540,390,305,1033,400 240,717 524 500 738,407
Goat Meat,Kg,R.P,6958,8167,6833,6750 7000,6600,6140,7325,6467,9000 7360,6200,7083,6583,6250 7200,6417 7083 7700 7000,6000
"",,W.P,6275,8167,6133,6217 6200,5320,5560,6675,6400,7000 7280,5760,6600,5983,5150 6700,6383 6100 6380 6200,5300
Groundnuts,Kg,R.P,2728,4000,2833,2643 2600,2540,2263,2500,2917,3000 2060,2540,2400,3133,2500 2800,2900 3067 2540 2750,2583
"",,W.P,2381,3000,2500,2443 2425,2220,1950,2250,2617,2500 1860,2360,2125,2883,2300 2320,2517 2475 2210 2325,2342
Irish Potatoes,Kg,R.P,987,1533,420,945 1195,1430,710,767,950,1000 1020,885,987,1975,900 500,1367 940 750 900,575
"",,W.P,803,1300,380,713 963,1184,584,683,833,500 1010,778,913,1653,625 420,1075 624 600 767,450
Kayiso Rice,Kg,R.P,2414,2000,2250,2350 2325,2300,2050,2150,2267,2800 2520,2675,2500,2700,2200 2460,2940 2329 2567 2500,2400
"",,W.P,2218,1850,1967,2200 2150,2020,1810,1963,2100,2600 2420,2325,2330,2540,2050 2220,2820 2100 2333 2325,2240
Local Chicken,bird,R.P,15390,16000,19000,19833 16500,13700,15250,15375,13500,20000 14667,14200,15667,15750,14500 13800,15333 15000 14300 13250,12167
"",,W.P,12386,14667,15417,15583 11750,10300,12000,13625,11667,15000 12360,12500,13583,12250,11250 11400,12417 8883 11900 11000,10167
Local Eggs,tray,R.P,10872,10500,12750,10733 8250,8080,9950,9500,12900,16000 13125,9000,10000,10333,8400 9600,11900 12000 12300 10625,11500
"",,W.P,9099,9000,8500,8700 6000,7300,8300,8375,11875,12000 11250,8333,8633,9533,7300 8420,11575 9867 7160 9333,10533
Maize Flour,Kg,R.P,1537,1900,1533,1700 1425,1640,1250,1325,1667,1800 1333,1500,1283,1617,1825 1430,1650 1500 1520 1400,1433
"",,W.P,1308,1500,1217,1510 1225,1460,1038,1200,1517,1400 1167,1380,1117,1500,1425 1222,1492 1233 1200 1175,1183
Maize Grain,Kg,R.P,775,700,857,907 750,610,605,648,767,800 620,790,625,1117,605 768,1083 864 840 800,742
"",,W.P,656,615,699,792 613,542,525,585,633,500 520,700,565,1063,555 712,883 722 654 600,633
Matooke,bunch,R.P,18517,18000,27333,16333 19500,19000,20000,17000,22333,14000 12000,15000,20000,20000,23000 18000,18333 20000 16500 17000,17000
"",,W.P,15062,15333,21333,14000 14750,12667,18000,15000,16667,12000 8000,12000,18000,18000,15000 16000,15333 14333 13833 15000,16000
Matooke (kg),Kg,R.P,816,483,975,1245 1175,1004,580,358,517,1000 1440,440,600,1224,463 854,1417 790 480 440,825
"",,W.P,670,407,806,1025 900,736,456,300,450,600 1380,360,545,1104,338 858,1133 520 404 378,700
Milk,Litre,R.P,985,1067,1033,900 1222,1140,925,875,833,1200 1280,860,967,750,900 980,900 967 900 900,1100
"",,W.P,809,,721,742 906,685,763,763,700,1000 1220,810,896,675,713 810,808 726 689 781,963
Millet Flour,Kg,R.P,1880,2500,1867,2608 1700,2120,1538,1500,1683,2200 1580,1580,1492,1983,2050 1960,1983 2000 1910 1750,1600
"",,W.P,1604,2100,1500,2200 1450,1340,1263,1350,1500,1800 1380,1480,1308,1667,1900 1720,1825 1658 1590 1600,1450
Millet Grain,Kg,R.P,1156,1467,1250,1208 1150,1100,1038,1088,1200,1700 780,1300,933,1358,825 1230,1433 900 1000 1163,1000
"",,W.P,1009,1400,937,925 950,880,913,938,1000,1500 650,1190,862,1275,730 1090,1283 833 880 1025,925
Nambale Beans,Kg,R.P,1586,1600,1533,1667 1550,1380,1517,2000,1267,2000 1650,1250,1275,1780,1300 1360,1650 2513 1488 1425,1520
"",,W.P,1391,,1130,1508 1350,1240,1400,1800,1167,1800 1550,1150,1125,1580,1150 1260,1550 1750 1225 1288,1400
Commodity,Units,Values,Average,Arua,Busia,Fort PortGulu,Hoima,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Nile Perch,Kg,R.P,8337,6500,6000,6167 7833,6250,6025,6125,8000,12000 7700,5167,16400,8417,12000 8000,9667 9700 7625 10167,7000
"",,W.P,6907,,4500,5000,5833,5375,5225,5450,7160,9000,6950,5000,13300,7667,6500,6100,8767,7400,6675,8833,6500
Orange Fleshed Sweet Potatoes,Kg,R.P,1216,,,,2000,2000,,,2500,1000,500,402,440,1967,,250,1500,1000,1000,1250,
"",,W.P,899,,,,1500,1500,,,2000,500,450,361,373,1800,,200,1000,500,500,1000,
Pineapple,whole,R.P,2159,2833,2700,1000,3250,2000,2000,2600,967,2000,1300,700,4667,2567,1500,2333,2267,2000,2000,2000,2500
"",,W.P,1724,,2000,800,2250,1467,1600,2450,800,1500,1000,600,4667,2400,1000,1833,1833,1500,1500,1250,2300
Pork,Kg,R.P,7093,7000,7000,6500,8000,7000,,5750,9000,6000,6000,7000,,7733,6500,7000,10000,,7000,,6000
"",,W.P,6470,7000,7000,5500,7000,5500,,4750,9000,5500,6000,6500,,7467,5000,6000,10000,,5500,,5800
Processed Honey,Kg,R.P,7814,6000,8667,13500,5600,8260,7350,7000,8840,,5250,6100,6000,9750,12500,4000,13040,7000,6500,5500,7600
"",,W.P,6814,5500,7667,12133,5000,6980,6825,5667,6840,,4375,5600,5800,8683,11500,2000,10960,5900,5900,5000,7140
Simsim,Kg,R.P,3032,3500,3040,2333,2533,2700,2925,2750,2833,4000,2900,2433,2800,3700,2400,3250,3817,3540,2920,3267,3000
"",,W.P,2611,,2433,1800,2167,1975,2525,2575,2567,3500,2600,2233,2580,3360,2200,2675,3367,2820,2540,2900,2800
Sorghum Flour,Kg,R.P,1143,2000,1000,867,1275,1600,900,738,1417,1600,960,1160,733,1000,775,1000,1617,767,1140,1225,1083
"",,W.P,957,1300,883,733,1075,1060,738,663,1267,1400,840,1090,617,875,675,800,1508,667,920,1150,883
Sorghum Grain,Kg,R.P,840,1200,1080,623,725,650,675,638,917,1500,610,870,653,843,600,720,1250,600,920,1025,692
"",,W.P,730,1000,784,590,663,602,550,525,800,1200,540,800,603,780,525,626,1158,550,720,963,617
Soya Beans,Kg,R.P,1721,1367,1667,1617,1600,1760,1550,1675,1500,2500,1680,1740,1433,1800,1650,1780,1842,2167,1560,1625,1900
"",,W.P,1422,950,1269,1317,1300,1520,1300,1450,1267,1800,1440,1480,1300,1650,1450,1390,1592,1583,1380,1350,1650
Sun Dried Cassava,Kg,R.P,653,700,798,413,1067,525,493,410,600,,800,567,594,694,350,660,858,450,1000,733,700
"",,W.P,575,650,738,387,850,475,438,368,550,,706,510,506,630,280,596,747,420,763,660,650
Sunflower,Kg,R.P,869,,550,500,,450,475,400,,,,400,1000,1318,400,550,4150,475,400,,1100
"",,W.P,753,,470,430,,400,400,350,,,,350,970,1163,350,450,3463,395,350,,1000
Super Rice,Kg,R.P,2786,3400,2667,2750,2775,2550,2400,2733,2500,3200,2750,2550,2520,2433,2650,2760,3225,3020,3075,2850,2920
"",,W.P,2513,3100,2267,2392,2500,2262,2133,2500,2333,2900,2550,2350,2320,2300,2225,2500,3050,2640,2675,2575,2680
Tilapia,whole,R.P,8302,10667,9417,8283,8375,7100,9250,7650,4767,4000,4280,7200,10250,11967,5750,11700,9967,8500,8700,11125,7083
"",,W.P,6882,,7817,7167,6075,5640,8175,6800,4167,3000,3600,6500,9083,11000,4250,9200,8417,7417,7300,9325,5833
Turkey,bird,R.P,33494,,27250,34000,,20000,38000,39750,30000,,30000,12250,35500,49667,45000,18667,20000,43400,41250,35000,49667
"",,W.P,27767,,23500,26667,,19000,30000,36000,20000,,20000,11750,27500,44000,35000,16000,18000,34200,35750,28000,46667
Unprocessed Cotton,Kg,R.P,1134,,1200,1200,,,1025,,,,,,1200,1200,,1200,,1250,800,,
"",,W.P,980,,1100,1100,,,900,,800,,800,,1100,1100,,1100,,1100,700,,
Unprocessed Honey,Kg,R.P,3909,,3500,2500,3500,3000,4043,4032,8647,,2506,3625,3000,6000,3500,7000,2500,3000,3000,3500,3500
"",,W.P,3479,,3100,2200,3100,2650,3480,3310,7543,,2188,3200,2700,5650,3100,6500,2300,2700,2700,3100,3100
Unprocessed Tea,Kg,R.P,1390,,400,400,,,425,,,5000,,,400,400,,400,,4588,500,,
"",,W.P,1064,,350,350,,,350,,,4000,,,350,350,,350,,3075,400,,
Unprocessed Vanilla,Kg,R.P,7723,,2500,2750,,,2600,,,,,,2500,2500,,4833,,45625,2700,3500,
"",,W.P,5572,,2000,2000,,,2250,,,,,,2000,2000,,4000,,30500,2400,3000,
Upland Rice,Kg,R.P,2564,3000,2117,2360,2467,3000,2188,2600,3200,3000,2600,2900,2600,2433,2050,1850,3200,2700,2688,2533,1800
"",,W.P,2342,2800,1833,2120,2233,2567,2000,2500,3000,2700,2100,2700,2425,2317,1900,1675,3000,2450,2450,2367,1700
White fleshed Sweet Potatoes,Kg,R.P,1184,800,1500,1500,1500,2000,2200,390,2533,1000,500,402,430,1933,1500,250,1500,1000,1000,1050,700
"",,W.P,863,633,1300,1000,1000,1500,1700,370,2267,500,500,361,373,1700,500,200,1000,500,500,850,500
Yellow Beans,Kg,R.P,1692,2000,1633,1933,1475,1520,1650,1850,1460,2200,1760,1280,1333,1817,1250,1720,1767,2525,1730,1413,1533
"",,W.P,1471,1533,1272,1783,1263,1370,1463,1550,1300,2000,1700,1160,1167,1725,1150,1540,1567,1750,1430,1313,1383
