Millet Grain,Kg,Retail,1200,1000,1200,1500 1200,1800,1050,1200,1000,1200 1200,1100,1000,1000 1000,1500,1100,1200 1200,1250,1195,
"",,Wholesale,900,900,1000,1300 1000,1500,1000,962,950,1000 1100,900,900,800 900,1100,1000,1000 1000,1000,1010.6,
Rice (Kayiso),Kg,Retail,2000,2800,1600,2200 1800,,1600,1500,1450,1800 2200,1400,2000,2000 1700,2300,,2500,2500,1961.8,
"",,Wholesale,1800,2500,1400,1800 1500,,1300,1310,1300,1700 2100,1280,1800,1800 1600,2000,,2300,2300,1752.4,
Rice (Super),Kg,Retail,2400,2300,2000,2200 2200,2500,2200,2200,2100,2400 2300,2400,2500,2700 2000,2500,2400,2200 2700,2400,2330,
"",,Wholesale,2100,2200,1800,1800 1800,2300,1800,2040,1950,2100 2200,2200,2000,2600 1800,2100,2300,2000 2400,2100,2079.5,
Rice (Upland),Kg,Retail,1700,2200,1800,2500 1800,2500,1600,1800,1800,1700 2000,,2000,1800 1800,2000,,2300,2800,2005.9,
"",,Wholesale,1500,2000,1600,1800 1500,2300,1500,1600,1630,1600 1800,,1800,1750 1600,1600,,2100,2500,1775.3,
Simsim,Kg,Retail,3000,,3500,3000 3000,5000,2500,2500,2750,2500 2500,2600,2500,2400 2300,4000,2000,3000,4000,2947.2,
"",,Wholesale,2800,,3000,2700 2700,4500,2200,2329,2470,2400 2400,2400,2000,2300 2100,3000,1800,2000,3800,2605.5,
Sorghum Flour,Kg,Retail,1000,900,1300,1000,1800,600,,1150,800 1000,500,800,1600 2000,,2000,1200,800,1153.1,
"",,Wholesale,700,800,1200,700,1700,480,,790,700 900,400,700,1400 1800,,1800,1000,750,988.75,
Sorghum Grain,Kg,Retail,700,800,1000,800,1700,350,300,750,600,300,600,200 300,1000,1100,800,850,714.71,
"",,Wholesale,500,700,800,500,1500,280,250,570,500,250,350,100 250,700,1000,700,750,570.59,
Fish,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,,6000,6500 7500,,7000,4500,5300,700,5000,5000,4500 7000,,,9000 5500,7500,5800,
"",,Wholesale,5000,,5000,5000 6500,,6000,4000,4300,6500,4500,,4000 6000,,,8000 4500,6800,5435.7,
"Fish, Tilapia",whole,Retail,3500,4600,3000,4500 4500,8000,7000,4000,6300,9000 2000,6000,6500,5000 9000,5000,4800,8000 4500,7000,5610,
"",,Wholesale,3000,4200,2800,3000 4000,7000,5000,3800,5000,8500 1500,5000,,4200 7000,3500,4500,7500 3500,6500,4710.5,
Fruits,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,550,1000,800 1000,1100,1300,1200,1300,240 400,1000,800,1500,1000,800,600 800,750,902.11,
"",,,,,,,,,,,,,,,,,,,,2000
"",,Wholesale,700,500,900,600 700,1000,1200,1000,800,200 300,800,700,1300,700,700,500,600,733.33,
Cavendish (Bogoya),Kg,Retail,1250,750,1300,1100 1000,1000,1600,1500,3000,800 1000,1500,700,2000 2000,2000,1600,2500 650,1200,1422.5,
"",,Wholesale,1200,650,1200,600 800,9000,1500,1300,2200,650 800,1000,600,1800 1800,1500,1500,2000 400,1000,1575,
Matooke,Kg,Retail,200,250,1500,375 360,550,380,800,350,160 250,800,400,1400 1000,1500,780,460,500,632.37,
"",,Wholesale,150,175,1200,150 270,500,250,600,280,140 200,800,350,1200 800,1300,750,400,500,527.11,
Matooke (Bunch),Bunch,Retail,6000,10000,9500,13000 8000,13000,8000,17500,13500,8000 5000,12000,8500,17500 8000,6000,15000,6000 10000,6000,10025,
"",,Wholesale,4000,7000,8000,11000 6000,10000,7000,17000,11000,7000 4000,10000,7500,15000 3500,4500,14500,3500 9000,4000,8175,
Pineapple,whole,Retail,1000,1000,1500,900 1000,1700,1200,800,2000,1800,1500,1500,1800 2500,500,1500,1000 3000,1200,1442.1,
"",,,,,,,,,,,,,,,,,,,,2500
"",,Wholesale,800,800,1200,600 700,1200,800,600,1400,1700,1000,1400,1600 500,300,1450,700 1500,1000,1013.2,
"",,,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
Commodity Name,Unit,,KAL,KIB,LUW,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,ARU,GUL LRA,FTP,KAS,KLE KSR,MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3500,2800,3800,2300 3200,4000,2700,3000,2700,2800 3200,2850,3000,2300 4000,3000,3000,3000 3100,2300,3027.5,
"",,Wholesale,3100,2600,3500,2100 2700,3500,2550,2800,2500,2600 3000,2700,2500,2100 3500,2800,2800,2800 2800,2100,2752.5,
Soya Beans,Kg,Retail,2000,1400,1500,1900 1500,2000,1200,1200,1450,1400 1800,1500,1500,800 1000,1500,1600,3000 1600,2300,1607.5,
"",,Wholesale,1800,1200,1200,1800 1300,1700,1000,1041,1200,1200 1700,1200,,700 900,1000,1500,2750 1300,2000,1394.3,
Sunflower,Kg,Retail,,,,,3000,400,,,,,,,,,,3200,2200,
"",,Wholesale,,,,,2700,370,,,,,,,,,,3000,2023.3,
Poultry Products,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7000,,6000,15000 6000,9000,7000,6500,5800,7500,6500,,8500 5000,11000,8000,8000 9000,14000,8223.5,
"",,Wholesale,6500,,5000,13000 5000,8500,5500,6000,4800,7000,5000,,6500 4000,9000,7800,6000 7000,12500,7005.9,
"Chicken, Local",bird,Retail,10000,14000,9000,17500,15000,15000,10000,12000,14000 9000,7500,15000,13500 10000,18000,16000,10000 11000,13000,12605,
"",,,,,,,,,,,,,,,,,,,,15000
"",,Wholesale,9000,12000,8000,16000 11500,12000,13000,9000,9000,13000 7000,6000,13000,12000 8000,15000,15500,9000 9000,12500,10975,
"Eggs, Exotic",tray,Retail,5000,6000,4500,4800 6000,5500,5000,7500,5300,5500 6000,5500,7500,7200 6000,6500,5800,5000 6500,7300,5920,
"",,Wholesale,4500,5500,4000,3700 5000,5000,4500,5400,4900,5200 5500,5300,5700,5800 5500,5500,5500,4800 5500,6700,5175,
"Eggs, Local",tray,Retail,8500,9000,4800,9000 12000,14000,13000,9000,8000,15000 7000,9000,7500,6500,9500,8500,9000 12000,7500,9410.5,
"",,Wholesale,7500,7500,4500,7500 10000,12000,10000,7500,6000,12000 6500,7500,,6000,7500,8000,8500 9000,6800,8016.7,
Turkey,bird,Retail,,,,42000,38000,35000,8000,33000,45000,,,,,,30000,,33000,
"",,Wholesale,,,,35000,30000,35000,8000,30000,40000,,,,,,26000,,29143,
Pulses,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1600,2500,2600 2000,2500,3000,2200,1800,2500 1800,1800,2500,2200,2000,2100,2200,1000,2127.8,
"",,Wholesale,1800,1500,2300,2200 1800,2000,2800,1880,1600,2200 1700,1500,1600,2000,1800,2000,2000,900,1865.6,
"Dried Beans, Agwede",Kg,Retail,,,,1400 1200,,1300,,1250,1100,,1200,1600,,,,,1292.9,
"",,Wholesale,,,,1200 1000,,1200,,1000,1000,,,1400,,,,,1133.3,
"Dried Beans, Nambale",Kg,Retail,2500,,1300,1500 1500,2300,1300,1300,1300,1300 1200,1200,1500,1600 1600,1600,1400,1000 1300,1200,1468.4,
"",,Wholesale,2300,,1200,1300 1200,2100,1200,933,1180,1200 1000,1100,1300,1500 1400,1400,1350,900 1000,1000,1292.8,
"Dried Beans, Yellow",Kg,Retail,2500,800,1300,1000 1800,3000,1600,1500,1400,1400,1500,1600,1650 1600,2200,1800,900 1250,1400,1589.5,
"",,Wholesale,2300,700,1200,800 1600,2500,1400,1040,1290,1200,1300,1400,1500 1500,1800,1700,850 1100,1300,1393.7,
Root Crops,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,250,,380,,,300,1500 1000,,580,,1000,715.71,
"",,Wholesale,,,,,,230,,300,,,280,1300 900,,560,,800,624.29,
"Cassava, Flour",Kg,Retail,800,1300,800,1200 800,1000,400,600,650,800 1000,500,550,1600 1000,1000,800,1000 1000,800,880,
"",,Wholesale,700,1100,700,700 500,800,350,500,580,700 900,400,420,1400 800,800,700,800 700,750,715,
"Cassava, Fresh",Kg,Retail,420,550,1000,1100 350,350,350,650,700,180 500,130,350,800 1000,1500,1000,1400 400,1000,686.5,
"",,Wholesale,360,450,500,700 250,300,300,600,500,150 400,120,300,600 800,1000,900,1000 300,800,516.5,
"Cassava, Sun dried",Kg,Retail,,,400,800,,250,350,380,240,300,300,1500 400,,550,500,1000,536.15,
"",,Wholesale,,,350,500,,230,326,300,220,250,280,1200 300,,500,400,1000,450.46,
Irish Potatoes,Kg,Retail,620,500,1000,1100 720,1000,750,350,750,600 350,300,1000,1200 1200,2000,700,600 1000,1400,857,
"",,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,540,458,800,900 650,950,655,287,650,500 300,250,,1000 1000,1500,600,550 800,1400,725.79,
Sweet Potatoes,Kg,Retail,250,166,1000,700 400,350,400,800,900,160 400,130,350,700 1000,1000,700,1500 500,900,615.3,
"",,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,200,141,500,500 300,300,350,600,700,140 300,120,250,500 800,500,600,1200 400,730,456.55,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,2500,1000,,,,,1000,3700,,,,3300,1060,,2151.4,
"",,Wholesale,,1900,2300,800,,,,,900,3600,,,,3100,950,,1935.7,
Vanilla (Unprocessed),Kg,Retail,,,,,,3000,,,,,,,,,,3000,3000,
"",,Wholesale,,,,,,2700,,,,,,,,,,2800,2750,
