Commodity Name,Weight,Pricetype,Kalerwe Kiboga Luwero Masaka,Nakasero Nakawa Owino,Iganga,Jinja,KapchorwaMbale Soroti Arua,Gulu,Lira,Hoima Kabale Kasese Kisoro,Mbarar
"",,Wholesale,4000 4500 4500 3500,3500 2000,,5000,3600 3000 3800 5000,4300,3500,3500 4500 3000,6000
Rice (Kayiso),Kg,Retail,2000 2800 2400 2400,2000 2200,1700,1700,2200 1900 2300,2400,2200,2400 2500,2500
"",,Wholesale,1800 2500 2300 2000,1800 2000,1500,1550,2100 1700 2100,2250,2100,2200 2400,2300
Rice (Super),Kg,Retail,2400 2500 2400 2300,2500 2400 2500,2200,2000,2400 2400 2400 2300,2700,2500,2500 2500 2500 2600,2500
"",,Wholesale,2200 2300 2300 1800,2200 2100 2200,2000,1800,2300 2200 2200 2100,2500,2300,2400 2400,2400
Rice (Upland),Kg,Retail,2000 2200 2000 2300,2700 2000 2300,1700,1700,2300,2500,2200,2200 2500 1700 2300,2200
"",,Wholesale,1800 2000 1900 1800,2400 1800 2100,1450,1500,2100,2400,2100,1900 2200 1600 2100,2000
Simsim,Kg,Retail,3000 2700 3300,4500 2800 3000,2000,3000,2500 2500 2500 3200,2450,2500,3000,3800
"",,Wholesale,2800 2500 2900,4000 2400 2300,1800,2700,2400 2300 2300 2500,2300,2300,2500,3500
Sorghum Flour,Kg,Retail,1000 700 1400,1800 1200 1000,950,1000,900 900 1000 1600,1200,,1400 1400,1100
"",,Wholesale,700 600 1300,1500 900 850,750,900,700 800 800 1500,1000,,1400 1300,1000
Sorghum Grain,Kg,Retail,700 600 1000,1600 900 700,800,800,650 700 1000,900,,700 1100 800,850
"",,Wholesale,500 500 800,1400 700 650,600,700,600 600 850,800,,650 1000 600,500
Soya Beans,Kg,Retail,2000 1400 2000 1400,1600 1700 1300,1400,1400,1800 1400 2000,,,1200 1500 1500,1500
"",,Wholesale,1800 1200 1500 1300,1500 1400 950,1250,1300,1700 1200,,,1000 1380 1300,1400
Sunflower,Kg,Retail,,400,,,,,,,
"",,Wholesale,,370,,,,,,,
Sweet Potatoes,Kg,Retail,850 150 1000 1000,800 550 600,1100,300,300 210 450 500,850,1000,1000 200 1000 700,700
"",,Wholesale,710 100 1000 600,700 450 550,900,280,200 200 400 450,700,800,600 170 900 500,500
Turkey,bird,Retail,28000,40000 45000 35000,34000,45000,30000,,,29000,32000
"",,Wholesale,25000,30000 35000 28000,31000,43000,25000,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,2700,,,,,,3500,3000
"",,Wholesale,,2300,,,,,,3000,2000
