"",11/26/2008,11/24/2008
150,,
050,,
950,11/29/2008,1M1a/i2z6e/ G20ra0i8n ‐ Retail
850,,
"",,Maize Grain ‐Wholesale
750,,11/29/2008
650,12/1/2008,Millet Grain ‐ Retail
550,,M1i2ll/e1t/ G2r0a0i8n ‐Wholesale
450,,
"",12/3/2008,
Table 1: Chicken price by region,,,,,,,,
Commodity,Type,Central,,Eastern,,Northern,,Western
"",,Wholesale,"7,000","5,500","7,000","8,500","7,500","15,000","14,000","8,000","7,000","9,500","8,000","18,500","7,000",,"7,500","6,000","8,000",,"9,000"
Milk (One Litre),Ltrs,Retail,800,700,800,900,700,500,800,500,800,800,"1,000",600,700,800,500,700,700,500,711
"",,Wholesale,700,500,400,800,600,400,700,400,600,700,700,500,700,500,450,700,500,400,569
Millet Flour,Kg,Retail,"1,600","1,600","1,900","1,800","1,800","1,550","1,500",,"1,500","1,400","1,500","1,400","1,000","2,000","1,500","1,300","1,600","1,800","1,574"
"",,Wholesale,"1,400","1,400","1,400","1,400","1,400","1,350","1,200",,"1,200","1,300","1,400","1,200",800,,"1,400","1,200","1,500","1,300","1,303"
Millet Grain,Kg,Retail,"2,000","1,300","1,400",950,900,"1,100",900,"1,050","1,200",800,"1,000",900,800,850,"1,500","1,100","1,400","1,800","1,164"
"",,Wholesale,"1,400",900,"1,200",750,800,"1,000",800,"1,000",900,700,900,700,700,800,"1,200","1,100","1,300","1,700",992
Rice (Kayiso),Kg,Retail,"1,700","2,000","2,400","1,800","1,600","1,700","1,500","1,800","1,700","1,700","2,000","1,800","2,000",,"1,900","1,800","2,800","2,300","1,912"
"",,Wholesale,"1,600","1,800","2,000","1,600","1,400","1,500","1,400","1,600","1,500","1,600","1,600","1,600","1,800",,"1,600","1,800","2,500","2,000","1,700"
Rice (Super),Kg,Retail,"2,000","2,200","1,800","2,200","2,000","2,100","2,000","2,000","2,000","1,800","2,200",,"2,000","2,000","2,000","2,000","2,000","2,300","2,035"
"",,Wholesale,"1,900","2,000","1,600","1,850","1,700","1,900","1,800","1,800","1,800","1,700","1,900",,"1,800",,"1,850","2,000","1,800","2,000","1,838"
Simsim,Kg,Retail,"3,000","3,500",,"3,000","2,500","2,300","1,500",,"3,000","2,200","1,800","2,300","2,000",,,"2,000",,"2,000","2,392"
"",,Wholesale,"2,800","3,000",,"2,400","1,800","2,000","1,300",,"2,700","1,900","1,700","2,100","1,800",,,"2,000",,"1,800","2,100"
Sorghum Flour,Kg,Retail,"1,200",,,"1,000","1,000","1,000",800,700,700,650,"1,500",900,700,,"1,100","1,300",900,"1,300",983
"",,Wholesale,900,,,700,800,900,700,500,600,500,"1,400",800,700,,850,"1,200",800,"1,200",837
Sorghum Grain,Kg,Retail,"1,200",700,,800,730,800,800,,600,600,800,800,700,,"1,000","1,100",800,"1,000",829
"",,Wholesale,900,500,,500,670,700,700,,400,450,700,650,700,,650,"1,100",750,700,671
Soya Beans,Kg,Retail,"2,500","1,500","1,500","1,400","1,100","1,200","1,500","1,500","1,700","1,300","1,500","1,400","1,000","1,200","1,700","2,000","1,600",,"1,506"
"",,Wholesale,"2,300","1,000","1,400","1,000",900,"1,000","1,100","1,350","1,400","1,100","1,300","1,200","1,000",,"1,640","2,000","1,400",,"1,318"
Sunflower,Kg,Retail,,"2,100",,,520,600,,,,400,,,500,,,,"1,800",,987
"",,Wholesale,,"1,900",,,470,500,,,,350,,,400,,,,"1,700",,887
Sweet Potatoes,Kg,Retail,500,400,800,300,450,600,300,200,500,200,600,500,800,,200,250,150,800,444
