"",,,,,,CENTRAL,,,,,,EASTERN,,,,NORTHERN,,,,WESTERN,,,,Organic
Commodity,Unit,,KAL,KIB,LUW,MSK,NAK,NKS,OWI,IGA,JJA,KAP,MBA,SOR,ARU,GUL,LRA,HOI,KAS,KLE,KSR,MBR,Avg,Prices
"Groundnuts, Unpounded",Kg,Retail,3000,2800,3300,2300,3500,3500,3300,2800,3100,3200,3000,2500,3000,2400,3400,2800,2800,3000,2800,2850,2968,
"",,Wholesale,2800,2600,3000,2100,2800,2800,2500,2600,3000,3000,2900,2200,2500,2200,3000,2700,2700,2800,2400,2600,2660,
Soya Beans,Kg,Retail,2000,1400,1800,1900,1500,2000,1300,1550,1700,1800,1800,1450,1700,,1000,1000,,2400,1600,2800,1706,
"",,Wholesale,1800,1200,1500,1800,1300,1700,1100,1300,1500,1700,1500,950,,,900,800,,2250,1300,1900,1441,
Sunflower,Kg,Retail,,,,,,3000,400,,,,,450,,,,,,,,,1283,
"",,Wholesale,,,,,,2700,370,,,,,400,,,,,,,,,1157,
Poultry Products,,,,,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,,8500,8000,6000,6000,7000,6000,7500,,7000,10000,,8500,5000,8000,8500,6000,9000,13000,7735,
"",,Wholesale,7000,,7000,7000,5000,5000,5500,5000,6500,,5500,8000,,6500,4500,7000,7800,5000,7000,10000,6429,
"Chicken, Local",bird,Retail,11000,14000,18000,14000,,15000,15000,12000,15000,6000,8500,11000,13000,13800,14000,14000,17000,10000,11000,16000,13068,
"",,,,,,,,,,,,,,,,,,,,,,,,15000
"",,Wholesale,10000,13000,15000,11000,,13500,13000,9000,14000,4000,7000,8500,11500,12000,8000,10000,16500,8000,9000,15000,10947,
"Eggs, Exotic",tray,Retail,5000,6000,4800,5600,6000,5000,5000,5300,5000,6000,5500,5800,7500,7200,5700,5500,1700,6000,6500,7300,5620,
"",,Wholesale,4500,5500,4500,4400,5000,4700,4500,4900,4800,5500,5300,5700,5600,5700,5500,5000,1600,5000,5500,6700,4995,
"Eggs, Local",tray,Retail,8500,9000,5000,9000,9000,15000,13000,8000,7000,7000,9000,9000,7500,,6500,9000,6000,9000,12000,7000,8711,
"",,Wholesale,7500,7500,4800,7500,7000,12000,10000,6000,6500,6500,9500,8500,,,6000,6500,5800,7500,9000,6500,7478,
Turkey,bird,Retail,,,30000,,42000,22000,42000,32000,50000,,30000,36000,,,,,,,30000,,34889,
"",,Wholesale,,,30000,,35000,20000,36000,28000,48000,,25000,34000,,,,,,,26000,35000,31700,
Pulses,,,,,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1800,2200,2500,2500,4500,2700,1550,2000,1800,1500,1600,2500,,1600,3000,2300,,2200,1300,2197,
"",,Wholesale,1800,1700,2000,2300,2000,3500,2500,1480,1800,1700,1000,1300,,,1500,,2200,,2000,1100,1868,
"Dried Beans, Agwede",Kg,Retail,,,,1400,1200,,1200,1200,1300,,,1400,,,1400,,,,,,1300,
"",,Wholesale,,,,1200,1000,,1100,1000,1200,,,1250,,,1300,,,,,,1150,
"Dried Beans, Nambale",Kg,Retail,1800,,1400,1600,,2000,1200,1400,1400,1200,1300,1600,1500,1500,1400,1400,1500,1000,1400,1300,1439,
"",,Wholesale,1600,,1200,1400,,1800,1050,1250,1300,1000,1200,1350,1200,1400,1300,1200,1400,850,1200,1200,1272,
"Dried Beans, Yellow",Kg,Retail,1800,800,1400,1000,1700,2200,1600,1500,1500,,1350,1600,1500,1600,1500,1600,1400,900,1500,1650,1479,
"",,Wholesale,1600,700,1200,800,1550,2000,1450,1350,1400,,1250,1300,1400,1500,1400,1400,1300,800,1300,1500,1326,
Root Crops,,,,,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,,450,520,200,,700,450,600,1500,1000,,780,,,1000,720,
"",,Wholesale,,,,,,,420,420,160,,600,350,450,1400,800,,750,,,800,615,
"Cassava, Flour",Kg,Retail,800,1300,1000,1400,900,1000,650,1000,800,1000,700,1000,750,2000,1000,600,900,1000,1000,1000,990,
"",,Wholesale,700,1100,800,800,650,900,530,800,700,900,650,700,630,1700,900,500,880,900,700,800,812,
"Cassava, Fresh",Kg,Retail,400,500,1000,1200,625,350,520,800,220,500,140,450,600,1200,950,500,1000,1000,450,600,650,
"",,Wholesale,350,400,1000,800,275,300,500,600,200,400,130,350,420,1000,800,400,800,800,300,500,516,
"Cassava, Sun dried",Kg,Retail,,,,,900,,450,450,330,,500,,650,1600,700,320,750,,450,1100,683,
"",,Wholesale,,,,,650,,420,370,300,,400,,600,1400,600,300,700,,400,1000,595,
Irish Potatoes,Kg,Retail,550,416,1000,1200,560,800,550,800,700,250,400,850,1000,1200,1200,700,800,350,1000,1500,791,
"",,,,,,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,490,375,800,1100,480,700,480,680,600,200,350,700,,1000,1000,600,750,300,800,1400,674,
Sweet Potatoes,Kg,Retail,290,220,1000,1000,350,500,480,1000,270,400,,400,250,1000,500,350,900,100,500,750,540,
"",,,,,,,,,,,,,,,,,,,,,,,,1200
"",,Wholesale,250,170,800,600,200,300,450,800,250,300,,350,200,800,400,300,800,800,400,650,464,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2400,2500,1000,,,,,1200,,3500,,,,,1000,950,,1050,,1700,
"",,Wholesale,,1800,2500,800,,,,,1100,,3300,,,,,,900,,950,,1621,
Vanilla (Unprocessed),Kg,Retail,,,,,,3500,,,,,,,,,,,,,3500,,3500,
"",,Wholesale,,,,,,3000,,,,,,,,,,,,,3000,,3000,
