commodity,,Kalerwe,Kiboga,Luwero,Masaka,NakaseroNakawa,Owino,Busia,Iganga,Jinja,Mbale,Soroti,Gulu,Lira,,Arua,Kabale,Kisoro,Mbarara prices
"",wholesale,1300,750,1200,450,800,1300,1000,900,1020,1400,1700,800,1500,,1000,,800,1000
Millet Flour,retail,2000,1700,,2500,2500 2000,2000,,1600,1600,2000,1800,2000,1400,,2000,1800,1400,2000
"",wholesale,1800,1500,,2000,2000 1600,1800,,1350,1500,1800,1500,1700,1200,,1500,1600,1300,1800
Millet Grain,retail,1800,1300,,1400,1200,11000,1100,1200,1200,1100,1000,1650,1000,,1100,1200,1300,1600
"",wholesale,1600,1200,,1300,1000,970,930,1100,1100,1000,900,1400,950,,900,1100,1200,1500
Simsim,retail,4000,2800,3600,3500,5000 3500,3500,3000,3800,3000,3500,3000,4000,3000,,2800,,,5500
"",wholesale,3500,2400,3400,3200,4000 3000,2800,2831,3500,2800,3000,2850,3500,2700,,2500,,,5000
Sorghum Flour,retail,1800,,,,1900,1200,,1100,900,1200,1000,1800,,,1000,1800,1300,1900
"",wholesale,1400,,,,1200,1100,,850,800,1000,900,1600,,,800,1600,1200,1700
Sorghum Grain,retail,1600,800,,,2500 1000,1000,850,720,600,800,700,700,700,,700,1500,1200,1600
"",wholesale,1200,700,,,2000 700,850,722,580,500,700,650,600,670,,500,1300,1100,1500
Super Rice,retail,2600,2800,3200,2100,3000 3000,2800,2400,2800,3000,3000,3000,3500,2800,,3500,3000,2700,3000
"",wholesale,2300,2600,2800,1700,2600 2600,2600,2200,2500,2800,2700,2800,3000,2500,,,2800,2500,2800
Upland Rice,retail,2500,2400,,2600,3000 2600,2500,2200,2500,2800,,,3200,2800,,3000,2800,2500,2800
"",wholesale,2200,2000,,1850,2600 2300,2300,2100,2200,2700,,,2800,2400,,2500,2700,2400,2600
Nile Perch,retail,8000,7000,18000,12000,10000 9000,10000,5100,7000,8000,7000,7000,8500,5500,,6500,,,12000
"",wholesale,7000,5000,15000,6500,8000 7500,8500,4900,6000,7000,6000,6500,7000,5000,,,,,12000
Tilapia,retail,3500,4500,11000,15000,6000 4500,14000,5400,8800,8000,18000,6000,9000,10000,,9000,,11000,10000
"",wholesale,2800,4000,10000,6500,4000 4000,12000,5300,7200,7000,15000,5500,7500,9000,,,,10000,9500
Apple Bananas,retail,1500,600,1500,1000,1500 1200,1300,1300,1600,270,1000,1200,3800,4000,,1400,500,700,2700
"",wholesale,1000,450,1300,500,1000 900,1200,1250,1300,240,800,950,2500,3600,,1000,400,600,2200
Cavendish (Bogoya),retail,2500,400,3000,1000,1500 1200,1700,1600,3300,800,2000,1200,3000,3900,,1200,3000,850,4000
"",wholesale,2000,300,2000,500,1000 1000,1600,1300,2600,700,1500,1000,2600,3500,,1000,2500,750,3500
Pineapple,retail,1000,2800,2200,1500,1500 1500,1500,1700,1800,1700,3000,2600,3200,3500,,,1000,900,2500
"",wholesale,800,1700,1900,900,1000 1000,1000,1600,1300,1500,2500,2400,2000,3200,,,800,800,2000 2500
Groundnuts,retail,5000,3500,4300,2200,5000 4500,4300,3950,3500,4000,3300,3800,3500,4500,,4500,4000,4000,4500
"",wholesale,4500,2800,4000,2000,4000 4000,4000,3800,3200,3800,3100,3500,3000,4000,,4000,3800,3800,4500
Sunflower,retail,,,,,,1200,,,,,1100,,,,,,,4000
"",wholesale,,,,,,1000,,,,,1000,,,,,,,3500
Matooke,retail,12000,11000,20000,15000,20000 12000,13000,2400,27000,20000,15000,20000,18500,33000,,11000,17000,17000,12000
"",wholesale,10000,8000,15000,12000,10000 10000,10000,2300,23500,18500,13000,17000,13500,28000,,10000,15000,14000,10000
Matooke (kg),retail,1000,500,2100,375,1500 550,350,1000,700,400,1000,1000,1200,900,,450,,425,1500
"",wholesale,600,450,1900,150,1000 450,280,900,600,370,1000,950,1000,850,,350,,350,1200
"",,,,,,,,,,,,,,,,,,,Organic
commodity,,Kalerwe,Kiboga,Luwero,Masaka,NakaseroNakawa,Owino,Busia,Iganga,Jinja,Mbale,Soroti,Gulu,Lira,,Arua,Kabale,Kisoro,Mbarara prices
Exotic Chicken,retail,8500,9000,15000,1000,10000,8000,10000,8000,7300,9000,9000,12500,13500,11000,9000,10000,,7500,
"",wholesale,7000,8500,8000,6000,7000,7000,7000,7500,6800,8000,800,10000,8000,10000,,9000,,7000,15000
Exotic Eggs,retail,8000,7500,,5500,7500,7500,6500,7500,6700,9000,6700,7000,7500,7500,9000,7000,7000,7000,
"",wholesale,7000,6500,,4200,6500,6500,6000,6300,6200,8000,6500,6900,6500,6500,7000,6500,6500,6500,
Local Chicken,retail,20000,12000,25000,15000,20000,,15000,14000,16000,17000,10000,15000,17800,16000,13000,15000,19000,13000,
"",wholesale,15000,9000,18000,10000,13000,13000,13000,1300,12000,16000,8000,12500,13500,15000,10000,14500,18000,12500,
Local Eggs,retail,15000,12000,7000,9300,15000,12000,13000,9000,8800,12000,,12000,,10500,12000,15000,9000,12000,
"",wholesale,10000,9000,6000,8600,13000,9000,11000,7500,7200,11000,,11500,,8000,,14500,7500,11000,
Turkey,retail,,,63500,45000,50000,45000,34000,9000,41000,43000,,50000,,,,,,,
"",wholesale,,,58500,35000,30000,40000,25000,9000,36000,40000,,47500,,,,,,,
Agwede Beans,retail,,,,1200,,1400,1400,,2000,2000,,,2000,2000,,1800,,2000,
"",wholesale,,,,1100,,1200,1300,,1600,1800,,,1700,1800,,1600,,1800,2000
Cow Peas,retail,4000,2400,3400,1300,3500,2000,3500,,2600,1800,3000,1800,1000,,2500,,2000,3100,
"",wholesale,3500,2000,2600,1000,3000,1600,2800,,2350,1600,2500,1600,800,,1800,,1900,3000,
Nambale Beans,retail,1300,1700,3200,1400,2500,1800,1400,1400,2000,,1500,1800,3300,1700,2000,2000,,2000,
"",wholesale,1000,1300,2800,1200,1600,1400,1200,1250,1800,,1400,1500,2500,1500,1800,1800,,1800,
Soya Beans,retail,2000,1600,2800,2100,3000,1600,2000,2000,2000,1800,2500,2400,,2500,2500,,2400,2300,
"",wholesale,1600,1300,2650,1800,2500,1400,1700,1900,1650,1700,2000,2100,,2200,2000,,2200,2100,
Yellow Beans,retail,1300,1700,3100,1100,2500,2000,1700,1600,2400,2000,1800,1800,3500,1800,2000,,1200,2200,
"",wholesale,1000,1300,2750,900,2000,1600,1500,1485,2100,1800,1500,1600,3000,1500,1800,,1100,2100,
Cassava Flour,retail,1000,950,1200,1300,1500,1000,800,800,1000,600,1000,800,2000,1000,850,1500,1200,1200,
"",wholesale,800,650,1000,800,1000,700,700,600,750,500,800,600,1500,800,800,1200,1000,1100,
Dry Fermented Cassava,retail,,,1100,,,,550,,400,150,,400,2500,,700,,,,
"",wholesale,,,900,,,,500,,370,130,,360,2000,,600,,,,
Fresh Cassava,retail,500,400,1600,1000,1000,500,550,700,1200,500,270,500,800,800,600,2000,500,2000,
"",wholesale,300,300,1400,500,500,400,500,600,900,400,260,460,600,700,500,1500,400,2000,
Irish Potatoes,retail,1500,900,2600,2500,1500,600,550,1000,900,1200,600,1000,1500,1500,1200,700,666,2000,
"",wholesale,900,750,2200,1500,1000,500,450,800,780,1100,500,950,1300,1400,1000,650,625,2000,
Orange Fleshed S.Potato,retail,,,,1200,,,600,900,,,,,1200,850,,,250,2000,
"",wholesale,,,,600,,,500,800,,,,,1000,700,,,230,2000,
Sun Dried Cassava,retail,,400,1600,,,1000,550,800,450,500,600,450,1800,500,700,,,900,
"",wholesale,,350,1200,,,700,500,7200,400,400,500,430,1200,450,600,,,850,1500
White fleshed s.Potato,retail,1000,600,2000,1000,1500,1000,500,700,1500,270,,,1000,2300,1000,2000,240,2000,
"",wholesale,500,500,1800,500,1000,500,450,600,1200,250,,,800,2000,900,1800,220,2000,
Coffee (Arabica),retail,,2000,,,,,,,2950,800,8000,,,,,,4500,,
"",wholesale,,1750,,,,,,,2720,700,7500,,,,,,4000,,
Coffee (Robusta),retail,,,,,,,,1200,,,,,,,,,,,
"",wholesale,,,,,,,,1000,,,,,,,,,,,
Unprocessed Cotton,retail,,,,2800,,,,,,2200,,,,,,,,,
"",wholesale,,,,2400,,,,,,1900,,,,,,,,,
Unprocessed Tea,retail,5000,,,,6000,,,,,,,,,,,,,,
"",wholesale,4000,,,,4000,,,,,,,,,,,,,,
Unprocessed Vanilla,retail,,,,,,,3500,,,,,,,,,,,,1500
"",wholesale,,,,,,,3000,,,,,,,,,,,,
