Commodity,,,Kalerwe Kiboga,Luwero Masaka NakaseroNakawaOwino,Iganga Jinja,Kapchorwa Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Matooke (Bunch),Bunch,Retail,6500 6000,13000 8000 12000 8000 7500,13000 8000,8000 8000,10000,13000,14800,9000,8000,8000,11000,9000,4500
"",,Wholesale,6000 4000,10000 6000 11000 7000 6500,10000 7000,6000 7000,9000,12000,13500,7000,,6500,10000,5000,4000
Milk,Ltrs,Retail,800 800,700 800 800 900 800,1000 800,400 800,800,1000,1000,1200,700,600,750,800,600
"",,Wholesale,700 700,500 700 700 800 700,800 700,350 650,700,1000,800,1000,600,500,700,600,450
Millet Flour,Kg,Retail,1200 1500,1600 1500 2000 2000 2000,1600 1500,1800 1700,1450,1800,1400,,,1600,1400,1600,1800
"",,Wholesale,900 1400,1500 1300 1800 1600 1700,1300 1350,1700 1500,1350,1700,1200,,,1200,1300,1400,1500
Millet Grain,Kg,Retail,1200 800,1000 1400 1500 1100 1150,1100 1100,1300 1100,1000,1400,1200,1400,1200,1300,1100,1250,1200
"",,Wholesale,900 750,800 1200 1400 1000 1050,950 1000,1200 1000,950,1300,1000,1100,1000,1050,1000,850,900
Pineapple,whole,Retail,1500 800,1200 800 1700 1000 1200,1600 1500,1500,1450,1800,2300,2500,,500,1400,2000,1200
"",,Wholesale,1200 500,1000 600 1200 700 800,1000 1200,1000,1300,1700,1800,1800,,350,1200,1200,1000
Pork,Kg,Retail,4500 5000,5000 4500 5000 5000,6000,4000 4500,4000,5000,4500,4500,5000,4500,5800,4000,4500
"",,Wholesale,4000 4500,4500 3500 3500 4100,5000,3600 4000,3800,5000,4300,4000,,3800,4500,3000,4000
Rice (Kayiso),Kg,Retail,2200 2800,2400 2400 2200 2400,1800 2000,2200 1600,2200,,2300,2400,,2600,,2500,2500
"",,Wholesale,2000 2500,2300 2000 2000 2200,1600 1650,2100 1500,2100,,2200,2200,,2200,,2400,2300
Rice (Super),Kg,Retail,2500 2500,2400 2300 2500 2500 2600,2300 2500,2400 2300,2400,2500,2600,2700,2800,2600,2400,2600,2500
"",,Wholesale,2400 2300,2250 1800 2200 2300 2400,2100 2200,2300 2100,2200,2000,2480,2500,,,2300,2500,2400
Rice (Upland),Kg,Retail,2000 2200,2100 2300 2500 2200 2300,1900 2000,,,2400,2400,2200,2200,2500,,2300,2000
"",,Wholesale,1900 2000,1900 1800 2300 2000 2100,1700 1800,,,2200,2280,2000,1800,1850,,2100,1800
Simsim,Kg,Retail,3000,2700 3000 4000 3000 2500,2300 2000,2500 2500,2400,2500,2400,3000,,,,3000,4000
"",,Wholesale,2800,2500 2700 3500 2500 2000,2050 1800,2400 2350,2300,,2200,2500,,,,2500,3800
Sorghum Flour,Kg,Retail,1000 1000,1400 1800 1200 1000,1000 1000,900 750,1000,1600,1200,1000,1800,1600,1400,,1200
"",,Wholesale,700 900,1300 1500 900 800,900 900,700 700,800,1500,1000,800,,1400,1300,,1000
Sorghum Grain,Kg,Retail,700 900,1200 1600 1000 620,800 800,480,650,1100,900,800,1200,1300,1100,800,1000
"",,Wholesale,500 800,1000 1400 700 600,700 700,450,550,1000,780,600,1000,1100,1000,500,800
Soya Beans,Kg,Retail,2000 1400,1800 1400 1700 1600 1400,1300 1500,1800 1300,1400,1500,1550,1400,,1700,,1500,1500
"",,Wholesale,1800 1200,1500 1300 1500 1300 1100,1200 1200,1700 1200,1200,,1400,1200,,1450,,1300,1400
Sunflower,Kg,Retail,,400,,,450,,,,,,,,
"",,Wholesale,,350,,,400,,,,,,,,
Sweet Potatoes,Kg,Retail,607 150,1000 1000 400 600 550,1000 260,300 145,450,600,900,1500,600,200,1000,650,
"",,Wholesale,470 100,800 600 350 500 480,800 220,200 143,400,650,750,1000,500,170,900,450,
Turkey,bird,Retail,,28000 45000 35000 34000,33000 40000,25000,34000,,,,,,,27000,37000
"",,Wholesale,,25000 30000 30000 28000,30000 37000,20000,33000,,,,,,,24000,35000
Vanilla (Unprocessed),Kg,Retail,,2700,,,,,,,,,,3000,3000
"",,Wholesale,,2300,,,,,,,,,,2500,2000
