Commodity,Units,Values,Average Arua,Busia,Gulu,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Masaka Mbale,Mbarara NakaseroNakawa Soroti
"",,W.P,2706 3150,2683,2467,2625,2700,3117,2550 2767,2750,2500,2275 2450,3250 2825 2700 2483
Irish Potatoes,Kg,R.P,1058 1020,582,1210,762,767,657,940 2288,610,1250,1555 750,1500 1005 1107 917
"",,W.P,836 880,465,963,625,575,552,600 1980,563,1030,960 525,1310 660 987 693
Kayiso Rice,Kg,R.P,2114 1600,2250,2183,2200,2183,1733,2250 1367,2650,1600,2333 2150,2550 2275 2100 2400
"",,W.P,1811 1400,1950,1867,1833,1933,1400,1925 1175,2250,1200,2100 1850,2200 1925 1800 2170
Local Chicken,bird,R.P,14652 18000,17000,15417,16100,14583,12167,13375 15917,15250,15750,15250 12500,13000 14375 14000 11742
"",,W.P,12884 13250,14000,11800,14025,13600,10000,12000 16000,18000,14000,13333 10500,11375 11667 12000 10588
Local Eggs,tray,R.P,12702 12000,14000,14000,10700,12833,14000,14500 11250,11250,12750,10200 13500,13500 13750 13000 12000
"",,W.P,9515 8000,8833,9333,7900,10000,11583,10000 8833,8500,9500,9300 10250,11000 10500 8667 10033
Maize Flour,Kg,R.P,1419 1850,1260,1400,1600,1033,1867,1475 1117,1550,1125,1700 1000,1350 1550 1367 1467
"",,W.P,1134 1350,1020,1067,1325,842,1683,1025 917,1325,905,1363 775,1100 1188 1033 1225
Maize Grain,Kg,R.P,731 800,825,700,850,567,633,700 592,900,600,630 615,1063 600 800 817
"",,W.P,589 650,633,450,700,472,500,475 533,800,463,508 500,913 467 667 700
Matooke,bunch,R.P,15439 15000,28000,20000,22833,17333,16000,12500 9000,250,18000,18000 15000,15000 15500 12000 12600
"",,W.P,13104 13000,26167,14833,20667,16333,13000,10250 7333,200,17000,14000 13000,12000 10500 10000 11383
Matooke (kg),Kg,R.P,857 745,1097,1365,687,545,630,836 1323,398,850,545 900,1500 731 567 987
"",,W.P,677 575,900,867,578,421,467,538 1242,325,675,386 750,1250 488 473 891
Milk,Litre,R.P,1069 1000,1100,1200,1117,1000,900,1100 1300,900,1000,1050 1100,950 1100 1000 1283
"",,W.P,909 900,833,1017,967,867,783,925 1117,800,875,750 900,850 875 900 1183
Millet Flour,Kg,R.P,1963 2100,2000,2000,1817,1783,1900,2100 1700,1850,1900,2125 2000,2100 2175 2000 1850
"",,W.P,1629 1700,1667,1667,1467,1600,1633,1700 1483,1600,1650,1675 1800,1900 1750 1200 1567
Millet Grain,Kg,R.P,1409 1250,1108,1517,1125,2983,1267,1600 958,1400,1300,1267 1450,1725 1333 1200 1060
"",,W.P,1228 1100,928,1275,975,2692,1117,1400 833,1250,1150,1050 1250,1600 1133 1000 900
Nambale Beans,Kg,R.P,1802 1650,1817,1967,1650,1800,1767,1950 1750,1600,1825,1650 1850,1950 2025 1867 1717
"",,W.P,1535 1300,1443,1700,1383,1608,1583,1675 1617,1300,1613,1425 1700,1800 1550 1400 1467
Commodity,Units,Values,Average Arua,Busia,Gulu,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Masaka Mbale,Mbarara NakaseroNakawa Soroti
Nile Perch,Kg,R.P,7781 7000,6667,8833,7917,7083,7333,8125 7250,7500,6250,10667 7500,8625 8875 7667 7200
"",,W.P,6472,6000,6092,6750,6750,6250,6000,7000,6583,6000,5500,6500,6250,7875,7000,6500,6500
Orange Fleshed Sweet Potatoes,Kg,R.P,1103,,400,1700,400,270,,,1000,,850,1200,,,3000,,
"",,W.P,839,,300,1500,300,260,,,1000,,750,600,,,2000,,
Pineapple,whole,R.P,2220,2500,1960,3125,2133,2075,1600,1833,1700,1800,3200,2100,2250,2600,1667,2333,2650
"",,W.P,1835,2200,1680,2275,1717,1825,1360,1433,1380,1500,2700,1750,1750,2250,1233,1967,2342
Pork,Kg,R.P,5766,6500,5429,6000,5000,5000,6300,5500,5500,6000,5000,5667,5500,7500,6000,5667,5700
"",,W.P,4778,3500,4600,5367,3500,4257,5320,4775,4933,5000,4700,4500,4800,7300,5033,4167,4700
Processed Honey,Kg,R.P,8900,6850,9200,11500,8250,6500,9200,8000,6600,8000,,13000,,14000,8000,8000,7500
"",,W.P,7686,6000,8100,8500,7350,5500,7900,7000,5500,7000,,11500,,12750,6500,7000,7000
Simsim,Kg,R.P,3411,2900,3467,3133,3750,3150,3500,3625,3125,3000,3150,3450,3500,4450,3875,3167,3333
"",,W.P,2936,2500,2942,2650,3300,2850,2867,3125,2750,2500,2825,2938,3000,4000,3075,2667,2992
Sorghum Flour,Kg,R.P,1359,1000,1267,1800,1125,1167,1233,1500,1633,1100,1800,1000,1500,1900,1267,1333,1120
"",,W.P,1088,750,933,1367,825,933,967,1225,1467,900,1400,950,1200,1650,933,967,933
Sorghum Grain,Kg,R.P,1066,800,1042,1012,825,1017,933,1350,1283,950,1200,800,1300,1675,1067,1033,770
"",,W.P,818,550,850,767,575,800,717,1025,1042,750,968,500,1050,1425,733,733,600
Soya Beans,Kg,R.P,1787,1750,1767,1350,1717,1650,1533,2025,2267,1950,1550,1825,1800,2050,2050,1533,1767
"",,W.P,1458,1250,1365,1050,1400,1417,1200,1600,2000,1700,1275,1550,1350,1800,1625,1267,1483
Sun Dried Cassava,Kg,R.P,803,850,800,1275,600,350,800,800,470,800,600,800,650,1100,1150,1033,770
"",,W.P,536,525,650,800,415,251,400,400,298,400,525,450,600,1050,650,567,600
Sunflower,Kg,R.P,2335,,,,2000,,,,,,1350,2800,,4000,,,1525
"",,W.P,2025,,,,1500,,,,,,1250,2500,,3500,,,1375
Super Rice,Kg,R.P,2428,2700,2500,2550,2383,2467,2400,2500,1650,2750,2500,2050,2600,2500,2500,2333,2467
"",,W.P,2126,2250,2208,2167,2133,2200,2183,2125,1433,2350,2200,1750,2250,2300,2163,2050,2250
Tilapia,whole,R.P,7216,7250,14667,8667,6833,5500,4333,4125,5667,7000,6750,10875,7750,8250,7625,4500,5667
"",,W.P,5842,4000,12667,6417,5933,4833,3833,3625,5167,6250,6000,6125,6500,7250,5875,4000,5000
Turkey,bird,R.P,41991,42000,22800,42000,43833,43750,42000,42000,42000,42000,,45500,,,47333,43000,47667
"",,W.P,35577,35000,20000,35000,37833,40500,35000,35000,35000,35000,,37000,,,36667,36667,43833
Unprocessed Cotton,Kg,R.P,,,,,,,,,,,,,,,,,
"",,W.P,,,,,,,,,,,,,,,,,
Unprocessed Honey,Kg,R.P,6287,6500,6500,6500,6100,5375,6500,6500,6500,6500,,5750,,,6500,6500,6000
"",,W.P,5753,6000,6000,6000,5500,4500,6000,6000,6000,6000,,5250,,,6000,6000,5533
Unprocessed Tea,Kg,R.P,5056,,5000,5000,,5000,5000,5000,5000,,5000,,,5000,5500,,
"",,W.P,4000,,4000,4000,,4000,4000,4000,4000,,4000,4000,,4000,4000,,4000
Unprocessed Vanilla,Kg,R.P,3500,,,,,,,,,,,3500,,,,,
"",,W.P,3000,,,,,,,,,,,3000,,,,,
Upland Rice,Kg,R.P,2194,2300,2233,2300,2200,2333,2283,2350,1933,2350,2400,2100,1600,2450,2375,2133,1767
"",,W.P,1904,1950,1933,2000,1883,2100,2067,2025,1742,2100,2100,1717,1200,2225,2025,1867,1533
White fleshed Sweet Potatoes,Kg,R.P,1312,1600,900,1733,2000,390,2000,,1000,266,850,1000,550,2000,3000,,1075
"",,W.P,1040,1200,800,1367,1500,285,1800,,1000,250,750,500,400,1750,2000,,963
Yellow Beans,Kg,R.P,2171,1900,1967,2183,1900,2033,2067,2150,2033,1650,1900,1575,4850,2200,2350,2067,1917
"",,W.P,1872,1500,1675,1817,1700,1833,1733,1900,1617,1500,1725,1250,4500,2000,1850,1633,1717
