"",,Wholesale,1600,2000,1500 1700,1600,1550,1500,1590,1800,1500,1500,2300 1300,2200,1500,1800,2300,2000,1735.6,
Rice (Upland),Kg,Retail,2000,1600,2000 2600,1600,1600,1300,1750,1600,,1800,1800 1400,1800,1500,,2100,2800,1828.1,
"",,Wholesale,1600,1500,1800 1950,1400,1450,1200,1620,1500,,1400,1500,1600,1200,,1800,2500,1601.3,
Simsim,Kg,Retail,3500,,3000 3200,3000,4000,,2750,2700,3000,2400,3000 3200,4000,,,2700,3500,3139.3,
"",,Wholesale,3000,,2600 2900,2500,3300,,2600,2500,2800,2000,2500 2800,3000,,,2300,3200,2714.3,
Sorghum Flour,Kg,Retail,1800,800,,1000,600,,,850 700,600,1000,1500,1500,,1400 1500,,1000,1096.2,
"",,Wholesale,1400,700,,700,550,,,550 600,450,800,1300,1000,,1300 1400,,850,892,
Sorghum Grain,Kg,Retail,1600,750,,800,350,400,,600 600,270,600,300 300,,,1100 1000,800,,676,
"",,Wholesale,1200,650,,500,300,360,,400 500,250,350,200 260,,,1000 900,700,,541,
Fish,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,7000,,6500,7500,8000,,5500,7000,5000,5000,4500 5000,,,12000,,,6636.4,
"",,Wholesale,6000,,5500,6000,6500,,4500,6500,4500,,4000 4500,,,8000,,,5600,
"Fish, Tilapia",whole,Retail,5000,6500,7000 5500,4500,6000,4000,7000,8000,5500,,7000 8200,4500,4500,6000 14000,5000,6500,6372.2,
"",,Wholesale,4500,5500,5000 2500,4000,5000,3800,5600,7000,4700,,5500 7300,3500,3000,5500 11000,4000,6000,5188.9,
Fruits,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1500,600,400 1100,1000,1300,1200,1300,170,900,1000,1300 3000,700,3000,900 1000,450,1700,1185.3,
"",,Wholesale,1000,550,300 600,700,1200,1000,,800 150,800,800,800 2600,400,2500,800 800,320,1500,927,2000
Cavendish (Bogoya),Kg,Retail,3000,800,2200 1000,1000,1700,1600,3000,800,1000,900,1600 3000,1500,800,1600 3000,500,2500,1657.9,
"",,Wholesale,2500,700,1800 600,800,1600,1400,2500,750,800,750,1200 2400,1000,500,1500 2500,400,2000,1352.6,
Matooke,Kg,Retail,800,225,2000 375,590,320,800,,400 280,1000,350,1000 1000,1200,1000,500,450,900,733,
"",,Wholesale,500,200,2000 150,450,280,700,,350 240,850,300,800 800,800,800,480,320,800,601.11,
Matooke (Bunch),Bunch,Retail,10000,9000,9000 8500,13000,11000,14000,15600,14000,21000,12500,17000 9500,4000,6500,14000 16000,8000,7500,11584,
"",,Wholesale,8500,8000,7000 6000,10000,9000,12500,12700,12000,18000,10000,12000 8000,3000,5000,13000 11000,6300,7000,9421.1,
Pineapple,whole,Retail,,800,1500 1600,2500,1000,1400,2200,1800,2500,3300,3200,1000,1000,2000 600,2000,1100,1735.3,
"",,Wholesale,,700,1000 600,2200,800,1200,1800,1600,2300,,2800,800,500,1800 500,1600,900,1318.8,2500
"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,,WESTERN,,,,
CommodityName,Unit,,KAL,KIB,LUW MSK,NAK,OWI,BUS,IGA,JJA,SOR,ARU,GUL LRA,FTP,HOI,KAS KLE,KSR,MBR,Avg,Organic prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3000,2500,2000 2200,3000,2700,2600,2580,2700,2500,3000,2800 2800,2500,2600,2500 2800,2800,2800,2651.6,
"",,Wholesale,2500,2400,2000,2700,2300,2400,2480,2500,2100,2800,2500 2400,2200,2200,2400 2700,2100,2600,2404.4,
Soya Beans,Kg,Retail,1600,1400,2500 2200,1500,1300,1200,1200,1500,1200,1500,1200,1500,2200,,1600,2300,1618.8,
"",,Wholesale,1200,1300,2000 2000,1200,1150,1100,1100,1400,950,,1000,1000,1500,,1300,2000,1346.7,
Poultry Products,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,6000,,12000 7500,7000,8000,6500,5600,8500,7500,8000,8000 10000,10000,7000,8500 10000,9700,10000,8322.2,
"",,Wholesale,5500,,10000 5500,6000,6000,6000,5000,7500,6000,,6500 8000,8000,6000,8400 9000,7900,9000,7076.5,
"Chicken, Local",bird,Retail,12000,12000,18000 10500,,15000,8000,12000,14000,11000,13500,12000 14000,14000,11000,17000 15000,11000,14500,13028,
"",,Wholesale,10000,10000,15000 8500,11500,13000,7500,9000,13000,8000,11000,10000 12000,12000,10000,16000 13000,9000,13000,11132,15000
"Eggs, Exotic",tray,Retail,6000,6500,6500 5500,6000,5500,7500,6700,7500,6500,9000,8000 7500,6000,7000,6500,6500,9000,6872.2,
"",,Wholesale,5500,6300,4200,5000,5000,6300,6300,6500,6400,7000,6500 6500,5500,6000,6000,5800,8000,6047.1,
"Eggs, Local",tray,Retail,15000,9000,9000 10100,12000,13000,9000,8800,12000,9000,15000,10500,9000,8500,9000 10500,12000,8000,10522,
"",,Wholesale,10000,7500,9500,8000,10000,7500,7000,11000,8500,,8000,7000,7000,8800 9000,9000,7500,8456.3,
Turkey,bird,Retail,,,,42000,35000,8000,32000,43000,3400,,,,,,30000,,27629,
"",,Wholesale,,,,35000,25000,8000,30000,41000,32000,,,,,,26000,,28143,
Pulses,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3000,2700,3000 1400,2200,4000,,1800,2400,1500,2500,,2500,3000,2400,2200,1800,2426.7,
"",,Wholesale,2700,2500,2750 1200,1800,3000,,1680,2200,1300,1600,,2200,2500,2300,2000,1600,2088.7,
"Dried Beans, Agwede",Kg,Retail,,,1200,1200,1300,,1450,1200,,,1000 1000,,,1300,,,1206.3,
"",,Wholesale,,,1100,1000,1200,,1220,1100,,,850 800,,,1200,,,1058.8,
"Dried Beans, Nambale",Kg,Retail,2000,,2000 1200,1800,1500,1300,1600,1400,1500,1500,1800 1300,2000,1600,2000 1500,,1470,1615.9,
"",,Wholesale,1800,,1700 1000,1300,1300,1140,1400,1200,1300,1400,1400 1150,1800,1400,1800 1400,,1300,1399.4,
"Dried Beans, Yellow",Kg,Retail,2200,1400,2000 1050,2000,1800,1800,1800,1700,1800,1700,1800 1400,2500,1600,2400,1400,1800,1786.1,
"",,Wholesale,2000,1300,1800 850,1600,1600,1650,1650,1600,1550,1550,1400 1200,2200,1400,2200,1100,1700,1575,
Root Crops,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,350,,,260 160,300,300,1500,,,460,,1000,541,
"",,Wholesale,,,,,300,,,220 140,250,250,1000,,,450,,800,426,
"Cassava, Flour",Kg,Retail,700,1000,600 1200,800,600,700,,400 700,650,500,2000 900,800,1200,650 1000,900,1000,858,
"",,Wholesale,500,800,700,400,420,600,,320 600,400,380,1600 700,500,800,620 900,550,800,644,
"Cassava, Fresh",Kg,Retail,500,550,250 1000,350,400,700,,800 160,250,300,700 320,1000,1000,900 1500,300,800,620,
"",,Wholesale,300,450,500,250,350,600,,600 140,200,200,500 270,500,800,800 1000,200,600,459,
"Cassava, Sun dried",Kg,Retail,,,,800,350,300,,270 150,300,300,1500 400,,500,440,400,1400,547,
"",,Wholesale,,,,400,300,263,,220 130,230,250,1000 300,,400,420,350,1250,424,
Irish Potatoes,Kg,Retail,1000,541,800 1400,640,850,700,,800 900,1100,1600,1500 1200,2000,2000,700 600,800,1600,1091.1,
"",,Wholesale,700,500,800,560,750,600,,670 800,800,1300,1000 1000,1500,1000,650 570,600,1500,850,1500
Sweet Potatoes,Kg,Retail,500,208,2000 1000,400,400,,1000,240,250,500,600 350,700,1000,1000 2000,500,1430,782,
"",,Wholesale,300,183,1500 600,300,350,,,700 220,200,450,400 250,500,500,900 1500,400,1180,580,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,1200,,3500,,,,4800,,3300,2716.7,
"",,Wholesale,,1900,800,,,,,1100,,,,,,4500,,3000,2260,
Cotton (Unprocessed),Kg,Retail,,,2800,,,,,,,,,,,,,,2800,
"",,Wholesale,,,2400,,,,,,,,,,,,,,2400,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,2000,,,,3500,
"",,Wholesale,4000,,,,,,,,,,,,1500,,,,2750,
Vanilla (Unprocessed),Kg,Retail,,,,,3500,,,,,,,,,,,3200,3350,
"",,Wholesale,,,,,3000,,,,,,,,,,,3000,3000,
