"",CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,
"",,Wholesale,"1,500","1,500","2,000","1,000","2,000","1,450","2,000","1,300",800,"1,400","1,800",,"2,000","1,000","1,800"
"Dried Beans, Agwede",Kg,Retail,,,,"1,000",800,"1,300",950,,"1,200","1,200",750,,,"1,400",
"",,Wholesale,,,,900,750,"1,200",870,,"1,100",,700,,,"1,300",
"Dried Beans, Nambale",Kg,Retail,"1,500","1,300","1,000","1,400","1,100","1,250","1,200","1,000","1,400","1,200",850,,"1,100","1,100","1,500"
"",,Wholesale,"1,300","1,100",900,"1,000",950,"1,150","1,000",800,"1,250","1,100",800,800,"1,000","1,000","1,000"
"Dried Beans, Others",Kg,Retail,"1,500","1,300","1,300","1,400","1,100","1,300","1,100","1,000","1,100","1,100",700,900,"1,100","1,100","1,500"
"",,Wholesale,"1,300","1,100","1,100","1,000","1,050","1,200","1,000",750,900,"1,000",700,800,"1,000","1,000","1,200"
"Dried Beans, Yellow",Kg,Retail,"1,600","1,300","1,300","1,500","1,300","1,350","1,200","1,400","1,500","1,200","1,100","1,100","1,300","1,000","1,500"
"",,Wholesale,"1,400","1,100","1,100","1,250","1,200","1,150","1,100","1,200","1,350","1,100","1,000",,"1,200",900,"1,200"
"Eggs, Exotic",tray,Retail,"5,000","6,000","6,500","6,000","4,700","6,200","5,200","7,500","5,600","7,500","7,000","6,000","6,000","6,000","5,000"
"",,Wholesale,"4,300","4,500","6,000","5,500","4,400","5,000","4,800","5,600","5,400","5,800","7,000","5,000","5,500","5,500","5,000"
"Eggs, Local",tray,Retail,"10,000","7,000","8,500","9,000","10,000","7,200","6,500","10,500","7,000","7,500","9,000","9,000","7,500","9,000","8,000"
"",,Wholesale,"7,000","6,000","7,000","7,000","9,000","6,000","6,000","9,000","6,800",,"8,500","7,500","7,000","7,500","8,000"
Fish ‐ Nile Perch,Kg,Retail,"5,500",,"5,500","6,000","6,000","5,000","6,000","2,500","5,000","4,500","4,000",,,,"10,000"
"",,Wholesale,"4,500",,"4,700","5,000","4,500","4,000","5,000","2,300","4,500","4,500","4,000",,,,"8,000"
Fish ‐ Tilapia,whole,Retail,"4,000","4,500","4,500","5,000",,"5,500","7,000","5,000","4,800","5,500","6,000","7,000","3,000","6,000",
"",,Wholesale,"3,500","4,000","4,000","4,500",,"4,200","6,000","4,700","4,500","4,000","5,500",,"3,000","3,500",
Goat Meat,Kg,Retail,"6,000","6,000","4,600","6,000","6,000","5,500","6,000","5,500","5,000","5,000","6,300","5,000","5,400","6,000","6,000"
"",,Wholesale,"5,000","5,000","3,600","5,200","4,500","5,000","5,000","5,500","4,800","5,000","6,000",,"5,400","5,000","5,500"
"Groundnuts, unpounded",Kg,Retail,"2,500","1,800","2,300","2,500","2,300","2,000","2,400","1,900","1,800","2,000","1,800","1,850","2,400","2,500","3,200"
"",,Wholesale,"2,300","1,700","2,100","2,100","1,900","1,700","2,100","1,500","1,650","1,700","1,500","1,650","2,300","2,300","3,000"
Honey (Processed),Kg,Retail,"8,000","8,000",,"7,000","7,500","6,500","10,000","9,000","6,000","4,500","4,000",,,,
"",,Wholesale,"7,500","6,000",,"6,000","6,500","5,900","9,000","7,000","5,800","4,000","3,800",,,,
Honey (Unprocessed),Kg,Retail,"7,500",,"7,000",,,"2,650","9,000","3,600","2,600",,"4,500",,,,
"",CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,,
CommodityUnit,Kalerwe,Masaka,Kiboga,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Arua,Lira,Hoima,Kasese,Kisoro,Mbarara,Avg,,
Irish PotatoesKg,Retail,600,"1,000",700,520,420,600,800,400,800,"1,200","1,500",500,240,375,"1,000",710,
"",,Wholesale,450,550,500,440,370,520,700,350,700,"1,000","1,400",425,200,330,800,582
Maize Flour,Kg,Retail,"1,300","1,400","1,400","1,300","1,200","1,200","1,200","1,200","1,200","1,500","1,500","1,200","1,000","1,300","1,400","1,287"
"",,Wholesale,"1,100","1,200","1,200","1,100","1,100","1,000","1,100","1,000","1,000","1,400","1,200",700,900,"1,000","1,200","1,080"
Maize Grain,Kg,Retail,"1,000","1,000",600,950,550,600,650,600,500,700,600,500,,600,500,668
"",,Wholesale,850,600,450,750,540,520,570,500,450,500,550,450,,500,400,545
Matooke,Kg,Retail,400,187,600,450,350,550,340,400,350,500,,250,280,375,"1,000",431
"",,Wholesale,360,150,450,410,300,400,320,300,300,450,,,230,300,800,367
Matooke (Bunch),Bunch,Retail,"8,000","7,500","8,500","10,000","10,000","17,000","17,000","8,000","11,000","7,300","16,000","8,000","8,000","15,000",,"10,807"
"",,Wholesale,"7,000","6,000","6,500","9,000","7,500","15,000","16,000","7,000","10,000","7,000","12,000",,"7,000","12,000",,"9,385"
Milk (One Litre),Ltrs,Retail,800,800,700,900,700,500,700,800,800,"1,000",800,800,700,700,500,747
"",,Wholesale,700,400,500,800,600,400,600,600,700,800,750,500,700,500,400,597
Millet Flour,Kg,Retail,"1,600","1,900","1,600","1,900","1,800","1,500","1,200","1,500","1,400","1,500","1,000","2,000","1,300","1,500","1,800","1,567"
"",,Wholesale,"1,400","1,400","1,400","1,400","1,300","1,300",900,"1,200","1,300","1,400","1,000",,"1,200","1,400","1,300","1,279"
Millet Grain,Kg,Retail,"2,000","1,400","1,300",950,900,"1,100","1,000","1,200",850,900,600,900,"1,100","1,400",,"1,114"
"",,Wholesale,"1,400","1,200",900,750,850,950,950,900,750,650,550,,"1,100","1,300",,942
Rice (Kayiso),Kg,Retail,"1,700","2,400","2,000","1,800","1,600","1,800","1,700","1,700","1,700","2,000","2,500",,"1,800","2,800","3,000","2,036"
"",,Wholesale,"1,600","2,000","1,800","1,600","1,500","1,600","1,600","1,400","1,600","1,600","2,300",,"1,800","2,500","2,500","1,814"
Rice (Super),Kg,Retail,"2,000","1,800","2,300","2,200","2,200","2,000","2,000","2,200","1,800","2,200","2,500","2,200","2,200","2,000","3,000","2,173"
"",,Wholesale,"1,900","1,600","2,000","1,900","1,800","1,800","1,850","2,000","1,700","1,900","2,300",,"2,100","1,800","2,800","1,961"
Simsim,Kg,Retail,"3,000",,,"3,000","2,200","2,000","1,700","3,000","2,300","1,800","2,200",,"2,000",,"2,000","2,291"
"",,Wholesale,"2,800",,,"2,400","1,700","1,800","1,600","2,700","2,100","1,500","2,000",,"2,000",,"1,800","2,036"
Sorghum Flour,Kg,Retail,"1,200",,"3,500","1,000","1,000","1,000",800,700,600,"1,500","1,000",,"1,300","1,000","1,300","1,223"
"",,Wholesale,900,,"3,000",700,800,900,700,600,500,"1,400","1,000",,"1,200",900,"1,200","1,062"
Sorghum Grain,Kg,Retail,"1,200",,700,800,600,800,700,600,500,800,600,,"1,100","1,000","1,000",800
"",,Wholesale,900,,500,500,550,650,600,400,400,600,650,,"1,100",900,700,650
Soya Beans,Kg,Retail,"2,500","1,500","1,500","1,400","1,100","1,100","1,000","1,700","1,400","1,500","1,200","1,400","2,000","1,600","1,200","1,473"
"",,Wholesale,"2,300","1,400","1,000","1,000",900,900,850,"1,400","1,250","1,300","1,000","1,000","2,000","1,400","1,000","1,247"
Sunflower,Kg,Retail,,,"2,100",,400,800,,,400,,450,,,,,830
"",,Wholesale,,,"1,900",,350,700,,,350,,400,,,,,740
Sweet Potatoes,Kg,Retail,500,"1,000",500,300,430,550,140,500,200,500,700,,330,150,"1,500",521
"",,Wholesale,290,700,350,250,400,450,120,300,150,350,600,,300,100,"1,000",383
Tea (Unprocessed),Kg,Retail,,,,,400,,,,,,,,,,,400
"",,Wholesale,,,,,350,,,,,,,,,,,350
Turkey (Bird),bird,Retail,,,"25,000","45,000","50,000","28,000","35,000","35,000","42,000",,"27,000",,,,"50,000","37,444"
"",,Wholesale,,,"20,500","40,000","40,000","25,000","30,000","25,000","38,000",,"25,000",,,,"50,000","32,611"
Upland Rice,Kg,Retail,"1,600","2,000","1,800",,"1,600","1,800","1,600",,,"2,000","2,100","1,600","2,000","1,800","2,000","1,825"
"",,Wholesale,"1,500","1,800","1,600",,"1,450","1,600","1,500",,,"1,600","2,000",,"2,000","1,700","1,800","1,686"
Vanilla (Unprocessed),Kg,Retail,,,"2,500",,"2,500",,,,,,,,,,,"2,500"
