Goat Meat,Kg,Retail,6000,6000,5000,5500,6000,6000,6000,5600,600,5000,5000,5000,5500,6000,6000,5000,6000,4500,700
"",,Wholesale,5500,5000,5000,4500,5500,4800,4500,4700,5000,4500,4800,4800,5500,5500,6000,4800,5800,3600,550
"Groundnuts, Unpounded",Kg,Retail,2700,2400,2600,2100,300,2600,2600,2250,2300,2300,2300,2000,3000,2600,3000,2200,2600,2600,260
"",,Wholesale,2600,2200,2200,2000,2500,2300,2200,2050,2200,2100,2000,1900,,2400,2500,2000,2500,2400,245
"Honey, Processed",ltr,Retail,7500,7000,3500,6500,8000,8000,,8500,4000,,,3300,4000,,,6000,,10000,600
"",,Wholesale,7000,6000,3500,4500,7500,7000,,7000,3000,,,3200,3500,,,5500,,8000,500
"Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,4700,2500,,,4850,,,,4500,,7500,
"",,Wholesale,,3100,2200,,4500,6000,,4200,2000,,,4650,,,,4000,,6500,
"",,,,,,,,,,,,,,,,,,,,,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara
Irish Potatoes,Kg,Retail,650,500,1000,1500,1000,700,600,700,900,300,450,,1100,1500,1400,550,750,1000,
"",,Wholesale,570,458,800,1200,900,600,550,600,800,250,420,,1000,1300,1200,450,700,800,
Maize Flour,Kg,Retail,1500,1400,1500,1400,1700,1500,1300,1400,1400,1200,1000,1400,1600,1300,1200,1500,1400,1600,160
"",,Wholesale,1400,1200,1200,1200,1500,1350,1100,1200,1200,1000,900,1300,1360,1150,1000,1300,1350,1300,140
Maize Grain,Kg,Retail,1100,1400,800,1000,1100,1000,600,700,570,600,550,750,670,900,600,700,1000,680,120
"",,Wholesale,1000,1200,750,700,1000,900,590,650,550,500,520,650,650,800,500,650,900,550,110
Matooke,Kg,Retail,330,900,1000,225,450,450,350,300,240,400,,550,450,,1200,,650,700,70
"",,Wholesale,290,800,1000,175,400,410,320,270,220,300,,500,400,,1000,,600,500,50
Matooke (Bunch),Bunch,Retail,7500,8000,8000,10000,12000,10000,12000,11000,12000,8000,14000,10000,15000,14500,,9000,13000,10000,800
"",,Wholesale,7000,6000,7000,8000,10000,9000,10000,8000,11000,6000,13000,8500,13000,12500,,7500,12500,6700,600
Milk,Ltrs,Retail,1200,900,750,1200,1200,1200,1200,1000,800,400,400,800,1000,1000,800,700,800,900,100
"",,Wholesale,1000,800,700,1000,900,1000,1100,900,700,300,350,700,1000,800,600,600,750,650,85
Millet Flour,Kg,Retail,1200,1400,1500,1500,2000,2000,2000,1300,1400,1800,1800,1500,1800,1300,,1800,1400,1600,180
"",,Wholesale,900,1300,1400,1300,1800,1600,1700,1050,1300,1700,1700,1400,1700,1200,,1500,1350,1400,160
Millet Grain,Kg,Retail,1200,1300,1000,1400,1700,1200,1200,1000,1200,1300,1300,1000,1600,1200,,1800,1100,1250,150
"",,Wholesale,900,1200,800,1200,1600,1000,1050,850,1100,1200,1200,900,1300,1000,,1450,1000,900,130
Pineapple,whole,Retail,1200,800,1500,800,1800,800,1400,1800,2700,4000,1200,1500,2000,2000,2500,500,1500,2000,80
"",,Wholesale,900,500,1000,600,1400,500,1000,1200,2500,3600,1000,1400,1800,1400,1500,400,1400,1100,50
"",,,,,,,,,,,,,,,,,,,,,
"",,Wholesale,4000,4500,4500,3500,,3500,4000,,5000,3600,3000,3800,5000,4300,3000,5000,4500,3000,600
Rice (Kayiso),Kg,Retail,2000,2800,2400,2400,,2000,2400,1700,1700,2200,2400,,2300,2500,2200,,,2500,250
"",,Wholesale,1800,2500,2300,2000,,1800,2000,1500,1600,2100,2200,,,2300,2000,,,2400,230
Rice (Super),Kg,Retail,2500,2500,2400,2300,2500,2600,2500,2200,2000,2400,2400,2300,2300,2700,2400,2500,2500,2500,250
"",,Wholesale,2200,2300,2300,1800,2200,2200,2200,2000,1900,2300,2200,2200,2100,2500,2200,2350,2400,2400,240
Rice (Upland),Kg,Retail,200,2200,2000,2300,2700,2000,2300,1800,1700,,,,2300,2500,2200,2600,1700,2300,220
"",,Wholesale,1800,2000,1900,1800,2400,1800,2000,1500,1600,,,,2100,2300,2000,2400,1600,2100,200
Simsim,Kg,Retail,3000,,2700,3300,4500,3000,3000,2100,2800,2500,2500,2500,3200,2500,2500,,,3000,380
"",,Wholesale,2800,,2500,2900,4000,2500,2300,1900,2700,2400,2300,2300,,2300,2200,,,2500,350
Sorghum Flour,Kg,Retail,1000,900,1400,,1800,1200,1000,950,1000,900,800,1000,1600,1300,,700,1400,,110
"",,Wholesale,700,800,1300,,1500,900,850,750,900,700,700,800,1500,1200,,600,1300,,100
Sorghum Grain,Kg,Retail,700,800,1000,,,1000,700,800,800,,600,700,1000,1100,,700,1100,800,85
"",,Wholesale,500,700,800,,,700,650,600,700,,550,650,850,900,,600,1000,600,50
Soya Beans,Kg,Retail,2000,1400,1800,1400,1600,1800,1000,1400,1300,1800,1400,,2000,,,2700,,1500,150
"",,Wholesale,1800,1200,1500,1300,1500,1400,950,1250,1200,1700,1300,,,,,2500,,1300,140
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,590,150,1000,1000,900,500,600,1200,,300,210,500,500,1400,700,450,1200,,70
"",,Wholesale,470,100,1000,600,800,400,550,950,,200,200,450,450,1300,500,300,1000,,50
Tea (Unprocessed),Kg,Retail,,,,,,,,,,,,,,,3000,,,,
"",,Wholesale,,,,,,,,,,,,,,,3000,,,,
Turkey,bird,Retail,,,29000,,40000,42000,45000,35000,,,,34000,,,,,,29000,3200
"",,Wholesale,,,28000,,30000,35000,33000,32000,,,,33000,,,,,,26000,3000
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,,3500,300
