"",Wholesale,,1200,650,,500,300,460,400,450,300,300,350,200 260,,,1000 900,700,,531,
Fish,,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg Retail,,7000,,6500,7500,8000,,5500,7000,3500,5000,5000,5000 5000,,,12000,,,6416.7,
"",Wholesale,,6000,,5500,6000,6500,,4700,6000,3000,4500,,4000 4500,,,8000,,,5336.4,
"Fish, Tilapia",whole Retail,,4000,6500,7000 5500,4500,6000,4000,7000,7000,10000,5000,,6000 8200,5000,4000,6000 14000,5000,6500,6378.9,
"",Wholesale,,3500,5500,5000 2500,4000,5000,3800,5600,6000,7000,4600,,5000 7300,4500,3000,5500 11000,4000,6000,5200,
Fruits,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg Retail,,1500,600,400 1100,1000,1300,1400,1300,180 400,800,900,1000,1300 3000,700,4500,900 600,450,1100,1163.3,
"",Wholesale,,1000,550,300 600,700,1200,1200,800,160 300,600,800,800,800 2600,400,2500,850 500,320,1000,856,2000
Cavendish (Bogoya),Kg Retail,,3000,800,1700 900,1000,1700,1600,3000,800 1800,2000,1000,900,1400 3000,1500,800,1800 3000,500,2200,1638.1,
"",Wholesale,,2500,700,1500 500,800,1600,1400,2500,730 1500,1500,800,750,1000 2400,1000,400,1700 2500,400,1800,1332.4,
Matooke,Kg Retail,,800,250,1300 375,545,350,800,450,300 250,1000,1000,350,1200 1000,1500,1000,550,400,900,716,
"",Wholesale,,500,225,1000 150,450,300,700,380,260 200,800,900,300,1000 800,1000,800,500,300,800,568,
Matooke (Bunch),Bunch Retail,,9000,10000,13000 8500,12000,12000,15000,16000,15000 5000,12000,20000,12500,16000 8000,4500,7000,15000 13000,8000,7500,11381,
"",Wholesale,,8000,9000,10000 6000,10000,10000,12500,13000,13000 4000,9000,17000,10000,12500 7000,4000,5000,14000 8000,6300,7000,9300,
Pineapple,whole Retail,,,800,1500 1600,2500,1000,1400,2200,1800 1200,2000,2500,3300,4000,1000,1000,2000 600,2500,1000,1784.2,
"",Wholesale,,,700,1000 600,2200,800,1200,1800,1700 1000,1500,2200,,3700,800,800,1800 500,1800,700,1377.8,2500
"",,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,,Organic
CommodityName,Unit,Pricetype,KAL,KIB,LUW MSK,NAK,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,HOI,KAS KLE,KSR,MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3000,2500,2550 2200,3000,2700,2200,2580,2600 2800,2500,2500,3000,2800 2800,2500,1600,2500 2800,3100,2800,2620.5,
"",,Wholesale,2500,2400,2200 2000,2700,2400,2000,2480,2400 2500,2200,2200,2800,2500 2400,2200,1200,2400 2700,2800,2600,2361,
Soya Beans,Kg,Retail,1600,1400,2500 2200,1500,1300,1400,1200,1500 1800,1000,1100,1500,1200,1500,2200,,1600,2300,1600,
"",,Wholesale,1200,1300,2000 2000,1200,1150,1200,1100,1300 1700,800,900,,1000,1000,1800,,1300,2000,1350,
Sunflower,Kg,Retail,,,,,,,,,,,,,,,,,2900,2900,
"",,Wholesale,,,,,,,,,,,,,,,,,2700,2700,
Poultry Products,,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,6000,,9000 7500,7500,8000,8000,5600,8500,7000,7000,8000,8000 10000,10000,7000,8500 10000,9800,10000,8178.9,
"",,Wholesale,5500,,8000 5000,6500,6000,,5000,7500,6000,6000,,6000 8000,8000,5000,8500 9000,7900,9000,6876.5,
"Chicken, Local",bird,Retail,12000,13000,18000 10500,11500,15000,8000,12500,15000 9000,9000,11000,13500,12500 14000,14000,14000,16000 15000,12000,14500,12857,
"",,Wholesale,10000,12000,15000 8500,,13000,7000,9500,14000 7000,7500,9000,11000,10000 12000,12000,10000,15500 13000,9000,13000,10900,15000
"Eggs, Exotic",tray,Retail,6000,6500,6500 5500,7500,5500,7500,6700,7000 6000,6500,6500,9000,8000 7500,6000,7000,6500,6500,9000,6860,
"",,Wholesale,5500,6300,4200,5400,5000,6300,6300,6500 5500,6300,6400,7000,6500 6500,5500,6000,6000,5800,8000,6052.6,
"Eggs, Local",tray,Retail,15000,10500,6000 10100,12000,13000,9000,8800,10000 7000,9000,9000,15000,10500,9000,8500,9000 10500,12000,8000,10095,
"",,Wholesale,10000,9000,5500 6500,8000,10000,7500,7000,9000 6500,7500,8700,,8000,7000,7000,8800 9000,9000,7500,7973.7,
Turkey,bird,Retail,,,,42000,35000,8000,32000,40000,20000,32000,,,,,,30000,,29875,
"",,Wholesale,,,,35000,30000,8000,30000,38000,,30000,,,,,,26000,,28143,
Pulses,,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3000,2700,3200 1400,2200,4000,,1800,2400 1800,,1500,2500,,2500,3000,2800,2200,1800,2425,
"",,Wholesale,2700,2500,2800 1200,1800,3000,,1680,2200 1700,,1300,1600,,2200,2500,2600,2000,1600,2086.3,
"Dried Beans, Agwede",Kg,Retail,,,1200,1200,1400,,1450,1200,,,,1000 1000,,,1300,,,1218.8,
"",,Wholesale,,,1100,1000,1300,,1220,1100,,,,900 800,,,1200,,,1077.5,
"Dried Beans, Nambale",Kg,Retail,2000,,1800 1200,1800,1500,1150,1600,1400 1200,1400,1500,1500,1600 1300,2000,1400,2000 1500,,1470,1543.2,
"",,Wholesale,1800,,1550 1000,1300,1200,1050,1400,1300 1000,1300,1300,1400,1300 1200,1800,1200,1800 1400,,1300,1347.4,
"Dried Beans, Yellow",Kg,Retail,2200,1400,2000 1050,2000,1750,1500,1800,1600,1700,1700,1700,1800 1400,2500,1400,2300,1400,1700,1731.6,
"",,Wholesale,2000,1300,1800 850,1600,1650,1350,1650,1550,1500,1550,1550,1400 1200,2200,1200,2200,1100,1600,1539.5,
Root Crops,,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,350,,260,160,,300,300,1300,,,460,,1000,516,
"",,Wholesale,,,,,300,,220,150,,250,250,800,,,450,,800,403,
"Cassava, Flour",Kg,Retail,700,1000,700 1200,800,600,600,400,700 1000,500,650,500,1800 700,800,1200,650 1000,900,1000,829,
"",,Wholesale,500,800,450 700,400,430,500,320,600 900,400,400,380,1400 500,500,800,640 900,550,800,613,
"Cassava, Fresh",Kg,Retail,500,550,1000 1000,400,400,700,800,140 500,,250,300,500 320,1000,1000,900 1500,300,800,643,
"",,Wholesale,300,450,900 500,300,350,600,600,120 450,,220,200,300 270,500,500,800 1000,200,600,458,
"Cassava, Sun dried",Kg,Retail,,,,800,350,300,270,130,270,320,300,1500 400,,800,420,400,1400,547,
"",,Wholesale,,,,400,300,280,220,110,250,270,250,1000 300,,450,400,350,1250,416,
Irish Potatoes,Kg,Retail,1000,500,1000 1400,760,800,700,800,900 500,800,1000,1600,1500 1200,2000,2000,700 600,1000,1600,1064.8,
"",,Wholesale,700,458,800 800,680,700,500,670,800 400,700,800,1300,1200 1000,1500,1000,650 570,800,1500,835,1500
Sweet Potatoes,Kg,Retail,500,208,2000 1000,400,400,,1000,260 400,210,300,500,600 300,700,1000,1000 2000,500,1430,735,
"",,Wholesale,300,183,1500 600,300,350,,700,240 300,200,250,450,400 250,500,500,900 1500,400,1180,550,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,900 4750,4700,,3500,,,,5000,,3300,3206.3,
"",,Wholesale,,1900,800,,,,,650 4700,4500,,,,,,4800,,3000,2907.1,
Cotton (Unprocessed),Kg,Retail,,,2800,,,,,,,,,,,,,,,2800,
"",,Wholesale,,,2400,,,,,,,,,,,,,,,2400,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,1500,,,,3250,
"",,Wholesale,4000,,,,,,,,,,,,,1000,,,,2500,
Vanilla (Unprocessed),Kg,Retail,,,,,3500,,,,,,,,,,,,3200,3350,
"",,Wholesale,,,,,2800,,,,,,,,,,,,3000,2900,
