"",,Wholesale,1500,2000,2500,1200,,1600,2000 1200,900,1400 1800,,1650,1300,2200,1635
"Dried Beans, Agwede",Kg,Retail,,,,1200,800,1400,1100,1200,800,,,1000,,1071
"",,Wholesale,,,,1000,700,1250,1050,1100,750,,,900,,964
"Dried Beans, Nambale",Kg,Retail,1400,1100,1400 1800,1500,1100,1300,1200 1000,1400,1200,1100,1000,1100 1000,1100,1231
"",,Wholesale,1300,900,1200 1600,1000,950,1200,1100 800,1350,1100,1000,850,1000 900,1000,1078
"Dried Beans, Others",Kg,Retail,1600,1500,1400 1600,1500,1100,1400,2200 1000,1200,1100 1100,1000,1000,1000,1300,1313
"",,Wholesale,1400,1300,1200 1500,1000,1000,1250,2000 750,1100,900 1000,900,850,900,1000,1128
"Dried Beans, Yellow",Kg,Retail,1600,1300,1400 1700,,,1400,1400 1500,1500,1200 1000,1200,,1200,1300,1362
"",,Wholesale,1400,1100,1200 1600,,,1250,1300 1200,1400,1100 1000,1100,,1100,1200,1227
"Eggs, Exotic",tray,Retail,5500,6300,6000 10000,6000,4800,6200,5200 7500,5700,7500 7000,6000,6000,6500 6000,6000,6365
"",,Wholesale,5000,5800,4500 9000,5200,4400,5000,4800 5600,5400,6000 7000,5000,5000,5500 5500,5000,5512
"Eggs, Local",tray,Retail,10000,8000,7500 5000,9000,11000,7500,7000 10500,7000,7500 9000,12000,7500,7000 7500,9000,8353
"",,Wholesale,7500,6500,6000 4500,7000,9000,6200,6500 9000,6800,8500,10500,6500,6500 6000,8000,7188
"Fish, Nile Perch",Kg,Retail,5500,5000,7000,6000,6000,5500,5000 2800,4500,5000 8000,,,,7000,5608
"",,Wholesale,5000,4500,6000,5000,4500,4500,4000 2500,4000,5000 6500,,,,4000,4625
"Fish, Tilapia",whole,Retail,4500,4200,7500 9000,4500,6000,6000,8000 5000,5000,3000 6000,6000,,5000,6000,5713
"",,Wholesale,4000,3700,3500 8000,4000,5500,5000,7000 4700,4500,2500 5000,,,3000,5000,4671
Goat Meat,Kg,Retail,6000,4500,5500 6000,6000,6000,5500,7000 5000,5000,5500,5000,5800,5800 6000,5000,5600
"",,Wholesale,5000,3500,4500 5500,5000,4500,5000,5000 5000,4800,5500,,,5600 5000,4500,4886
"Groundnuts, Unpounded",Kg,Retail,2500,2300,1800 3000,2500,2400,2000,2300 2000,1900,2000 2000,2200,2500,2300 2500,2500,2276
"",,Wholesale,2300,2100,1700 2500,2000,1950,1700,2100 1600,1750,1700 1800,1900,2250,2200 2300,2300,2009
"Honey, Processed",Kg,Retail,8000,,8000 8000,8000,,6500,9000,6400,4000 3200,,7000,3500,12500,7008
"",,Wholesale,7500,,6000 7500,7000,,5800,7000,5900,3500 3000,,6500,3100,10000,6067
"Honey, Unprocessed",Kg,Retail,,7000,5000,,,2700,3000,2600,4500,,3800,,10000,4825
"",,Wholesale,,6000,4500,,,2450,2500,2400,4000,,3500,,8000,4169
"",,,,,Central,,,,Eastern,,Northern,,,Western,,
Commodity,Weight,,Kalerwe,Kiboga,Masaka Nakasero,Nakawa,Owino,Iganga,Jinja Mbale,Soroti,Arua Lira,Hoima,Kabale,Kasese Kisoro,Mbarara,Avg
Irish Potatoes,Kg,Retail,550,800,700 700,500,500,650,700 600,850,1300 1400,500,350,220 375,,668
"",,Wholesale,460,600,550 600,400,450,530,600 500,750,1200 1200,450,320,200 350,,573
Maize Flour,Kg,Retail,1400,1500,1400 1300,1300,1200,1250,1300 1200,1200,1500 1800,1200,1300,1000 1000,1300,1303
"",,Wholesale,1200,1250,1200 1000,1100,1020,1050,1200 1000,1000,1400 1500,1000,1150,1000 700,1200,1116
Maize Grain,Kg,Retail,1000,450,1000 1000,950,540,700,650 600,600,650 1200,400,800,600,1000,759
"",,Wholesale,900,350,700 900,750,520,600,580 500,500,500 1000,350,620,500,900,636
Matooke,Kg,Retail,350,450,406 750,385,330,420,300 450,350,450 1500,300,300,200 250,,449
"",,Wholesale,270,350,319 700,345,300,360,280 350,300,400 1000,,275,180 200,,375
Matooke (Bunch),Bunch,Retail,5500,6300,8500 13000,8500,10000,15000,15000 11000,10000,7000 12000,5000,8500,6000 10000,10000,9488
"",,Wholesale,4500,4700,7500 12000,7500,8000,13000,14000 9000,9500,6500 8000,,6800,5500 8000,9000,8344
Milk,Ltrs,Retail,800,700,800 800,900,700,700,800 800,800,1000 1000,700,500,3000 700,500,894
"",,Wholesale,700,500,400 700,800,600,500,700 600,700,900 1000,500,450,3000 500,400,762
Millet Flour,Kg,Retail,1200,1600,1900 1400,1900,1800,1500,1500 1500,1300,1500 1000,2000,1700,1200 1500,1800,1547
"",,Wholesale,900,1400,1400 1300,1500,1400,1300,1200 1200,1300,1400 1000,,1350,1100 1400,1600,1297
Millet Grain,Kg,Retail,1200,1300,1400 1300,1000,900,1100,1100 1200,850,1100 600,1000,1250,1100 1500,1400,1135
"",,Wholesale,900,900,1200 1000,850,850,1000,1000 900,750,900 500,800,950,1000 1100,1300,935
Pineapple,whole,Retail,,,,,1800,,,,,,,,,1800
"",,Wholesale,,,,,1600,,,,,,,,,1600
Pork,Kg,Retail,,,,,5000,,,,,,,5000,,5000
"",,Wholesale,,,,,4000,,,,,,,4500,,4250
Rice (Kayiso),Kg,Retail,1700,2000,2400,1800,1600,1700,1700,1700,2000 2500,,,1800 2800,2500,2015
"",,Wholesale,1600,1800,2000,1600,1450,1500,1600,1650,1800 2200,,,1800 2500,2240,1826
Rice (Super),Kg,Retail,2000,2000,1800 2200,2400,2500,2000,2000 2000,1900,2200 2500,2000,2200,2000 2000,2200,2112
"",,Wholesale,1900,12800,1600 2000,1950,1800,1800,1900 1900,1800,1900 2200,,2000,2000 1800,1800,2572
Rice (Upland),Kg,Retail,1600,2200,2000 2000,1800,1700,1600,1700,1900,1800 2200,1600,2000,1800 1800,2000,1856
"",,Wholesale,1500,2000,1800 1800,1600,1500,1400,1600,1850,2000,1500,1850,1800 1700,1700,1707
Simsim,Kg,Retail,3000,3500,2000,3400,2500,2200,1800 3000,2100,2000 2000,,4000,2000,2550,2575
"",,Wholesale,2800,3000,2000,3000,1800,1800,1700 2700,1900,1700 1800,,,2000,2500,2208
Sorghum Flour,Kg,Retail,1600,,,1000,1000,1200,800 700,650,1500 800,,,1200 1000,1500,1079
"",,Wholesale,1400,,,700,800,1000,700 600,550,1000 600,,,1100 900,1400,896
Sorghum Grain,Kg,Retail,,700,,800,550,800,700 600,500,1000 600,600,,1000 1000,1200,773
"",,Wholesale,,600,,500,520,700,600 400,450,800 500,500,,1000 900,1000,652
Soya Beans,Kg,Retail,2500,1500,1500 1700,1500,1100,1200,1800 1400,1450,1200 1200,900,1200,1600,2500,1516
"",,Wholesale,2300,1000,1400 1500,1000,900,900,1650 1200,1250,800 1000,800,900,1400,2400,1275
Sunflower,Kg,Retail,,2000,3000,,380,1000,,400,450,,,1800,,1290
"",,Wholesale,,1700,2500,,350,850,,350,400,,,1700,,1121
Sweet Potatoes,Kg,Retail,360,600,1000 600,360,500,650,300 500,250,1400,500,200,330 150,1800,594
"",,Wholesale,300,400,700 500,320,450,510,280 300,200,1200,300,140,300 100,1200,450
Tea (Unprocessed),Kg,Retail,,,,,400,,,,350,,,,,375
"",,Wholesale,,,,,350,,,,330,,,,,340
Turkey,bird,Retail,,25000,28000,35000,35000,25000,28000 30000,30000,32000,,,,35000,30300
"",,Wholesale,,20500,22000,30000,30000,23000,25000 25000,26000,30000,,,,,25722
Vanilla (Unprocessed),Kg,Retail,,3000,3000,,2700,,,,,,,,4000,3175
"",,Wholesale,,2500,2500,,2300,,,,,,,,2000,2325
