Commodity,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"Dried Beans, Agwede",Kg,Retail,,,,,1200,800,1400,1200,,1200,,700,,,,700,1400,1083
"",,Wholesale,,,,,1000,700,1250,1100,,1000,,600,,,,600,1250,942
"Dried Beans, Nambale",Kg,Retail,1400,1200,1100,2000,1500,1100,1300,1500,1200,1450,1400,1000,1100,1100,,1000,2000,1311
"",,Wholesale,1300,1000,900,1500,1100,1000,1200,1400,1000,1300,1300,800,800,1000,,800,1500,1114
"Dried Beans, Others",Kg,Retail,1600,1500,1100,2000,1500,1100,1300,1500,1200,1200,1300,1000I,ang1a000,1300,1200,1000,2000,1320
"",,Wholesale,1400,1200,900,1500,1200,950,1200,1400,1000,1100,1200,1000,700,1200,1000,700,1500,1130
"Dried Beans, Yellow",Kg,Retail,1500,1300,1100,2000,1600,1300,1400,1500,,1550,1500,1600,,1000,800,800,2000,1396
"",,Wholesale,1400,1100,900,1500,1300,1200,1200,1400,,1500,1400,1400Ji,ja,900,700,700,1500,1223
"Eggs, Exotic",tray,Retail,5000,6000,6000,7000,6000,4700,6200,5400,,5600,7500,6500,6500,5500,6000,4700,7500,5993
"",,Wholesale,4600,5500,4500,6500,5000,4400,5200,5000,,5400,6000,6000,5000,5000,5500,4400,6500,5257
"Eggs, Local",tray,Retail,10000,8500,7500,9000,9000,11000,7500,6500,,7000,9000,6500,9000,,7500,6500,11000,8308
"",,Wholesale,8000,7000,6000,8500,7000,9000,6000,6000,,6700,7500,6500,7500,,6600,6000,9000,7100
"Fish, Nile Perch",Kg,Retail,6000,5000,,,7000,6000,5500,5000,,4000,5000,11000S,roti,,,4000,11000,6056
"",,Wholesale,5500,4500,,,5000,4800,4500,4500,,3600,5000,9000,,,,3600,9000,5156
"Fish, Tilapia",whole,Retail,3500,4500,4500,6500,4000,,6500,8000,,5500,4200,8000,8000,3000,6000,3000,8000,5554
"",,Wholesale,3000,4000,3500,6000,3500,,5500,7000,,4800,3500,7000,rua,2500,4000,2500,7000,4525
Goat Meat,Kg,Retail,6000,4500,5500,6000,6000,6000,5500,7000,5000,5250,5500,,5000,5400,6000,4500,7000,5618
"",,Wholesale,5000,3500,4500,5500,5000,4500,5000,6500,4800,4800,5500,,4000,,5000,3500,6500,4892
"Groundnuts, Unpounded",Kg,Retail,2500,2400,1800,2500,2500,2500,2400,2200,2400,2000,2500,1600,2500,2300,2500,1600,2500,2307
"",,Wholesale,2300,2100,1700,2000,2100,1950,2200,1800,2300,1800,2200,1400,2250,2200,2300,1400,2300,2040
"Honey, Processed",Kg,Retail,7500,7000,,5500,8000,,6500,7500,,6400,,4000,4500,,7000,4000,8000,6390
Commodity,,,,,,,,,,,,,,,,,,,,
"Honey, Unprocessed",Kg,Retail,6500,10000,,4500,,,2900,7000,,2500,2000,4000,7000,,3500,2000,10000,4990
"",,Wholesale,6000,8000,,4000,,,2600,6000,,2300,,3500,6500,,3100,2300,8000,4667
Irish Potatoes,Kg,Retail,470,800,600,650,450,520,600,700,500,900,1500,1000,320,1200,358,320,1500,705
"",,Wholesale,400,600,450,600,400,500,500,600,400,750,1200,800,290,1000,333,290,1200,588
Maize Flour,Kg,Retail,1400,1500,1100,1300,1300,1050,1200,1200,1200,1200,1500,1500,1300,1200,1000,1000,1500,1263
"",,Wholesale,1200,1250,970,1000,1000,980,1050,900,1000,1100,1300,1200,1150,1100,700,700,1300,1060
Maize Grain,Kg,Retail,1000,500,800,900,750,480,600,520,600,600,700,1700,1000,900,500,480,1700,770
"",,Wholesale,900,400,600,800,600,470,500,480,500,550,600,1500,620,800,400,400,1500,648
Matooke,Kg,Retail,330,500,212,600,360,370,420,,400,350,500,900,300,400,175,175,900,416
"",,Wholesale,260,400,175,550,330,270,380,,300,300,400,700,270,340,125,125,700,343
Matooke (Bunch),Bunch,Retail,5000,7000,7000,9500,8000,10000,13000,11500,8000,9000,6800,8000,8000,7000,,5000,13000,8414
"",,Wholesale,4500,4800,6500,9000,7000,8000,11000,10000,6000,8500,6500,6000,6500,6800,,4500,11000,7221
Milk,Ltrs,Retail,800,800,700,800,800,700,800,800,500,800,1000,1200,600,750,700,500,1200,783
"",,Wholesale,700,600,400,700,700,600,600,700,400,700,900,1000,500,700,500,400,1000,647
Millet Flour,Kg,Retail,1200,1600,1900,1500,1900,1800,1500,1500,,1400,1600,800,1600,1400,1200,800,1900,1493
"",,Wholesale,900,1400,1400,1300,1500,1500,1200,1200,,1300,1500,600,1250,1350,1100,600,1500,1250
Millet Grain,Kg,Retail,1200,1200,1400,1300,1000,950,1100,1100,,850,1000,600,1200,1300,1100,600,1400,1093
"",,Wholesale,900,800,1200,1100,850,920,900,1000,1000,800,900,500,950,ibo1g2a00,1000,500,1200,935
Pineapple,whole,Retail,,1800,,1500,800,1000,2500,1300,1200,1550,1500,2000,500,1000,800,500,2500,1342
"",,Wholesale,,1000,,1200,500,900,1800,800,1000,1400,1200,1500,350,900,500,350,1800,1004
Pork,Kg,Retail,5000,4000,4000,,5000,5000,,5000,,4000,5000,,5000,as5a2k0a0,5000,4000,5200,4745
"",,Wholesale,4500,2800,3500,,3500,4000,,4500,,3800,5000,,3800,5000,4500,2800,5000,4082
Rice (Kayiso),Kg,Retail,1700,2000,2400,2000,1800,1600,1700,1700,1800,1750,2000,2200,2500,,2800,1600,2800,1996
"",,Wholesale,1600,1800,2000,1800,1600,1450,1500,1600,1600,1650,1800,2000,,,2500,1450,2500,1762
Rice (Super),Kg,Retail,,2200,1800,2200,2400,2200,2000,2300,2000,2000,2200,2200,2200,2200,2000,1800,2400,2136
"",,Wholesale,,2000,1600,2000,2100,1800,1800,2000,1800,1800,1900,2000,2000,2100,1800,1600,2100,1907
Rice (Upland),Kg,Retail,1600,1800,2000,2200,1800,1700,1700,1700,,,1800,2000,2000,1520,1800,1520,2200,1817
"",,Wholesale,1500,1700,1800,2000,1600,1500,1500,1600,,,,1800,1850,1500,1700,1500,2000,1671
Simsim,Kg,Retail,2800,3000,,5000,3000,2500,2200,2000,,2500,2000,1800,4000,2100,,1800,5000,2742
"",,Wholesale,2600,2500,,4000,2400,1800,2000,1800,,2300,1500,1800,3200,2000,,1500,4000,2325
Sorghum Flour,Kg,Retail,1000,,,2000,1000,1000,1100,800,700,650,1500,400,,1400,800,400,2000,1029
"",,Wholesale,700,,,1800,700,800,900,700,500,600,1400,350,I,an1g3a00,700,350,1800,871
Sorghum Grain,Kg,Retail,700,,,1650,800,470,800,700,,550,1000,500,,,800,470,1650,797
"",,Wholesale,500,,,1400,500,450,700,600,,450,900,400,,,700,400,1400,660
Soya Beans,Kg,Retail,2500,700,1400,1600,1500,1100,1300,1700,1500,1500,1700,600,1300J,nja 950,1000,600,2500,1357
"",,Wholesale,2300,500,1300,1400,1000,900,1100,1400,1350,1300,1500,500,900,900,700,500,2300,1137
Sunflower,Kg,Retail,,,,,,400,1000,,,400,,600,,,,400,1000,600
"",,Wholesale,,,,,,370,800,,,350,,500,,,,350,800,505
Sweet Potatoes,Kg,Retail,350,600,700,450,350,420,850,250,300,300,500,800,250,,150,150,850,448
"",,Wholesale,290,400,500,400,300,380,700,220,200,250,450,600,150,oroti,100,100,700,353
Tea (Unprocessed),Kg,Retail,,,,4500,,400,,,,,,,,,,400,4500,2450
"",,Wholesale,,,,4000,,350,,,,,,,,,,350,4000,2175
Turkey,bird,Retail,,25000,,20000,35000,33000,25000,27000,,29000,,32000,,rua,,20000,35000,28250
"",,Wholesale,,21000,,20000,30000,28000,23000,23000,,27000,,30000,,,,20000,30000,25250
Vanilla (Unprocessed),Kg,Retail,,3000,,,,2700,,,,,,,,,,2700,3000,2850
