Wholesa,4500,,6000,5500,4500,4700,5000,4500,4800,5200,5500,5300,5700,6000 5700,,5700,5000,6500,5500,5500,6500
"Eggs, Local tray Retail",8500,,9000,5000,9000,12000,9000,13000,8000,7500,7000,9000,7200,75O00wino,,6500,,9000,8800,12000,8500
Wholesa,7500,,7500,5500,7500,11000,7000,10000,6300,7000,6500,7500,7000,,,6000,,7500,8500,9000,7000
"Fish, Nile Perch Kg Retail",6000,,,7000,4500,,7000,7500,4800,9000,,4700,4500,5500 4200,,8000,5000,6000,,5500,7000
Wholesa,5000,,,7000,3500,,6000,6500,3800,8500,,4500,4100,50I0g0anga3500,,7000,4500,5000,,4500,6500
"Fish, Tilapia whole Retail",3500,,6500,3000,3500,7000,5000,5500,5500,6500,1200,4300,6000,7000 4800,,8000,8000,6000,3500,4500,7300
Wholesa,3000,,4500,2800,2500,5500,4000,5000,4500,6000,1100,3800,5000,4500,,7000,,5000,3000,4000,7000
Goat Meat Kg Retail,6000,,6000,5000,5500,6000,6000,6000,5500,6000,5000,,5000,55J0in0ja 6000,,5000,5000,5000,6000,5000,5200
Wholesa,5000,,5000,5000,4500,5000,4800,4500,5000,5000,4500,,4800,5500 5800,,5000,,4800,5800,3800,4800
"Groundnuts, Unpounded Kg Retail",3000,,2700,3000,2200,3500,2600,2600,2500,2600,3000,,2500,2500 2000,,2600,2600,2500,2400,2750,2800
Wholesa,2800,,2500,2800,2100,3000,2350,2150,2200,2250,2700,,2100,20K0a0pcho1r6w00a,,2400,2400,2300,2300,2400,2500
"Honey, Processed ltr Retail",,,7000,3500,5500,8000,8000,,8800,6000,,,6400,,,,8000,9000,,10000,5500
Wholesale,,,6000,3000,4000,7500,7000,,7500,5000,,,6000,,,,,7500,,8000,5200
"Honey, Unprocessed ltr Retail",,,3500,3000,,5000,6000,,5400,4000,,,3300,Mbale,,,,7000,,7500,7700
Wholesale,,,3100,2500,,4500,5000,,4300,3000,,,3100,,,,,6000,,6500,5300
Irish Potatoes Kg Retail,570,,333,1000,1900,1100,550,620,800,800,400,350,800,1200 1400,,1200,800,350,800,900,1100
Wholesa,460,,316,800,1700,900,450,570,690,700,300,30,700,Soroti 1200,,1000,600,300,750,700,1000
Maize Flour Kg Retail,1500,,1300,1500,1600,1600,1300,1200,1300,1300,1200,1000,1400,1600 1500,,1800,1400,1300,1400,1600,1400
1300AruaMaize Grain Kg Wholesa Retail,1400 1100,,1100 700,1200 500,1400 1000,1500 1400,1150 700,1000 400,1150 630,1200 470,1000 600,900 550,1000 600,1300 700 1350 770,,1000 700,1300 450,1100 900,1300,1300 600,1050
Wholesa,1000,,600,450,700,1300,600,380,590,450,550,530,500,500 750,,650,400,800,,500,950
CommodityName,,,,,,,,,,,,,,,,,,,,,,
Matooke,Kg Retail,,380,500,1800,300,1000,640,370,500,300,400,1200,600,300 1300,,1200,500,,900,800,1400
"",Wholesa,,340,450,1500,250,800,52,340,400,260,300,1000,500,280 1000,,1000,,,800,700,1300
Matooke (Bunch),Bunch Retail,,8500,20000,15000,12000,14000,14000,17000,18000,15000,8000,12000,20000,11000 16500,,13000,13000,18000,18000,15000,7000
"",Wholesa,,7000,18000,13000,10000,12000,12000,14000,15000,13000,6000,10000,17000,9000 14500,,5000,,15000,17500,10000,6500
Milk,Ltrs Retail,,1000,1000,800,800,900,1000,800,1000,800,550,1000,800,1000 1200,,1000,800,500,800,800,500
"",Wholesa,,800,900,750,500,800,900,700,900,700,400,900,700,1000 1000,,800,,400,750,600,400
Millet Flour,Kg Retail,,1200,1500,1200,1500,2200,2000,2000,1400,1500,1800,1800,1500,1600 2300,,1600,2000,2000,1500,1700,1600
"",Wholesa,,900,1400,1000,1300,1900,1600,1600,1200,1400,1700,1600,1400,1500 2000,,1400,,1800,1400,1500,1500
Millet Grain,Kg Retail,,1200,1400,1000,1600,1900,1000,1100,1000,1100,1300,1200,110,1000 1200,,1000,1200,1500,1100,1300,1900
"",Wholesa,,900,1300,1000,1400,1700,800,1000,900,1000,1200,1100,1000,800We1ig0h0t0,,800,1000,1400,1000,1100,1800
Pineapple,whole Retail,,1000,800,1500,700,1500,800,1500,1500,1500,1200,1200,1700,2800 1800,,3000,,1000,1800,2500,800
"",Wholesa,,800,500,1300,500,1000,500,1000,1000,1200,1000,1000,1400,1500,,1000,,700,1700,1400,600
Pork,Kg Retail,,5000,5000,4000,4500,,5000,5000,,5000,4000,,4000,5000 Pric5e0t0y0pe,,5000,,6000,,,
"",Wholesa,,4500,4500,4000,3500,,3500,4000,,4500,3600,,3800,5000 4500,,3500,,5000,,,6000
Rice (Kayiso),Kg Retail,,2000,2800,2200,2200,2000,2000,1800,1700,1550,2200,1800,1900,2000 1500,,1900,,,,2500,2600
"",Wholesa,,1800,2500,2000,1800,1800,1750,1650,1570,1450,2100,1700,1700,1600 Kale1r4w00e,,1700,,,,2300,2600
Rice (Super),Kg Retail,,2400,2300,2300,2100,2500,2600,2300,2200,2000,2300,2500,2200,2500 2700,,2400,1600,2500,2400,2700,2500
"",Wholesa,,2100,2200,2200,1800,2300,2200,2100,2000,1800,2200,2200,1900,2000 2250,,2000,1450,2350,2300,2400,2500
Rice (Upland),Kg Retail,,1700,2200,2200,2300,2500,2000,1800,1800,1700,2000,,,2000 Kib1o5g0a0,,1900,,,,2300,
"",Wholesa,,1500,2000,2000,1800,2300,1750,1700,1600,1600,1800,,,1800 1420,,1700,,,,2100,
Simsim,Kg Retail,,3000,,3000,3000,4500,2800,2300,2250,2800,2500,2800,2000,1600 2600,,2500,,,2000,2500,3500
"",Wholesa,,2800,,2600,2800,4000,2400,2100,1950,2600,2400,2400,1700,1500 Luw2e4r0o0,,2400,,,1800,2500,3000
Sorghum Flour,Kg Retail,,1000,900,1200,,1800,1000,1000,900,1000,1000,800,1000,1200 1700,,1800,,1300,1600,,900
"",Wholesa,,700,800,1000,,1700,700,700,700,900,900,700,700,1000 1450,,1500,,800,1500,,750
Sorghum Grain,Kg Retail,,700,800,1000,,1700,800,420,600,1000,,650,450,800Masa9k0a0,,500,,900,1100,800,850
"",Wholesa,,500,700,900,,1500,500,350,520,900,,550,400,600 800,,400,,700,1000,700,750
Soya Beans,Kg Retail,,2000,1400,1800,1900,2000,1600,1000,1200,1400,1800,2000,1200,,,1000,1200,2700,1700,1600,3000
"",Wholesa,,1800,1200,1500,1800,1700,1300,850,1000,1200,1700,1800,900,Nakasero,,800,1000,2500,1600,1300,2000
Sunflower,Kg Retail,,,,,,3000,,400,,,,,450,,,,,,,,3200
"",Wholesale,,,,,,2700,,370,,,,,400,,,,,,,,3000
Sweet Potatoes,Kg Retail,,430,208,1000,1500,350,500,550,1100,240,500,140,500,200Naka7w00a,,500,400,1000,1000,700,800
"",Wholesa,,380,166,1000,1000,300,450,520,900,200,400,130,400,180 500,,400,300,800,800,500,700
Turkey,bird Retail,,,,35000,,65000,45000,44000,36000,44000,,,38000,,,,,,,30000,
"",Wholesale,,,,30000,,50000,35000,35000,32000,40000,,,36000,Owino,,,,,,26000,38000
Vanilla (Unprocessed),Kg Retail,,,,,,3500,,2700,,,,,,,,,,,,3500,
"",Wholesale,,,,,,3000,,2300,,,,,,,,,,,,3000,
