Commodity,,,Kalerwe,Kiboga,Luwero,Masaka,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Kasese,Mbra,Avg
"",,Wholesale,1700,2000,2000,1800,1900,1800,1750,2100,,,2200,2000,1770,1800,1800,,1800,1530,1500,1841
Simsim,Kg,Retail,3000,3000,2700,,3000,2500,2300,2000,,2500,2500,2200,2600,2400,,,,2100,2300,250
"",,Wholesale,2800,2500,2500,,2500,1900,2100,1800,,2300,2300,1700,2500,2000,,,,2000,2000,220
Sorghum Flour,Kg,Retail,1000,,1600,,1000,900,1000,800,,1000,700,1500,720,600,,1200,900,1400,1000,1021
"",,Wholesale,700,,1400,,700,750,800,700,,800,600,1400,680,500,,950,800,1300,800,85
Sorghum Grain,Kg,Retail,700,700,1500,,800,450,700,700,,800,550,1100,900,500,,1100,850,1200,700,82
"",,Wholesale,500,500,1300,,500,400,600,600,,500,500,1000,750,450,,,750,1000,500,65
Soya Beans,Kg,Retail,,1500,1600,1400,1500,1100,1250,1800,1500,1300,1500,1500,,700,900,1400,1000,,,133
"",,Wholesale,,1200,1450,1300,1000,900,1100,1600,1350,1000,1400,1000,,600,800,900,800,,,1093
Sunflower,Kg,Retail,,,,,,400,,,,,400,,,,,,,,,40
"",,Wholesale,,,,,,350,,,,,350,,,,,,,,,35
Sweet Potatoes,Kg,Retail,,500,1150,700,500,500,1000,320,300,1000,450,550,800,1000,600,250,200,1000,,636
"",,Wholesale,,400,800,500,400,450,800,300,200,800,400,500,650,800,400,150,150,800,,50
Turkey,bird,Retail,,27000,30000,,45000,,28000,32000,,22000,29000,,,,,,,,35000,3100
"",,Wholesale,,24000,25000,,38000,,25000,30000,,18000,28000,,,,,,,,,2685
Vanilla (Unprocessed),Kg,Retail,,3000,,,,2700,,,,,,,,,,,,,3500,306
