Commodity,Units,Values,Average,Arua,Busia,Fort Porta Gulu,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara,NakaseroNakawa Owino,Soroti
Orange Fleshed Sweet Potatoes,Kg,R.P,1219,,,,2000,,2700,,,500,416,430,1983,1200,,1500,1000,1000,1200,700
"",,W.P,937,,,,1500,,2500,,,450,375,380,1933,600,,1000,500,500,1000,500
Pineapple,whole,R.P,1984,2000,1980,1150,3500,1750,2200,1125,2000,1175,800,4000,2313,1375,2500,1975,1750,2075,1800,2225
"",,W.P,1624,1700,1560,833,2600,1375,2000,950,1500,875,633,3875,2225,1000,2075,1550,1350,1625,1175,1950
Pork,Kg,R.P,6372,8000,5833,6000,8000,5000,5750,8000,6000,5750,6333,6000,6400,4750,6250,8500,4000,7250,7500,5750
"",,W.P,5865,8000,5717,5333,7000,4200,4725,8000,5500,5625,5733,5500,6150,4275,5450,7600,3800,6375,7000,5450
Processed Honey,Kg,R.P,7940,6167,5800,14750,6250,7225,4875,8500,,5333,7100,8000,10117,5667,9450,11200,7080,8333,10167,6900
"",,W.P,6848,5500,5167,12833,5050,6425,4275,7400,,4700,6360,6550,9133,4667,8000,9433,5960,7267,8000,6540
Simsim,Kg,R.P,2969,3500,3940,2775,2700,3380,2420,2467,4000,2400,2467,2558,2400,2250,3070,3780,3540,3000,3175,2583
"",,W.P,2519,2733,2506,2500,2300,2940,2150,2133,3500,2050,1967,2433,2133,1750,2720,3380,2820,2660,2892,2292
Sorghum Flour,Kg,R.P,1191,2000,1033,1117,1150,1200,1120,1400,1600,767,1180,900,1217,1133,1010,1421,700,1217,1192,1267
"",,W.P,1003,1333,917,1000,975,940,1004,1300,1400,658,1044,783,1017,867,870,1257,583,1033,1067,1008
Sorghum Grain,Kg,R.P,925,1200,1117,933,663,790,770,883,1500,663,780,1008,783,750,1000,1360,633,980,1017,750
"",,W.P,772,1000,790,733,538,654,644,767,1200,588,708,942,650,450,940,1230,533,770,867,667
Soya Beans,Kg,R.P,1746,1600,1850,2050,1667,1620,1500,1567,2500,1533,1680,1460,1958,1225,1850,1933,2217,1583,1833,1550
"",,W.P,1455,,1424,1683,1433,1360,1320,1367,1800,1300,1480,1290,1792,975,1425,1700,1617,1383,1567,1267
Sun Dried Cassava,Kg,R.P,720,800,770,800,1167,500,474,667,,690,533,640,872,633,760,920,400,930,792,617
"",,W.P,623,700,710,600,867,454,434,583,,626,497,570,822,577,690,770,350,740,675,543
Sunflower,Kg,R.P,866,,400,,1800,400,400,,,475,390,1113,400,400,,3725,400,400,1000,820
"",,W.P,789,,350,,1700,370,370,,,410,360,1100,350,350,,3338,350,350,905,744
Super Rice,Kg,R.P,2677,3400,2517,2480,2550,2780,2500,2560,3200,2500,2560,2640,2658,2175,2740,2917,2833,2750,2567,2533
"",,W.P,2389,3100,2233,2200,2250,2420,2220,1998,2900,2292,2180,2400,2492,1925,2500,2750,2500,2400,2333,2300
Tilapia,whole,R.P,7661,11333,5417,6714,9125,8880,6640,4567,4000,5917,9240,8583,9250,7700,9700,10083,6500,5667,11167,5083
"",,W.P,6199,,4633,5357,5925,7140,5800,4067,3000,4750,8300,7750,8350,6200,8000,8083,5250,4583,9900,4500
Turkey,bird,R.P,34437,,16250,14400,30000,49000,34000,30000,,37500,37500,23000,60000,37000,30000,30000,36333,43250,33000,44200
"",,W.P,30311,,15250,20000,20000,43000,32400,25000,,31000,32500,28000,55750,29000,27000,27000,30333,35250,23000,40800
Unprocessed Cotton,Kg,R.P,1100,,,800,,,1200,,,1200,1850,,,1050,,,,400,,1200
"",,W.P,890,,,600,800,,1100,600,,1100,1550,,,850,,,,400,800,1100
Unprocessed Honey,Kg,R.P,4425,,3050,5500,3629,5167,4333,2400,,2240,4500,6250,8250,3000,6300,3050,4175,5333,5543,2500
"",,W.P,3799,,2700,4533,2941,4500,3333,2500,,1980,4000,5100,7825,2500,5200,2750,3475,4467,4480,2300
Unprocessed Tea,Kg,R.P,1533,,,,,400,400,,5000,400,400,,,400,,,6000,,400,400
"",,W.P,1161,,,,,350,350,,4000,350,350,,,350,,,4000,,350,350
Unprocessed Vanilla,Kg,R.P,8466,,,4000,,2700,2700,,,2500,2700,4000,,2700,5500,,60000,,3625,2700
"",,W.P,5864,,,2000,,2300,2300,,,2000,2300,2000,,2300,4250,,40000,,2750,2300
Upland Rice,Kg,R.P,2445,3400,2220,2440,2533,2200,2100,2350,3000,2150,2300,2560,2867,1975,2000,2720,2700,2540,2650,1750
"",,W.P,2236,3000,2000,2180,2267,1975,2133,2400,2700,1933,2100,2320,2750,1775,1700,2560,2450,2300,2450,1500
White fleshed Sweet Potatoes,Kg,R.P,1143,800,1367,1200,1500,2300,357,2933,1000,500,416,430,1967,1500,250,1500,1000,1000,1000,700
"",,W.P,831,600,1067,800,1000,1800,340,2500,500,500,375,380,1933,500,200,1000,500,500,800,500
Yellow Beans,Kg,R.P,1658,1933,1633,1786,1575,1540,1610,1560,2200,1600,1220,1292,1867,1388,1600,1717,2200,1600,1517,1667
"",,W.P,1442,1567,1219,1543,1375,1380,1410,1380,2000,1550,1100,1192,1750,1225,1400,1517,1650,1300,1367,1475
