"",,,,,Central,,,,,Eastern,,,,Northern,,Western,
Commodity,Unit,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Gulu,Lira Arua,Hoima,Kasese Mbarara,AVG
"",,Wholesale,"1,400",900,"1,200",750,900,"1,000",800,"1,000",900,750,850,900 900,"1,000","1,100 1,600",997
Rice (Kayiso),1Kg,Retail,"1,600","2,000","2,400","1,800","1,700","1,500","1,500","1,800","1,700",,"2,000","2,000 2,000",,"1,800 2,500","1,879"
"",,Wholesale,"1,500","1,800","2,000","1,500","1,600","1,300","1,350","1,600","1,500",,"1,700","1,900 1,600",,"1,800 2,300","1,675"
Rice (Super),1Kg,Retail,"2,000","2,200","1,800","2,200","2,200","2,000","2,000","2,000","2,000",,"2,500","2,000 2,200","2,200","2,000 2,000","2,087"
"",,Wholesale,"1,900","1,950","1,600","1,850","1,800","1,800","1,750","1,800","1,800",,"2,000","2,000 1,900",,"2,000 2,000","1,868"
Simsim,1Kg,Retail,"3,000","3,500",,"3,000","2,500","2,200","2,200",,"3,000","2,000","2,200","2,600 2,400",,"2,000","2,550"
"",,Wholesale,"2,800","3,000",,"2,400","1,700","2,000","2,000",,"2,700","1,700","2,000","2,400 2,200",,"2,000","2,242"
Sorghum Flour,1Kg,Retail,"1,200",,,"1,000","1,000","1,000",800,700,700,600,800,"1,300 1,500",,"1,300",992
"",,Wholesale,900,,,700,800,900,700,500,600,500,700,"1,200 1,400",,"1,200",842
Sorghum Grain,1Kg,Retail,"1,200",700,,800,720,800,700,,600,500,850,"1,000 900",,"1,100 1,000",836
"",,Wholesale,900,550,,500,670,700,600,,400,450,800,900 700,,"1,100 700",690
Soya Beans,1Kg,Retail,"2,500","1,500","1,500","1,400","1,100","1,200","1,100","1,500","1,700","1,100","1,200","1,200 1,500","1,200","2,000 1,800","1,469"
"",,Wholesale,"2,300","1,000","1,400","1,000",900,"1,000","1,000","1,300","1,400","1,000","1,000","1,200 1,200",,"2,000 1,500","1,280"
Sunflower,1Kg,Retail,,"2,100",,,470,600,,,,400,,550,,,824
"",,Wholesale,,"1,900",,,450,500,,,,350,,500,,,740
Sweet Potatoes,1Kg,Retail,500,500,800,300,400,600,200,200,500,200,500,"1,000 600",500,320,475
"",,Wholesale,260,400,700,250,370,520,190,150,300,150,400,800 500,250,300,369
Tea (Unprocessed),1Kg,Retail,,,,,400,,,,,,,,,,400
"",,Wholesale,,,,,350,,,,,,,,,,350
Turkey (Bird),bird,Retail,,"23,000",,"35,000","40,000","25,000","25,000",,"30,000","22,000","23,000","20,000 13,000",,"10,000","24,182"
"",,Wholesale,,"20,500",,"30,000","35,000","22,000","22,000",,"20,000","19,000","19,500","18,000 11,000",,"8,000","20,455"
Upland Rice,1Kg,Retail,"1,600","1,800","2,000",,"1,600","1,400","1,400",,,,"2,000","1,800","1,600","1,800 2,000","1,727"
"",,Wholesale,"1,500","1,600","1,800",,"1,500","1,250","1,300",,,,"1,300","1,800","1,200","1,800 1,800","1,532"
Vanilla (Unprocessed),1Kg,Retail,,"1,800",,,"2,500",,,,,,,,,,"2,150"
"",,Wholesale,,"1,500",,,"2,000",,,,,,,,,,"1,750"
