Dry Fermented Cassava,1 Kg,Wholesale,900,465,,273,205,,530,1500,333,,1500,230,660,
"",,Retail,1100,500,,310,230,,640,1800,417,,1700,250,772,
Fresh Cassava,1 Kg,Wholesale,300 1600 600 400,475,600,613,225 400,373,1600,800,280 400,1500,400 1325,1000,716,
"",,Retail,500 2000 1200 500,525,700,753,245 500,227,2000,1000,330 500,2000,500 1375,1000,881,
Irish Potatoes,1 Kg,Wholesale,500 1800 1300 600,3950,700,783,800 400,783,1320,1200,1100 1000,650,402 1375,6000,1370,
"",,Retail,1000 2500 1700 700,800,800,867,900 500,883,1720,1500,1200 1200,700,444 1475,7000,1438,
Orange Fleshed S.Potato,1 Kg,Wholesale,4000 700,500,600,,400,550,,800,300,,220 1325,1000,945,
"",,Retail,5000 1100,575,700,,500,600,,1000,340,,240 1375,1000,1130,
Sun Dried Cassava,1 Kg,Wholesale,1200 533,465,500,293,280,317,674,1500,267 300,,1063,230,586,
"",,Retail,1600 1000,500,511,337,300,417,862,1800,317 417,,1275,250,737,1500
White fleshed s.Potato,1 Kg,Wholesale,500 2400 700 500,450,500,703,290 300,,2400,600,300 550,1700,207 1275,1000,846,
"",,Retail,1000 2600 1100 600,500,600,910,310 400,,2600,800,340 700,2000,233 1325,1000,1001,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,
Coffee (Robusta),1 Kg,Wholesale,,,1700,2100,2050,,,,,,,3800,2413,
"",,Retail,,,1800,2300,2300,,,,4500,,,4000,2980,
Unprocessed Cotton,1 Kg,Wholesale,2400,,1800,2300,2150 1700,,,,,,,2800,2192,
"",,Retail,2800,,2000,2500,2500 1800,,,,1600,,,2900,2300,
Unprocessed Tea,1 Kg,Wholesale,48000,350,,33000,33500,,48000,,,,,,32570,
"",,Retail,55000,400,,35000,35500,,55000,,,,,,36180,
