Commodity,Units,Values,Average Arua,Busia,Fort PortGulu,Hoima,Iganga,Kabale,Kalerwe Kasese,Kiboga,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Sorghum Grain,Kg,R.P,1019,1350,1233,583,650,853,1000,1367,1150,1550,1067,1275,500,1200,1033,800,550,1000,1200,1042
"",,W.P,786,1075,800,500,600,625,717,1067,850,1275,833,1050,400,850,833,500,500,700,975,833
Soya Beans,Kg,R.P,1784,1525,1767,1867,1200,1875,1617,1733,2000,2625,1650,1550,2450,1550,1767,1500,2150,1550,1600,1783
"",,W.P,1408,1200,1152,1533,1000,1475,1300,1333,1600,2050,1317,1250,2050,1200,1350,1200,1600,1300,1300,1450
Sun Dried Cassava,Kg,R.P,725,767,830,300,400,560,640,,800,1000,700,700,1175,800,720,800,300,1000,800,725
"",,W.P,553,717,650,260,,373,422,,400,900,488,600,1050,400,556,400,280,650,600,588
Sunflower,Kg,R.P,1530,,,400,,,,,,,,1250,,,,,400,,1200,4400
"",,W.P,775,,,350,600,,,,,,,1250,,,,,350,,1100,1000
Super Rice,Kg,R.P,2660,3050,2667,3167,3000,2500,2350,2525,2700,2200,2617,2500,3400,1900,2600,1800,3500,2800,2675,2550
"",,W.P,2329,2725,2300,2800,2700,2100,2083,2200,2300,1900,2317,2200,3000,1600,2317,1600,3000,2450,2375,2267
Tilapia,whole,R.P,6684,8375,5500,5750,13000,5375,6250,6100,5000,5250,4583,6750,7250,4000,8417,6000,5500,6250,10375,5167
"",,W.P,5277,2700,4817,4817,8000,4475,5333,5360,4000,4600,3783,6500,6000,3400,7133,5000,4400,5250,8675,4533
Turkey,bird,R.P,38756,,19500,23667,25000,42000,45200,,42000,,,,45250,47500,35800,50000,34000,43500,39667,49500
"",,W.P,32185,,16500,20667,15000,35000,39500,,35000,,,,42000,37500,30000,40000,25000,38000,31667,44750
Unprocessed Honey,Kg,R.P,5945,,6500,2500,6000,6500,6180,9000,6500,4500,7625,,,6500,6500,6500,2500,6500,6500,6500
"",,W.P,5307,,6000,2000,4000,6000,5600,8500,6000,3500,6750,,,6000,6000,6000,2000,6000,6000,6000
Unprocessed Tea,Kg,R.P,6890,,5000,,,,27500,5000,5000,5000,5000,5000,,5000,5000,,6000,,400,
"",,W.P,3635,,4000,,,,4000,4000,4000,4000,4000,4000,,4000,4000,,4000,,350,
Unprocessed Vanilla,Kg,R.P,27375,,40000,,,,,,,,,,,,6000,,60000,,3500,
"",,W.P,14125,,3500,,,,,,,,,,,,5000,,45000,,3000,
Upland Rice,Kg,R.P,2378,2900,2233,2800,2800,2250,2117,2583,2300,2200,2350,2500,,2000,1933,2000,3200,2300,2375,1933
"",,W.P,2035,1600,1950,2650,2500,2025,1817,2300,2050,1975,2100,2200,,1600,1600,1600,2900,2100,2125,1600
White fleshed Sweet Potatoes,Kg,R.P,917,1000,992,1500,1600,750,1042,1125,800,1000,700,575,,725,375,450,1000,750,900,1000
"",,W.P,639,650,775,1000,1200,450,964,775,500,750,467,425,,425,287,350,500,450,650,717
Yellow Beans,Kg,R.P,2057,2100,2100,2000,1700,2100,2033,2160,2200,2150,2042,1750,2150,2100,2033,2000,2250,2100,2000,2100
"",,W.P,1800,1867,1663,1842,1425,1850,1817,1960,1900,2000,1758,1600,1900,1900,1817,1750,1775,1700,1775,1867
