CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara,Avg
Rice (Kayiso),Kg,Retail,1800,2800,2300,2400,,2200,1750,1700,2200,1800,2000,2200,1850,2000,,,2500,2600,214
"",,Wholesale,1600,2500,2200,2000,,2000,1650,1600,2000,1600,1900,,1750,1800,,,2300,2550,196
Rice (Super),Kg,Retail,2400,2300,2300,2400,2500,2400,2100,2200,2300,2400,2400,2500,2700,2500,2500,2400,2500,2500,240
"",,Wholesale,2100,2200,2200,1900,2300,2200,1950,2000,2100,2200,2000,2000,2550,2300,2350,2300,2350,2450,219
Rice (Upland),Kg,Retail,1600,2200,2200,2300,2500,,1800,1800,2000,,,2000,1450,2000,2400,,2300,,204
"",,Wholesale,1500,2000,2000,1800,2300,,1700,1700,1800,,,1800,1400,1800,2200,,2100,,185
Simsim,Kg,Retail,3000,,3500,3300,4500,3000,2600,3000,2500,3000,2300,2000,2700,2800,,2000,3000,3800,293
"",,Wholesale,2800,,3000,2900,4000,2650,2400,2800,2400,2800,1900,,2500,2600,,1800,2500,3500,270
Sorghum Flour,Kg,Retail,1000,900,1200,,2000,1000,900,1000,1000,900,1000,1500,1350,,1000,2000,,900,117
"",,Wholesale,700,800,1000,,1700,750,700,900,900,800,700,1300,1100,,800,1800,,750,98
Sorghum Grain,Kg,Retail,700,800,1000,,2000,530,600,900,,600,500,850,1000,,,1100,800,1000,88
"",,Wholesale,500,700,900,,1700,500,500,820,,550,400,750,850,,,100,700,900,70
Soya Beans,Kg,Retail,2000,1400,1800,1900,1600,1000,1500,1800,1800,1000,1200,,,1000,2700,,1600,3000,168
"",,Wholesale,1800,1200,1500,1800,1500,800,1300,1700,1700,800,1000,,,900,2500,,1300,2000,145
Sunflower,Kg,Retail,,,,,,,,,,,500,,,,,,,,50
"",,Wholesale,,,,,,,,,,,450,,,,,,,,45
Sweet Potatoes,Kg,Retail,580,208,1000,1500,400,620,1000,900,500,230,550,300,700,500,1500,1000,700,,71
"",,Wholesale,500,166,1000,1000,350,570,800,800,400,215,400,270,500,400,1000,700,500,,56
Turkey,bird,Retail,,,35000,,40000,36000,35000,,,,36000,,,,,,30000,,3533
"",,Wholesale,,,30000,,30000,38000,32000,,,,34000,,,,,,26000,30000,3142
Vanilla (Unprocessed),Kg,Retail,,,,,,,,,,,,,,,,,3000,,300
