"",,Wholesale,,,,,,,,700,,,,,,,,,
Cow Peas,Kg,Retail,2000,1900,2000,2600,3000,2500 2800,1800,,1800,1700,1400,2500,,1500,3000,2100,2200
"",,Wholesale,1800,1800,1800,2400,2000,2000 2500,1600,1800,1700,1500,1000,,,1200,,2000,2000
"Dried Beans, Agwede",Kg,Retail,,,2000,1600,,1200 1100,1500,1400,,,1350,,,1300,,,
"",,Wholesale,,,1800,1300,,1000 1000,1400,1200,,,1200,,,1200,,,
"Dried Beans, Nambale",Kg,Retail,1800,,1500,2700,2500,1400 1000,1550,1500,1200,1200,1400,1500,1500,1300,1000,1400 1300,
"",,Wholesale,1600,,1400,2200,2200,1100 900,1450,1400,1000,1000,1300,1400,1400,1200,800,1300 1250,
"Dried Beans, Yellow",Kg,Retail,1800,1400,1800,1500,2300,1500 1400,1500,1800,,5500,1500,1600,1600,1500,1000,1500 1500,1650
"",,Wholesale,1600,1300,1700,1200,2200,1300 1200,1400,1700,,5300,1300,1500,1400,1400,800,1400 1400,1550
"Eggs, Exotic",tray,Retail,5000,6500,6000,5700,4500,6000 5000,6200,6500,6000,5500,5900,7500,,6000,6000,8000 5800,6000
"",,Wholesale,4500,6000,5700,4500,4000,5000 4500,5000,6000,5500,5300,5700,6000,,5800,5000,6500 5500,5500
"Eggs, Local",tray,Retail,8000,9000,6500,9000,12000,9000 11000,8600,7000,10000,900,7100,7500,,6500,9000,9000 8800,10000
"",,Wholesale,7500,7500,6000,7500,11000,7000 9000,6800,6500,65000,7500,6900,,,6000,,7500 8500,9000
"Fish, Nile Perch",Kg,Retail,6000,,7000,5000,,7000 7000,4800,8000,,5000,4500,5000,,8000,,,4800
"",,Wholesale,5000,,7000,4000,,6000 6000,3800,7000,,4500,4000,5000,,7000,,,4000
"Fish, Tilapia",whole,Retail,3500,4500,4000,3500,60000,4500 5500,5200,7000,,3500,5500,6000,,8000,7000,4500,4500
"",,Wholesale,3000,3000,3500,2500,5000,4000 4500,4000,6000,,,5000,,,7000,,4000,4000
Goat Meat,Kg,Retail,6000,6000,5000,5500,6000,6000 6000,5500,6000,5000,5000,5000,5500,6000,5000,7000,5000 6000,4500
"",,Wholesale,5000,5000,5000,4500,5700,4800 4500,5000,5000,4500,4500,4800,5500,5500,5000,,4800 5800,3600
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000,2200,3000,2800 2800,2900,2700,3000,2400,2400,3000,2400,2600,3000,2800 2600,2700
"",,Wholesale,2600,2200,2800,2100,250,2500 2250,2780,2500,2800,2200,2000,,2300,2400,2500,2700 2400,2400
"Honey, Processed",ltr,Retail,,7000,3500,5500,8000,8000,8000,6000,,,6400,,,,,9000,10000
"",,Wholesale,,6000,3000,4000,7500,7000,7000,5000,,,6100,,,,,7500,8000
"Honey, Unprocessed",ltr,Retail,,3500,3000,,,6000,5000,4000,,,3200,,,,,7000,7500
"",,Wholesale,,3100,2500,,,5000,4000,3000,,,3100,,,,,6000,6500
Irish Potatoes,Kg,Retail,,291,1200,1800,900,600 620,800,800,500,500,800,1000,1200,1200,700,500 800,1000
"",,Wholesale,,250,1000,1500,800,500 600,670,700,400,450,700,,1000,1000,,450 700,700
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro
Maize Flour,Kg,Retail,1500,1300,1500,1600,1700,1500 1300,1300,1400,1200,1000,1400,1500,1500,1800,1400,2000,1400,1600
"",,Wholesale,1400,1100,1200,1400,1500,1300 1150,1150,1300,1000,950,1000,1350,1300,1000,1300,1800,1300,1300
Maize Grain,Kg,Retail,1100,1150,1000,1000,1400,1000 700,620,600,600,580,600,650,720,700,630,1500,1000,600
"",,Wholesale,1000,1050,800,700,1000,900 680,570,570,550,560,550,550,680,650,600,1400,900,500
Matooke,Kg,Retail,450,200,1200,450,500,730 370,500,280,500,1000,550,350,,1200,500,,800,800
"",,Wholesale,400,175,1000,425,450,635 350,420,240,400,800,500,300,,1000,,,680,600
Matooke (Bunch),Bunch,Retail,12000,8000,17000,18000,16000,16000 17000,18000,14000,10000,12000,12000,8300,17000,,10000,18000,17000,12000
"",,Wholesale,10000,7000,15000,17000,13000,14000 15000,16000,12000,8000,9000,11000,7800,15500,,,13000,16500,8000
Milk,Ltrs,Retail,1000,1000,800,1000,900,900 800,1000,800,450,800,800,1000,1000,1000,800,500,800,900
"",,Wholesale,800,900,750,800,800,800 700,900,700,400,700,700,1000,800,800,700,450,750,600
Millet Flour,Kg,Retail,1200,1600,1200,1500,2000,2000 2000,1500,1500,1800,1200,1500,1800,2300,,3000,2000,1400,1600
"",,Wholesale,900,1500,1000,1300,1800,1600 1700,1250,1400,1700,1100,1350,1600,2000,,,1800,1300,1400
Millet Grain,Kg,Retail,1200,,1000,1600,1700,1400 1150,1100,1000,1300,1500,1100,1200,1000,,1200,1500,1100,1250
"",,Wholesale,900,,1000,1400,1600,1200 1100,1000,900,1200,1200,1000,1000,800,,1000,1400,1000,950
Pineapple,whole,Retail,800,800,1500,800,2500,1000 1500,1900,2300,,1500,1800,2500,,,,1000,1600,2500
"",,Wholesale,500,500,1300,600,2000,700 1200,1400,2000,,1000,1500,1800,,,,700,1500,1400
Pork,Kg,Retail,5000,5000,4500,,,5000,,6000,4000,4200,4000,5000,5000,5000,5000,6000,,4000
"",,Wholesale,4500,4500,4500,,,3500,,5000,3600,3700,3700,5000,4500,4500,,5000,,3300
Rice (Kayiso),Kg,Retail,1800,2800,2300,2400,,1900 2000,1700,1800,2100,1800,2000,2200,1800,1900,,,,2500
"",,Wholesale,1600,2500,2200,2000,,1700 1700,1600,1600,2000,1700,1900,,1700,1700,,,,2350
Rice (Super),Kg,Retail,2400,2300,2300,2400,2600,2600 2400,2200,2000,2300,2400,2400,2500,2500,2500,2000,2500,2400,2500
"",,Wholesale,2200,2200,2200,1900,2500,2200 2100,2100,1800,2200,2250,2000,2000,2000,2300,1800,2350,2300,2300
Rice (Upland),Kg,Retail,1700,2200,2200,2300,2500,1900 2000,1800,1700,2000,,,2000,1400,1900,1800,2400,,2300
"",,Wholesale,1500,2000,2000,1800,2300,1700 1800,1750,1500,1800,,,1800,1300,1700,1600,2200,,2100
Simsim,Kg,Retail,3000,,3500,3300,5000,3000 3000,2500,2800,2500,2800,2200,2000,2700,2800,,,2000,3000
"",,Wholesale,2800,,3000,2900,4000,3000 2650,2300,2600,2400,2400,1800,,2500,2700,,,1800,2250
Sorghum Flour,Kg,Retail,1000,900,1200,,1800,1200 1000,900,1000,1000,900,1000,1500,1800,,,1000,1600,
"",,Wholesale,700,800,1000,,1500,900 750,700,900,900,700,750,1300,1500,,,800,1500,
Sorghum Grain,Kg,Retail,700,800,1000,,1600,1000 530,600,900,,550,450,850,850,,,,1100,800
"",,Wholesale,500,700,900,,1400,700 500,500,800,,500,380,750,700,,,,1000,700
Soya Beans,Kg,Retail,2000,1400,1800,1900,2300,1600 1000,1200,1700,1800,1200,1200,2000,,1000,1500,2700,,1600
"",,Wholesale,1800,1200,1500,1800,2000,1300 800,1000,1600,1700,1000,1000,,,950,1000,2500,,1300
Sunflower,Kg,Retail,,,,,,400,,,,,500,,,,,,,
"",,Wholesale,,,,,,350,,,,,450,,,,,,,
Sweet Potatoes,Kg,Retail,560,208,1000,1500,400,500 620,1100,360,500,210,550,280,,500,300,1500,1200,700
"",,Wholesale,500,166,1000,1000,350,400 570,900,340,400,200,400,200,,400,200,1000,1000,500
Turkey,bird,Retail,,,35000,,32000,45000 45000,33000,58000,,,37000,,,,,,,30000
"",,Wholesale,,,30000,,25000,35000 35000,31000,55000,,,35000,,,,,,,26000
Vanilla (Unprocessed),Kg,Retail,,,,,,2700,,,,,,,,,,,,3500
"",,Wholesale,,,,,,2300,,,,,,,,,,,,3000
