Commodity,Units,Values,Average Arua,Busia,Fort PortGulu,Hoima,Iganga,Jinja,Kabale,Kalerwe Kiboga,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Unprocessed Honey,Kg,R.P,5050,,4907,3250,2500,8000,5632,5250,8282,,6917,3750,5000,5500,2600,,3629,6815,7000,,3629
"",,W.P,4196,,4310,2850,2300,6000,4985,4000,6985,,5900,3300,4000,4900,2200,,2941,5221,6000,,2941
Unprocessed Tea,Kg,R.P,5167,,,,,,,5000,5000,5000,5000,,5000,,,5000,5000,6000,5500,5000,
"",,W.P,4000,,,,,,,4000,4000,4000,4000,,4000,,,4000,4000,4000,4000,4000,
Unprocessed Vanilla,Kg,R.P,15900,,,,,,5000,,,,,,,,,6000,,60000,,3500,5000
"",,W.P,11533,,,,,,4000,,,,,,,,,5000,,41667,,3000,4000
Upland Rice,Kg,R.P,2661,3200,2567,2800,2900,2733,2520,2520,2750,3000,2580,2900,2600,,2100,2200,2933,2683,2533,2567,2400
"",,W.P,2323,,2233,2600,2533,2433,2160,2280,2350,2700,2340,2700,2300,,1775,1800,2667,2383,2317,2267,2000
White fleshed Sweet Potatoes,Kg,R.P,1104,900,1467,1067,1500,1500,1400,640,1467,1000,680,375,730,2000,1125,625,1333,1000,908,1033,900
"",,W.P,750,680,1200,800,1000,1133,980,422,1250,500,500,333,490,1500,500,350,833,533,558,633,550
Yellow Beans,Kg,R.P,2057,2000,1683,2040,1700,2100,2217,2150,2500,2200,1900,1150,1683,1667,2060,2233,2100,2671,2421,2433,2083
"",,W.P,1794,1800,1317,1880,1440,1863,1917,1942,2075,2000,1714,1050,1417,1617,1880,2000,1850,2086,2011,2083,1850
