Maize Flour,Kg,Retail,1300,900,1300 850,1200,800,1000,1000,700 1000,800,1100,1500,1500 1500,1200,1400 1000,1400,1128.9,
"",,Wholesale,1100,800,1200 750,800,700,750,800,600 800,600,850,1200,1350 1200,900,1300 900,1200,936.84,
Maize Grain,Kg,Retail,1000,350,350 250,800,350,400,300,310 500,370,400,700,500 500,800,600 500,700,509.47,
"",,Wholesale,700,300,330 200,500,310,360,240,300 400,350,350,500,400 400,600,550 350,600,407.37,
Millet Flour,Kg,Retail,1200,1200,1400 1500,2000,1800,,1250,1500 1800,1800,1600,2000,2000 2500,3500,1500 1500,1300,1741.7,
"",,Wholesale,900,1100,1300 1300,1600,1600,,1050,1400 1700,1600,1400,1500,1800 2000,3000,1400 1300,1000,1497.2,
Millet Grain,Kg,Retail,1200,1100,1000 1500,1200,1100,1200,1000,1200 1200,1200,1100,1000,1200 900,2000,1100 1200,1650,1213.2,
"",,Wholesale,900,1000,800 1300,1000,1000,1050,950,1100 1100,1150,1000,830,900 700,2000,1000 1000,1400,1062.1,
Rice (Kayiso),Kg,Retail,1800,2800,2000 2200,2000,1700,1600,1700,1500 2200,1600,1800,2000,1900 2000,2500,,2300,1976.5,
"",,Wholesale,1600,2500,1800 1800,1700,1550,1450,1500,1400 2100,1500,1600,1700,1800 1900,2500,,2000,1788.2,
Rice (Super),Kg,Retail,2400,2300,2200 2100,2600,2300,2500,2000,2000 2300,2050,2200,2500,2700 2200,2500,2400 2000,2400,2297.4,
"",,Wholesale,2100,2200,2000 1800,2200,2100,2270,1900,1800 2200,1885,1800,1700,2600 2000,2500,2300 1800,2100,2066.1,
Rice (Upland),Kg,Retail,1700,2200,2200 2200,2000,1900,,1750,1500 2000,,,2000,1900 2000,2700,,2800,2060.7,
"",,Wholesale,1500,2000,2000 1700,1700,1700,,1600,1400 1800,,,1500,1700 1900,2700,,2500,1835.7,
Simsim,Kg,Retail,3000,,3000 2900,2800,2500,3000,2400,2800 2500,2800,2500,2400,2400 2300,4000,2000,4000,2782.4,
"",,Wholesale,2800,,2800 2700,2400,2200,2760,2100,2700 2400,2400,2000,1900,2300 2000,3500,1800,3800,2503.5,
Sorghum Flour,Kg,Retail,1000,900,1800,1000,700,,950,1100 1000,500,1000,1000,1700 1800,,1600 1300,1000,1146.9,
"",,Wholesale,700,800,1500,700,560,,700,900 900,400,700,700,1500 1500,,1500 1100,750,931.88,
Sorghum Grain,Kg,Retail,700,800,2000,800,350,400,650,1000,350,350,800,450 300,1500,1200,850,781.25,
"",,Wholesale,500,700,1800,500,300,342,500,900,300,300,600,400 300,1500,1100,750,674.5,
Fish,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,,5000 4500,7000,8000,4000,5000,7000,4800,5000,5000,3800 7000,7500,10000,7000,6037.5,
"",,Wholesale,5000,,5000 3500,6000,6500,3600,4000,6500,4500,4500,,3500 6000,7000,8000,6500,5340,
"Fish, Tilapia",whole,Retail,3500,4500,3000 3500,4000,6000,4000,6000,9000 1200,4000,7500,9000,5000 7000,4500,4500 8000,7000,5326.3,
"",,Wholesale,3000,4000,2800 2500,3500,5000,3700,5000,8000 1100,3700,5500,,4500 6000,3500,4000 6000,6500,4350,
Fruits,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,500,800 1200,1000,1300,1000,1200,250 400,1200,450,600,1500,1000,900 700,950,886.11,
"",,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,700,450,700 800,700,1200,900,800,220 300,1000,400,500,1300,700,800 600,900,720.56,
Cavendish (Bogoya),Kg,Retail,1200,750,1200 1200,1000,1700,1200,2500,800 1000,1500,650,600,2400 2000,2000,1300 2500,1300,1410.5,
"",,Wholesale,1150,650,1000 800,800,1600,950,1800,700 800,1000,500,500,2000 1800,1500,1200 2000,1050,1147.4,
Matooke,Kg,Retail,300,375,2000 375,620,350,1000,450,240 250,1200,650,400,1200 1000,1500,700,800,745,
"",,Wholesale,260,350,1800 300,540,300,900,350,220 200,1000,500,350,1000 800,1000,650,700,623.33,
Matooke (Bunch),Bunch,Retail,10000,15000,13000 11000,14000,12000,17000,15000,12000 5000,10000,24000,10500,19000 13000,6000,17000 15000,7000,12921,
"",,Wholesale,8000,14000,11500 10000,12000,10000,15500,13000,11000 4000,8000,21000,9000,16000 6000,5500,16500 10000,6500,10921,
Pineapple,whole,Retail,1500,1000,1200 800,2000,1200,1500,1500,1200,2500,2800,,1900 3000,1000,1800 1000,1000,1582.4,
"",,,,,,,,,,,,,,,,,,,2500
"",,Wholesale,1000,700,800 500,1700,800,1200,1000,1100,2000,2200,,1700 500,800,1700 700,800,1129.4,
"",,,,,CENTRAL,,,,,EASTERN,,,,NOTHERN,,WESTERN,,,
CommodityName Unit,,,KAL,KIB,LUW MSK,NAK,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,KAS KLE,MBR,Avg,Organic Prices
Oil Seeds,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded Kg",,Retail,3000,2800,3000 2300,3300,3000,3200,2800,3100 3200,2600,3000,3000,2200 3600,3200,2800 3000,2600,2931.6,
"",,Wholesale,2800,2600,2700 2100,2700,2450,2950,2650,2900 3000,2500,2700,2600,2000 3400,3000,2600 2800,2400,2676.3,
Soya Beans Kg,,Retail,2000,1400,1800 1900,1500,1300,1300,1500,1800 1800,1800,1450,1500,900 1000,2000,2400,2800,1675,
"",,Wholesale,1800,1200,1500 1800,1300,1100,990,1300,1700 1700,1500,950,800,750 900,1300,2250,1900,1374.4,
Sunflower Kg,,Retail,,,,,400,,,,,450,,,,,3200,1350,
"",,Wholesale,,,,,370,,,,,400,,,,,3000,1256.7,
Poultry Products,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic bird",,Retail,7000,,7000 7500,6000,7000,7000,6000,6500,6500,10000,,8500 5000,9000,8500 8000,14000,7718.8,
"",,Wholesale,6500,,6000 6500,5000,5500,6500,5000,5500,5000,8000,,6500 4500,7000,8000 6000,12000,6468.8,
"Chicken, Local bird",,Retail,10000,15000,8500 15000,,15000,10000,12000,15000 8000,7500,12000,12000,13000 9000,18000,16000 10000,15000,12278,
"",,,,,,,,,,,,,,,,,,,15000
"",,Wholesale,9000,13000,8000 12000,11500,13000,9000,10000,14000 6000,6000,8500,10000,11500 7000,16000,15500 9000,14000,10684,
"Eggs, Exotic tray",,Retail,5000,6000,4000 4500,6000,5000,7500,5300,6000 6000,5500,5800,7500,7200 6000,6000,6000 6000,7300,5926.3,
"",,Wholesale,4500,5500,3800 3500,5200,4500,5400,4900,5500 5500,5300,5600,5700,5800 5700,5500,5800 5000,6700,5231.6,
"Eggs, Local tray",,Retail,8500,9000,4500 9000,12000,13000,,8000,7000 7000,9000,9000,7500,6500,9000,8500 9000,8000,8500,
"",,Wholesale,7500,7500,4200 7500,10000,10000,,6000,6000 6500,9500,8500,,6000,7000,8000 7500,6800,7406.3,
Turkey bird,,Retail,,,,42000,46000,8000,32000,52000,30000,35000,,,,,,35000,
"",,Wholesale,,,,35000,35000,8000,30000,50000,25000,33000,,,,,35000,31375,
Pulses,,,,,,,,,,,,,,,,,,,
Cow Peas Kg,,Retail,2000,1800,2500 2500,2400,3000,2200,1800,1800 1800,1600,1500,2300,1500,2200,2300,1500,2041.2,
"",,Wholesale,1800,1700,2000 2300,2000,2800,1750,1600,1700 1700,1500,1300,,1400,2000,2200,1300,1815.6,
"Dried Beans, Agwede Kg",,Retail,,,1400,1400,1300,,1300,1200,,1400,,1400,,,,1342.9,
"",,Wholesale,,,1200,1200,1100,,1100,1100,,1300,,1300,,,,1185.7,
"Dried Beans, Nambale Kg",,Retail,1800,,1500 1600,1600,1500,1400,1400,1500 1200,1350,1600,1500,1500 1400,1400,1600 1200,1300,1463.9,
"",,Wholesale,1600,,1300 1400,1300,1350,1050,1250,1400 1000,1250,1350,1300,1400 1300,1400,1550 1100,1200,1305.6,
"Dried Beans, Yellow Kg",,Retail,1800,850,1500 1000,2000,1700,1600,5300,1500,1300,1600,1500,1800 1500,1600,1800 1100,1650,1727.8,
"",,Wholesale,1600,750,1300 800,1700,1550,1400,4900,1400,1200,1350,1400,1600 1400,1600,1700 1000,1500,1563.9,
Root Crops,,,,,,,,,,,,,,,,,,,
"Cassava, Dry FermentedKg",,Retail,,,,,480,,500,240,700,400,700,1500 1200,,780,1000,750,
"",,Wholesale,,,,,450,,410,220,600,280,450,1350 1000,,760,800,632,
"Cassava, Flour Kg",,Retail,800,1300,800 1400,800,700,800,900,800 1000,700,1000,700,2000 1000,1000,1100 1000,1100,994.74,
"",,Wholesale,700,1100,750 750,600,600,500,750,750 900,600,700,560,1800 800,800,1000 900,1000,818.95,
"Cassava, Fresh Kg",,Retail,330,525,800 1200,400,520,600,800,240 500,150,400,700,1200 1000,1000,1000 1000,1000,703.42,
"",,Wholesale,280,425,500 800,300,500,480,600,230 400,140,300,650,1000 900,1000,800 800,800,573.95,
"Cassava, Sun dried Kg",,Retail,,,,800,480,400,400,300,500,,700,1500 700,,750,1400,720.91,
"",,Wholesale,,,,600,450,360,360,280,425,,450,1300 600,,700,1200,611.36,
Irish Potatoes Kg,,Retail,570,416,800 1200,640,550,350,750,700 350,450,850,1000,1400 1200,1500,700 450,1400,804,
"",,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,500,375,700 1000,560,500,280,650,600 300,400,700,,1200 1000,1000,600 400,1200,664.72,
Sweet Potatoes Kg,,Retail,240,220,800 700,400,480,500,1000,270 500,110,400,350,1000 1000,500,800 1000,750,580,
"",,,,,,,,,,,,,,,,,,,1200
"",,Wholesale,200,170,500 500,300,450,350,800,250 400,100,350,210,800 800,500,750 800,650,467.37,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed) Kg,,Retail,,2400,1300 1000,,,,,1100,3500,,,,,950,,1708.3,
"",,Wholesale,,1800,1000 800,,,,,1000,3300,,,,,900,,1466.7,
Vanilla (Unprocessed) Kg,,Retail,,,,,,,,,,,,,,,3000,3000,
"",,Wholesale,,,,,,,,,,,,,,,2800,2800,
