"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,,
"",,Wholesale,4500,2800,3800,3500,3500,,,5000,,4000,3800,5000,4300,6000,,3800,4800,4500,7000,4420,2800,700
Rice (Kayiso),Kg,Retail,1700,2200,1800,2400,2000,,1850,2000,1800,2000,2000,2000,1600,2200,Kiboga,2500,,2800,2500,2084,1600,280
"",,Wholesale,1600,2000,1600,2000,1800,,1700,1800,1600,1700,1800,1800,1550,2000,,,,2500,2250,1847,1550,250
Rice (Super),Kg,Retail,2400,2400,2500,1800,2400,2300,2100,2500,2000,,2000,2200,2200,2200,2200,2200,2200,2200,2200,2222,1800,250
"",,Wholesale,2200,2200,1950,1600,2100,2100,1900,2400,1800,,1800,1900,2100,2000,Luwer,2000,2100,2000,1800,1997,1600,240
Rice (Upland),Kg,Retail,1600,2100,1700,2000,2000,2000,1700,2000,,,,2000,1580,2000,1800,2000,,2000,2000,1899,1580,210
"",,Wholesale,1500,2000,1650,1800,1800,1800,1500,1800,,,,1600,1550,1800,1750,1850,,1800,1700,1727,1500,200
Simsim,Kg,Retail,3000,3000,3000,,3000,2500,1800,2200,,3000,2600,2000,2100,1800,M2a0s0ak0,4000,2100,,2300,2525,1800,400
"",,Wholesale,2800,2500,2500,,2400,1800,1650,2000,,2500,2300,1700,2000,1800,1500,3200,2000,,2000,2166,1500,320
Sorghum Flour,Kg,Retail,1000,,1800,,1000,900,900,800,700,1000,700,1500,850,400,,1200,1400,800,1100,1003,400,180
"",,Wholesale,700,,1600,,700,700,700,700,500,800,600,1400,750,400,Nakaw,950,1300,700,1000,844,400,160
Sorghum Grain,Kg,Retail,700,700,1500,,800,450,650,700,,800,500,1000,650,500,,1100,,750,900,780,450,150
"",,Wholesale,500,500,1300,,500,400,550,600,,500,350,900,550,400,,,,650,700,600,350,130
Soya Beans,Kg,Retail,2500,1500,1600,1400,1500,400,1300,1800,1500,1300,1500,2000,,500,,1400,,900,2500,1475,400,250
"",,Wholesale,2300,1200,1400,1300,1000,350,1100,1700,1350,1000,1300,1500,,500,,900,,800,2400,1256,350,240
Sunflower,Kg,Retail,,1600,,,,,,,,,400,,,500,,,,,,833,400,160
"",,Wholesale,,1300,,,,,,,,,350,,,400,,,,,,683,350,130
Sweet Potatoes,Kg,Retail,290,600,900,,350,500,800,360,300,600,400,600,750,500,600,250,1200,150,,538,150,120
"",,Wholesale,230,400,600,,300,450,650,220,200,400,350,550,650,500,350,150,1000,100,,418,100,100
Tea (Unprocessed),Kg,Retail,,,,,,400,,,,,,,,,,,,,,400,400,40
"",,Wholesale,,,,,,350,,,,,,,,,,,,,,350,350,35
Turkey,bird,Retail,,27000,30000,,32000,33000,27000,35000,,25000,28000,,,30000,,,,,35000,30200,25000,3500
"",,Wholesale,,24000,25000,,25000,25000,24000,30000,,20000,27000,,,28000,Kapch,rwa,,,,25333,20000,3000
Vanilla (Unprocessed),Kg,Retail,,3000,,,,2700,,,,,,,,,,,,,4000,3233,2700,400
