"Page1Date Collected",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16‐Mar,Retail,789,600,5371,5580,5590,1243,748,1217,4574,,,,,,,,,,,,,,,,,,
"",Wholesale,,64,,,45,,,471,,,474,,,497,,,108,,,88,,,101,,,434,
18‐Mar,Retail,808,588,5787,5321,5670,1253,792,1428,4929,,,,,,,,,,,,,,,,,,
"",Wholesale,,67,,,44,,,483,,,460,,,476,,,109,,,67,,,106,,,433,
"Page1Date Collected"
Date Collected
""
""
"",,,CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,Min,Avg,Max
"",,Wholesale,3000,4000,3400,3500,7500,3500,4000,4500,7000,5000,5000,3800,43S0o0r,ti6500,,6500,3400,,4500,3000,4671,7500
oat Meat,Kg,Retail,6000,4500,8000,5500,6000,6000,6000,5000,6000,5000,5000,5500,6000,6000,5000,5000,5400,6000,5500,4500,5653,8000
"",,Wholesale,5000,3500,6500,4500,5500,2750,4500,4500,5000,5000,4800,5500,5800,5500,,4500,5000,5000,5000,2750,4881,6500
"roundnuts, Unpounded",Kg,Retail,2500,2400,2800,2000,3000,2500,2500,2200,2500,2200,2000,2500,21A0r0u,2000,2200,2400,2300,2500,2500,2000,2374,3000
"",,Wholesale,2300,2100,2500,1900,2000,2100,2050,2050,2400,1800,1800,2200,1900,1800,1950,2250,2200,2300,2400,1800,2105,2500
"oney, Processed",Kg,Retail,7500,10000,3500,8000,5500,8000,,6600,6000,9000,6400,3000,4500,4500,,4000,20000,7000,12500,3000,7412,20000
"",,Wholesale,7000,8000,3500,6000,4500,7000,,5800,5000,7000,6000,2750,42G0u0l,4000,,3400,15000,6000,10000,2750,6185,15000
"oney, Unprocessed",Kg,Retail,6500,7000,2600,,4500,7000,,2900,5000,3000,2600,2500,2100,4000,4000,7000,12000,3500,10000,2100,5071,12000
"",,Wholesale,6000,6000,2200,,4000,6000,,2600,4000,2500,2400,2100,1900,3500,,6500,10000,3100,9000,1900,4488,10000
Kg,Retail,480,800,1000,600,700,500,570,600,700,600,900,1000,10L0ir0,800,700,370,900,375,,370,700,1000,
"",,,,,,,,,,,,,,,,,,,,,,Min,Avg,Max
aize Flour,Kg,Retail,1400,1500,1200,1200,1500,1300,1100,1300,1300,1000,1200,1500,1300,1400,1000,1300,1200,1000,1100,1000,1253,1500
"",,Wholesale,1200,1250,1100,1020,1300,1100,950,1100,1200,900,1100,1300,1200,1200,900,1150,1100,700,1000,700,1093,1300
aize Grain,Kg,Retail,1000,500,1000,800,1300,700,480,550,620,600,650,800,550,1500,450,1000,900,450,1200,450,792,1500
"",,Wholesale,900,450,800,600,1200,600,470,500,600,550,600,700,520,1300,400,620,800,300,1000,300,679,1300
atooke,Kg,Retail,370,500,1000,200,400,390,300,450,260,450,450,400,2800,800,350,500,300,200,800,200,575,2800
"",,Wholesale,300,400,700,175,350,340,280,380,240,350,350,350,2500,800,,400,250,150,600,150,495,2500
atooke (Bunch),Bunch,Retail,6000,8000,6500,8000,7500,8500,9000,14000,13000,12000,10000,8000,14800,1500,6500,13000,6000,9000,6000,1500,8805,14800
"",,Wholesale,5000,5000,5400,7000,7000,7500,7000,11000,12000,10000,9000,7500,14000,1200,,10000,5500,8000,4000,1200,7561,14000
ilk,Ltrs,Retail,800,700,500,700,800,800,800,800,800,900,800,1000,1000,1200,700,500,750,700,500,500,776,1200
